Admit_TermID,CRMID,Last_Name,First_Name,Middle_Name,Admit_Descr,Admit_Type,Admit_Type_Descr,Acad_Career,Acad_Prog,Acad_Prog_Descr,Acad_Plan,Acad_Plan_Descr,Appl_Source,Gender,Age_By_Years,Address1,Address2,City,State,Postal,Current_Program,Current_Program_Descr,Current_Plan,Current_Plan_Descr
7119145,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,26,,,South Richmond Hill,NY,11419-3118,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7119247,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,29,,,Columbia,MD,21045-4403,NULL,NULL,NULL,NULL
7119539,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,34,,,Baltimore,MD,21213-3215,NULL,NULL,NULL,NULL
7119573,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English,HARD COPY,FEMALE,35,,,Baltimore,MD,21229-4526,A&SU,Undergraduate Arts & Sciences,ENGLBA,BA in English
7119686,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,EDU,Undergraduate Education,SPEDBS,BS in Special Education,HARD COPY,FEMALE,44,,,Baltimore,MD,21239-1740,EDU,Undergraduate Education,SPEDBS,BS in Special Education
7119721,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,29,,,Washington,DC,20011-5264,NULL,NULL,NULL,NULL
7120679,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,MALE,39,,,Woodlawn,MD,21207-4314,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7126637,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,MALE,29,,,Fort Washington,MD,20744-2533,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7127880,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,54,,,Baltimore,MD,21215-1309,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7128297,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,38,,,Baltimore,MD,21239-1714,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7128766,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,BLANK APPLICATION SOURCE,FEMALE,39,,,Aberdeen,MD,21001-4132,NULL,NULL,NULL,NULL
7129797,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Edgewood,MD,21040-2439,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7129806,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,SOSCBS,BS in Social Science,HARD COPY,MALE,30,,,Hagerstown,MD,21740-3715,NULL,NULL,NULL,NULL
7129806,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,FEMALE,27,,,Hyattsville,MD,20782-1532,NULL,NULL,NULL,NULL
7129825,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,29,,,Baltimore,MD,21229,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7129832,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,28,,,Baltimore,MD,21239-3419,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7129894,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,LLATBS,BS in Liberal Arts,HARD COPY,FEMALE,41,,,Baltimore,MD,21208-5701,A&SU,Undergraduate Arts & Sciences,LLATBS,BS in Liberal Arts
7129900,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,MALE,26,,,Randallstown,MD,21133-2718,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology
7129958,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English,HARD COPY,FEMALE,39,,,Charlotte,NC,28273-3395,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English
7129994,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,MALE,27,,,Baltimore,MD,21206-3905,NULL,NULL,NULL,NULL
7130047,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,47,,,Baltimore,MD,21244-1282,A&SU,Undergraduate Arts & Sciences,HISTBS,BS in History
7130058,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Baltimore,MD,21244-2239,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7130101,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,ON LINE,FEMALE,27,,,Richmond,VA,23233-1259,NULL,NULL,NULL,NULL
7130223,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,38,,,Baltimore,MD,21205-2717,NULL,NULL,NULL,NULL
7130259,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,66,,,Baltimore,MD,21218-2742,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7130282,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,28,,,Parkville,MD,21234-1745,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7130311,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,FEMALE,36,,, , , ,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7130512,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,71,,,Baltimore,MD,21229-3633,NULL,NULL,NULL,NULL
7130515,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,MALE,32,,,Lagos, , ,NULL,NULL,NULL,NULL
7130549,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Baltimore,MD,21212-4658,NULL,NULL,NULL,NULL
7131593,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,SOWKBS,Social Work,HARD COPY,MALE,27,,,Baltimore,MD,21223-2245,SOWK,Social Work,SOWKBSW,Social Work
7131739,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,44,,,Baltimore,MD,21215-3510,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education
7137840,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,31,,,Baltimore,MD,21207-6978,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7138034,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,MALE,29,,,Baltimore,MD,21216-3812,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science
7140029,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,26,,,Germantown,MD,20874-3835,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
