Date,GrossRevenue,NetRevenue,GrossProfit
2020-03-04,1000,848,509
2020-05-31,1000,840,504
2020-03-30,1250,1060,636
2020-03-04,250,220,132
2020-05-31,750,675,405
2020-03-30,1000,888,533
2020-07-10,750,660,396
2020-03-30,1000,848,509
2019-01-11,750,660,396
2020-05-30,180,152,91
2020-05-21,1000,872,523
2019-08-21,1000,808,485
2020-05-24,191,159,95
2020-01-02,1000,808,485
2020-03-27,1250,1050,630
2019-10-02,250,202,121
2020-03-08,1000,880,528
2020-09-11,750,615,369
2020-03-16,750,606,364
2019-06-21,1000,880,528
2020-03-25,750,624,374
2020-12-01,750,666,400
2020-05-01,1000,880,528
2020-04-25,750,645,387
2020-06-16,1000,872,523
2019-08-26,382,320,192
2020-02-10,750,654,392
2020-12-13,750,630,378
2019-06-29,1000,860,516
2020-01-31,1250,1075,645
2020-03-11,1000,860,516
2019-04-20,750,660,396
2020-02-22,1000,848,509
2020-06-05,1000,872,523
2020-02-24,750,630,378
2020-11-20,1000,888,533
2020-09-05,750,606,364
2019-11-10,1160,964,578
2019-05-23,1000,832,499
2020-04-25,750,636,382
2020-03-27,500,444,266
2019-08-04,1000,872,523
2020-06-26,500,440,264
2020-04-30,1000,840,504
2020-06-22,750,675,405
2020-04-16,750,654,392
2020-01-21,1000,840,504
2019-10-18,1280,1064,638
2020-05-09,1250,1110,666
2020-01-14,500,450,270
2019-07-21,750,645,387
2020-07-20,180,152,91
2020-02-04,750,624,374
2019-07-18,750,636,382
2019-08-15,1250,1025,615
2020-01-25,750,645,387
2019-02-10,1000,900,540
2019-10-11,1000,832,499
2020-03-22,1000,888,533
2020-08-24,750,645,387
2020-02-16,1000,848,509
2020-03-14,1000,840,504
2020-05-05,1250,1060,636
2020-04-24,250,220,132
2020-03-07,750,675,405
2020-02-28,1000,888,533
2019-08-25,750,660,396
2020-05-20,1000,848,509
2019-12-05,750,660,396
2020-02-18,180,152,91
2020-03-24,1000,872,523
2019-05-11,1000,808,485
2019-06-18,191,159,95
2020-01-04,1000,808,485
2020-03-06,1250,1050,630
2019-10-04,250,202,121
2020-01-09,1000,880,528
2020-02-26,750,615,369
2020-06-05,750,606,364
2020-02-16,1000,880,528
2020-02-19,750,624,374
2020-05-20,750,666,400
2020-06-06,1000,880,528
2020-04-06,750,645,387
2020-05-21,1000,872,523
2020-05-19,382,320,192
2020-04-24,750,654,392
2020-12-12,750,630,378
2020-08-04,1000,860,516
2020-01-01,1250,1075,645
2020-04-11,1000,860,516
2019-07-27,750,660,396
2020-02-15,1000,848,509
2020-02-12,1000,872,523
2020-05-28,750,630,378
2020-03-03,1000,888,533
2020-09-04,750,606,364
2020-06-06,1160,964,578
2019-07-28,1000,832,499
2020-05-10,750,636,382
2020-05-29,500,444,266
2019-04-14,1000,872,523
2020-08-30,500,440,264
2020-05-22,1000,840,504
2020-01-04,750,675,405
2020-02-26,750,654,392
2020-06-27,1000,840,504
2020-08-17,1280,1064,638
2020-01-22,1250,1110,666
2019-07-20,500,450,270
2019-03-20,750,645,387
2020-08-22,180,152,91
2020-03-20,750,624,374
2019-03-23,750,636,382
2019-03-29,1250,1025,615
2020-02-20,750,645,387
2019-05-27,1000,900,540
2020-07-26,1000,832,499
2020-06-05,1000,888,533
2020-05-10,750,645,387
2020-06-23,1000,848,509
2020-03-19,1000,840,504
2020-05-08,1250,1060,636
2020-04-23,250,220,132
2020-04-03,750,675,405
2020-05-21,1000,888,533
2020-11-24,750,660,396
2020-02-16,1000,848,509
2020-05-29,750,660,396
2020-06-27,180,152,91
2020-02-28,1000,872,523
2020-12-04,1000,808,485
2020-02-19,191,159,95
2020-02-12,1000,808,485
2020-06-19,1250,1050,630
2020-08-26,250,202,121
2020-06-10,1000,880,528
2019-08-12,750,615,369
2020-06-07,750,606,364
2020-10-17,1000,880,528
2020-04-19,750,624,374
2020-10-10,750,666,400
2020-05-17,1000,880,528
2020-05-15,750,645,387
2020-06-03,1000,872,523
2020-02-06,382,320,192
2020-03-27,750,654,392
2020-08-15,750,630,378
2020-05-20,1000,860,516
2020-06-05,1250,1075,645
2020-02-08,1000,860,516
2020-06-20,750,660,396
2020-03-14,1000,848,509
2020-02-19,1000,872,523
2020-05-16,750,630,378
2019-07-06,1000,888,533
2020-09-16,750,606,364
2020-03-31,1160,964,578
2020-08-02,1000,832,499
2020-02-21,750,636,382
2020-03-30,500,444,266
2020-10-17,1000,872,523
2019-02-04,500,440,264
2020-06-13,1000,840,504
2020-04-04,750,675,405
2020-03-18,750,654,392
2019-12-28,1000,840,504
2019-12-23,1280,1064,638
2020-05-16,1250,1110,666
2019-12-18,500,450,270
2020-10-22,750,645,387
2019-06-30,180,152,91
2020-06-27,750,624,374
2019-09-12,750,636,382
2020-04-11,1250,1025,615
2020-04-28,750,645,387
2019-01-20,1000,840,504
2019-07-27,1000,832,499
2020-04-18,1000,888,533
2019-02-24,750,645,387
2020-02-17,1000,848,509
2020-01-07,1000,840,504
2020-02-21,1250,1060,636
2020-02-17,250,220,132
2020-06-20,750,675,405
2020-04-27,1000,888,533
2020-12-28,750,660,396
2020-05-28,1000,848,509
2019-09-19,750,660,396
2020-05-04,180,152,91
2020-04-05,1000,872,523
2019-03-25,1000,808,485
2020-10-28,191,159,95
2020-05-13,1000,808,485
2020-05-04,1250,1050,630
2019-10-28,250,202,121
2020-03-07,1000,880,528
2019-07-07,750,615,369
2020-02-13,750,606,364
2020-10-03,1000,880,528
2020-05-10,750,624,374
2019-02-01,750,666,400
2020-05-25,1000,880,528
2020-01-05,750,645,387
2020-04-13,1000,872,523
2019-04-10,382,320,192
2020-01-30,750,654,392
2019-10-20,750,630,378
2019-08-22,1000,860,516
2020-04-17,1250,1075,645
2020-02-24,1000,860,516
2019-04-05,750,660,396
2020-05-25,1000,848,509
2020-06-16,1000,872,523
2020-05-28,750,630,378
2019-02-07,1000,888,533
2020-11-20,750,606,364
2020-02-23,1160,964,578
2019-03-29,1000,832,499
2020-01-29,750,636,382
2020-04-23,500,444,266
2020-06-10,1000,872,523
2020-11-18,500,440,264
2020-03-09,1000,840,504
2020-04-27,750,675,405
2020-05-04,750,654,392
2019-09-01,1000,840,504
2020-08-05,1280,1064,638
2020-04-24,1250,1110,666
2020-01-25,500,450,270
2019-10-21,750,645,387
2019-08-12,180,152,91
2020-02-27,750,624,374
2019-06-23,750,636,382
2019-12-05,1250,1025,615
2020-02-16,750,645,387
2019-10-30,1000,840,504
2019-07-30,1000,832,499
2020-06-18,1000,888,533
2019-02-09,750,645,387
2020-03-26,1000,848,509
2020-01-01,1000,840,504
2020-04-22,1250,1060,636
2020-06-10,250,220,132
2020-04-18,750,675,405
2020-02-17,1000,888,533
2019-12-23,750,660,396
2020-01-21,1000,848,509
2020-07-28,750,660,396
2020-05-05,180,152,91
2020-01-17,1000,872,523
2020-12-23,1000,808,485
2020-08-23,191,159,95
2020-01-21,1000,808,485
2020-05-16,1250,1050,630
2020-08-17,250,202,121
2020-05-26,1000,880,528
2019-10-03,750,615,369
2020-01-05,750,606,364
2019-07-05,1000,880,528
2020-05-19,750,624,374
2019-04-20,750,666,400
2020-02-16,1000,880,528
2020-04-15,750,645,387
2020-03-26,1000,872,523
2020-06-04,382,320,192
2020-01-21,750,654,392
2020-08-18,750,630,378
2020-11-07,1000,860,516
2020-03-07,1250,1075,645
2020-06-03,1000,860,516
2020-11-22,750,660,396
2020-04-11,1000,848,509
2020-04-04,1000,872,523
2020-06-09,750,630,378
2020-11-13,1000,888,533
2020-08-19,750,606,364
2020-05-31,1160,964,578
2020-12-20,1000,832,499
2020-05-03,750,636,382
2020-05-02,500,444,266
2020-01-07,1000,872,523
2019-06-25,500,440,264
2020-02-08,1000,840,504
2020-01-23,750,675,405
2020-05-20,750,654,392
2019-08-20,1000,840,504
2019-05-31,1280,1064,638
2020-05-03,1250,1110,666
2019-06-07,500,450,270
2020-09-25,750,645,387
2019-09-12,180,152,91
2020-02-07,750,624,374
2019-04-24,750,636,382
2019-09-12,1250,1025,615
2020-02-10,750,645,387
2020-04-15,1000,840,504
2019-06-27,1000,832,499
2020-01-12,1000,888,533
2019-10-09,750,645,387
2020-02-07,1000,848,509
2020-01-28,1000,840,504
2020-05-04,1250,1060,636
2020-03-03,250,220,132
2020-02-26,750,675,405
2020-04-16,1000,888,533
2019-08-11,750,660,396
2020-02-18,1000,848,509
2020-01-03,750,660,396
2020-02-24,180,152,91
2020-03-21,1000,872,523
2020-07-31,1000,808,485
2020-01-26,191,159,95
2020-03-27,1000,808,485
2020-05-31,1250,1050,630
2020-12-16,250,202,121
2020-06-01,1000,880,528
2020-04-06,750,615,369
2020-04-15,750,606,364
2019-01-04,1000,880,528
2020-01-08,750,624,374
2019-05-25,750,666,400
2020-04-19,1000,880,528
2020-05-07,750,645,387
2020-05-24,1000,872,523
2019-07-15,382,320,192
2020-01-29,750,654,392
2020-03-07,750,630,378
2020-08-29,1000,860,516
2020-05-07,1250,1075,645
2020-01-04,1000,860,516
2019-12-13,750,660,396
2020-03-26,1000,848,509
2020-01-19,1000,872,523
2020-04-26,750,630,378
2020-11-25,1000,888,533
2019-06-26,750,606,364
2019-08-24,1160,964,578
2020-10-16,1000,832,499
2020-01-16,750,636,382
2020-04-11,500,444,266
2020-04-29,1000,872,523
2020-12-10,500,440,264
2020-03-28,1000,840,504
2020-06-01,750,675,405
2020-02-22,750,654,392
2019-04-18,1000,840,504
2020-11-05,1280,1064,638
2020-06-07,1250,1110,666
2019-09-18,500,450,270
2019-06-13,750,645,387
2019-08-21,180,152,91
2020-01-04,750,624,374
2019-08-22,750,636,382
2020-08-20,1250,1025,615
2020-01-11,750,645,387
2019-08-14,1000,840,504
2019-08-05,1000,832,499
2020-04-26,1000,888,533
2019-02-15,750,645,387
2020-02-10,1000,848,509
2020-01-01,1000,840,504
2020-03-07,1250,1060,636
2020-02-17,250,220,132
2020-03-21,750,675,405
2020-04-07,1000,888,533
2020-09-03,750,660,396
2020-02-03,1000,848,509
2019-01-31,750,660,396
2020-03-16,180,152,91
2020-03-15,1000,872,523
2019-04-21,1000,808,485
2019-02-04,191,159,95
2020-03-09,1000,808,485
2020-06-13,1250,1050,630
2019-09-03,250,202,121
2020-02-10,1000,880,528
2019-11-29,750,615,369
2020-03-02,750,606,364
2019-07-01,1000,880,528
2020-05-23,750,624,374
2019-05-24,750,666,400
2020-03-16,1000,880,528
2020-03-23,750,645,387
2020-04-27,1000,872,523
2020-12-17,382,320,192
2020-04-14,750,654,392
2020-06-12,750,630,378
2019-12-04,1000,860,516
2020-05-05,1250,1075,645
2020-05-27,1000,860,516
2019-09-14,750,660,396
2020-06-01,1000,848,509
2020-05-02,1000,872,523
2020-02-19,750,630,378
2019-01-29,1000,888,533
2020-08-14,750,606,364
2020-08-16,1160,964,578
2020-02-03,1000,832,499
2020-06-28,750,636,382
2020-02-03,500,444,266
2019-08-27,1000,872,523
2019-12-20,500,440,264
2020-06-24,1000,840,504
2020-01-11,750,675,405
2020-04-14,750,654,392
2019-09-03,1000,840,504
2019-09-18,1280,1064,638
2020-01-28,1250,1110,666
2020-07-25,500,450,270
2020-02-16,750,645,387
2020-09-04,180,152,91
2020-02-10,750,624,374
2020-10-25,750,636,382
2019-10-15,1250,1025,615
2020-06-05,750,645,387
2020-08-17,1000,840,504
2020-08-20,1000,832,499
2020-06-24,1000,888,533
2020-04-16,750,645,387
2020-03-25,1000,848,509
2020-01-22,1000,840,504
2020-06-26,1250,1060,636
2020-01-08,250,220,132
2020-05-16,750,675,405
2020-04-12,1000,888,533
2019-10-23,750,660,396
2020-03-31,1000,848,509
2019-09-24,750,660,396
2020-02-03,180,152,91
2020-03-08,1000,872,523
2019-11-25,1000,808,485
2020-08-14,191,159,95
2020-02-27,1000,808,485
2020-05-20,1250,1050,630
2019-07-06,250,202,121
2020-06-29,1000,880,528
2020-01-24,750,615,369
2020-06-14,750,606,364
2019-05-10,1000,880,528
2020-04-11,750,624,374
2020-12-16,750,666,400
2020-05-16,1000,880,528
2020-06-14,750,645,387
2020-05-29,1000,872,523
2020-05-10,382,320,192
2020-06-17,750,654,392
2020-12-19,750,630,378
2020-05-04,1000,860,516
2020-01-09,1250,1075,645
2020-01-31,1000,860,516
2020-02-07,750,660,396
2020-04-14,1000,848,509
2020-01-27,1000,872,523
2020-05-19,750,630,378
2020-10-14,1000,888,533
2020-09-02,750,606,364
2019-04-11,1160,964,578
2020-10-22,1000,832,499
2020-01-01,750,636,382
2020-06-18,500,444,266
2019-05-03,1000,872,523
2020-01-25,500,440,264
2020-03-12,1000,840,504
2020-04-08,750,675,405
2020-04-27,750,654,392
2020-01-29,1000,840,504
2020-05-13,1280,1064,638
2020-01-27,1250,1110,666
2019-12-28,500,450,270
2019-04-11,750,645,387
2020-11-22,180,152,91
2020-04-15,750,624,374
2019-07-18,750,636,382
2020-04-02,1250,1025,615
2020-03-02,750,645,387
2019-12-15,1000,840,504
2020-11-07,1000,832,499
2020-05-30,1000,888,533
2020-01-20,750,645,387
2020-01-09,1000,848,509
2020-01-09,1000,840,504
2020-02-04,1250,1060,636
2020-03-16,250,220,132
2020-01-25,750,675,405
2020-04-04,1000,888,533
2020-02-25,750,660,396
2020-01-11,1000,848,509
2019-03-05,750,660,396
2020-03-30,180,152,91
2020-04-18,1000,872,523
2020-05-16,1000,808,485
2020-09-13,191,159,95
2020-03-09,1000,808,485
2020-06-18,1250,1050,630
2019-02-26,250,202,121
2020-03-14,1000,880,528
2019-09-19,750,615,369
2020-04-24,750,606,364
2019-12-11,1000,880,528
2020-05-27,750,624,374
2020-08-21,750,666,400
2020-06-29,1000,880,528
2020-03-23,750,645,387
2020-06-15,1000,872,523
2019-07-15,382,320,192
2020-02-14,750,654,392
2019-05-26,750,630,378
2019-03-06,1000,860,516
2020-01-07,1250,1075,645
2020-03-16,1000,860,516
2019-05-13,750,660,396
2020-01-18,1000,848,509
2020-06-18,1000,872,523
2020-05-16,750,630,378
2020-01-23,1000,888,533
2019-12-14,750,606,364
2019-03-29,1160,964,578
2020-08-05,1000,832,499
2020-05-16,750,636,382
2020-04-24,500,444,266
2019-07-31,1000,872,523
2020-01-31,500,440,264
2020-01-05,1000,840,504
2020-04-27,750,675,405
2020-05-06,750,654,392
2019-01-23,1000,840,504
2019-02-28,1280,1064,638
2020-06-22,1250,1110,666
2020-01-19,500,450,270
2020-11-04,750,645,387
2019-02-24,180,152,91
2020-03-07,750,624,374
2019-01-10,750,636,382
2020-08-15,1250,1025,615
2020-03-25,750,645,387
2019-07-07,1000,840,504
2019-11-16,1000,832,499
2020-03-13,1000,888,533
2019-05-08,750,645,387
2020-02-17,1000,848,509
2020-04-28,1000,840,504
2020-03-20,1250,1060,636
2020-02-14,250,220,132
2020-03-23,750,675,405
2020-06-12,1000,888,533
2019-07-17,750,660,396
2020-04-09,1000,848,509
2020-02-05,750,660,396
2019-02-13,180,152,91
2020-05-20,1000,872,523
2019-07-31,1000,808,485
2019-05-20,191,159,95
2020-06-14,1000,808,485
2020-04-23,1250,1050,630
2020-10-26,250,202,121
2020-03-11,1000,880,528
2020-01-09,750,615,369
2020-05-27,750,606,364
2019-10-10,1000,880,528
2020-03-21,750,624,374
2019-07-09,750,666,400
2020-01-04,1000,880,528
2020-03-11,750,645,387
2020-02-09,1000,872,523
2019-03-05,382,320,192
2020-03-07,750,654,392
2020-12-15,750,630,378
2020-04-29,1000,860,516
2020-06-28,1250,1075,645
2020-05-14,1000,860,516
2019-09-26,750,660,396
2020-01-01,1000,848,509
2020-06-29,1000,872,523
2020-06-27,750,630,378
2020-08-07,1000,888,533
2019-01-30,750,606,364
2020-01-26,1160,964,578
2020-07-21,1000,832,499
2020-06-09,750,636,382
2020-05-13,500,444,266
2020-10-21,1000,872,523
2020-08-31,500,440,264
2020-01-03,1000,840,504
2020-06-28,750,675,405
2020-02-06,750,654,392
2020-02-06,1000,840,504
2020-09-23,1280,1064,638
2020-06-15,1250,1110,666
2019-01-08,500,450,270
2019-09-13,750,645,387
2020-12-03,180,152,91
2020-06-16,750,624,374
2019-12-24,750,636,382
2019-11-25,1250,1025,615
2020-05-19,750,645,387
2020-11-15,1000,840,504
2019-02-05,1000,832,499
2020-02-01,1000,888,533
2019-07-24,750,645,387
2020-03-12,1000,848,509
2020-03-11,1000,840,504
2020-02-06,1250,1060,636
2020-06-17,250,220,132
2020-04-13,750,675,405
2020-06-06,1000,888,533
2020-07-18,750,660,396
2020-05-25,1000,848,509
2019-02-20,750,660,396
2020-06-17,180,152,91
2020-02-20,1000,872,523
2019-09-27,1000,808,485
2020-12-08,191,159,95
2020-01-23,1000,808,485
2020-06-14,1250,1050,630
2020-09-12,250,202,121
2020-01-29,1000,880,528
2019-10-27,750,615,369
2020-02-13,750,606,364
2020-02-04,1000,880,528
2020-06-17,750,624,374
2019-01-25,750,666,400
2020-05-30,1000,880,528
2019-08-17,750,645,387
2020-03-19,1000,872,523
2019-09-29,382,320,192
2020-06-07,750,654,392
2020-08-30,750,630,378
2019-09-01,1000,860,516
2020-01-05,1250,1075,645
2020-02-01,1000,860,516
2020-10-18,750,660,396
2020-06-12,1000,848,509
2020-01-07,1000,872,523
2020-04-27,750,630,378
2020-03-09,1000,888,533
2019-10-16,750,606,364
2020-05-22,1160,964,578
2019-11-12,1000,832,499
2020-01-09,750,636,382
2020-05-15,500,444,266
2019-04-13,1000,872,523
2020-10-23,500,440,264
2020-04-04,1000,840,504
2020-06-02,750,675,405
2020-06-19,750,654,392
2019-11-11,1000,840,504
2019-06-14,1280,1064,638
2020-06-17,1250,1110,666
2020-01-07,500,450,270
2019-11-21,750,645,387
2019-02-25,180,152,91
2020-05-24,750,624,374
2020-08-04,750,636,382
2020-08-05,1250,1025,615
2020-03-16,750,645,387
2019-11-22,1000,840,504
2020-06-09,1000,832,499
2020-05-11,1000,888,533
2019-10-21,750,645,387
2020-05-31,1000,848,509
2020-02-26,1000,840,504
2020-01-28,1250,1060,636
2020-01-15,250,220,132
2020-01-14,750,675,405
2020-01-15,1000,888,533
2020-08-22,750,660,396
2020-06-13,1000,848,509
2020-12-17,750,660,396
2020-08-15,180,152,91
2020-06-19,1000,872,523
2019-12-26,1000,808,485
2019-07-14,191,159,95
2020-04-03,1000,808,485
2020-06-18,1250,1050,630
2020-01-11,250,202,121
2020-03-06,1000,880,528
2019-09-12,750,615,369
2020-05-02,750,606,364
2020-10-10,1000,880,528
2020-05-02,750,624,374
2020-11-21,750,666,400
2020-01-10,1000,880,528
2020-09-06,750,645,387
2020-05-06,1000,872,523
2019-10-09,382,320,192
2020-02-17,750,654,392
2020-01-03,750,630,378
2019-01-21,1000,860,516
2020-04-14,1250,1075,645
2020-05-17,1000,860,516
2019-09-02,750,660,396
2020-05-31,1000,848,509
2020-01-08,1000,872,523
2020-03-13,750,630,378
2020-04-12,1000,888,533
2019-04-04,750,606,364
2019-07-27,1160,964,578
2019-05-12,1000,832,499
2020-04-23,750,636,382
2020-01-25,500,444,266
2019-11-16,1000,872,523
2020-08-02,500,440,264
2020-01-29,1000,840,504
2020-06-05,750,675,405
2020-01-30,750,654,392
2019-07-24,1000,840,504
2020-03-09,1280,1064,638
2020-06-23,1250,1110,666
2019-12-31,500,450,270
2019-11-28,750,645,387
2020-06-10,180,152,91
2020-03-18,750,624,374
2019-10-08,750,636,382
2020-09-24,1250,1025,615
2020-03-02,750,645,387
2020-05-03,1000,840,504
2019-01-25,1000,832,499
2020-03-22,1000,888,533
2020-08-29,750,645,387
2020-04-21,1000,848,509
2020-05-05,1000,840,504
2020-01-05,1250,1060,636
2020-04-17,250,220,132
2020-03-19,750,675,405
2020-05-26,1000,888,533
2019-11-15,750,660,396
2020-05-25,1000,848,509
2020-11-08,750,660,396
2019-01-05,180,152,91
2020-03-31,1000,872,523
2020-08-17,1000,808,485
2020-07-17,191,159,95
2020-06-25,1000,808,485
2020-04-20,1250,1050,630
2020-08-20,250,202,121
2020-01-03,1000,880,528
2019-06-13,750,615,369
2020-03-28,750,606,364
2019-03-15,1000,880,528
2020-03-27,750,624,374
2019-07-12,750,666,400
2020-02-13,1000,880,528
2019-11-19,750,645,387
2020-05-07,1000,872,523
2019-07-12,382,320,192
2020-06-29,750,654,392
2020-11-17,750,630,378
2020-03-28,1000,860,516
2020-04-09,1250,1075,645
2020-01-15,1000,860,516
2020-12-08,750,660,396
2020-06-10,1000,848,509
2020-04-25,1000,872,523
2020-05-17,750,630,378
2020-05-01,1000,888,533
2020-03-19,750,606,364
2020-07-02,1160,964,578
2020-12-22,1000,832,499
2020-06-02,750,636,382
2020-03-19,500,444,266
2019-10-13,1000,872,523
2019-09-27,500,440,264
2020-01-27,1000,840,504
2020-03-20,750,675,405
2020-01-18,750,654,392
2020-09-01,1000,840,504
2020-12-15,1280,1064,638
2020-04-02,1250,1110,666
2020-12-28,500,450,270
2020-11-01,750,645,387
2019-04-01,180,152,91
2020-05-07,750,624,374
2019-10-26,750,636,382
2020-05-22,1250,1025,615
2020-04-09,750,645,387
2020-12-21,1000,840,504
2020-04-25,1000,832,499
2020-01-28,1000,888,533
2020-06-05,750,645,387
2020-01-05,1000,848,509
2020-01-07,1000,840,504
2020-06-09,1250,1060,636
2020-03-27,250,220,132
2020-02-24,750,675,405
2020-01-17,1000,888,533
2019-01-08,750,660,396
2020-02-15,1000,848,509
2020-04-11,750,660,396
2019-01-14,180,152,91
2020-06-10,1000,872,523
2020-06-14,1000,808,485
2019-07-19,191,159,95
2020-01-11,1000,808,485
2020-02-12,1250,1050,630
2020-01-21,250,202,121
2020-05-14,1000,880,528
2019-04-22,750,615,369
2020-02-14,750,606,364
2019-07-19,1000,880,528
2020-03-31,750,624,374
2019-07-09,750,666,400
2020-01-07,1000,880,528
2019-06-24,750,645,387
2020-03-27,1000,872,523
2019-05-27,382,320,192
2020-01-04,750,654,392
2019-01-19,750,630,378
2019-05-25,1000,860,516
2020-05-06,1250,1075,645
2020-02-07,1000,860,516
2019-07-31,750,660,396
2020-03-07,1000,848,509
2020-02-20,1000,872,523
2020-06-09,750,630,378
2019-09-14,1000,888,533
2020-08-11,750,606,364
2020-12-11,1160,964,578
2020-01-05,1000,832,499
2020-04-27,750,636,382
2020-04-21,500,444,266
2019-01-15,1000,872,523
2020-10-10,500,440,264
2020-04-12,1000,840,504
2020-01-06,750,675,405
2020-03-23,750,654,392
