date,MonthName,CityName,WeekNumber,BedOccupancied
2019-04-16,Apr,Los Angeles,16,0
2019-08-09,Aug,Los Angeles,32,0
2019-02-28,Feb,Los Angeles,9,2830
2019-08-17,Aug,Los Angeles,33,0
2019-08-06,Aug,Los Angeles,32,0
2019-08-18,Aug,Los Angeles,34,0
2019-02-16,Feb,Los Angeles,7,7000
2019-08-08,Aug,Los Angeles,32,0
2019-08-28,Aug,Los Angeles,35,0
2019-08-12,Aug,Los Angeles,33,0
2019-08-10,Aug,Los Angeles,32,0
2020-02-14,Feb,Anchorage,7,0
2020-02-09,Feb,Anchorage,7,0
2020-02-17,Feb,Los Angeles,8,1
2019-08-01,Aug,Los Angeles,31,11009
2020-02-22,Feb,Los Angeles,8,0
2020-02-16,Feb,Los Angeles,8,0
2020-02-21,Feb,Los Angeles,8,0
2019-04-15,Apr,Los Angeles,16,0
2019-04-23,Apr,Los Angeles,17,0
2019-08-03,Aug,Los Angeles,31,0
2019-08-16,Aug,Los Angeles,33,0
2019-07-25,Jul,Los Angeles,30,8970
2020-02-20,Feb,Los Angeles,8,0
2019-04-12,Apr,Los Angeles,15,0
2020-02-19,Feb,Los Angeles,8,0
2019-08-02,Aug,Los Angeles,31,0
2020-02-18,Feb,Los Angeles,8,0
2019-02-24,Feb,Los Angeles,9,6720
2019-02-22,Feb,Los Angeles,8,6970
2020-02-22,Feb,Chicago,8,0
2019-02-12,Feb,Los Angeles,7,6650
2019-08-20,Aug,Los Angeles,34,0
2020-02-17,Feb,Chicago,8,0
2020-02-16,Feb,Chicago,8,0
2020-02-20,Feb,Chicago,8,0
2020-02-21,Feb,Chicago,8,0
2019-08-22,Aug,Los Angeles,34,0
2019-07-17,Jul,Los Angeles,29,7689
2020-02-19,Feb,Chicago,8,0
2020-02-22,Feb,Honolulu,8,0
2020-02-18,Feb,Chicago,8,0
2020-02-17,Feb,Honolulu,8,0
2020-02-16,Feb,Honolulu,8,0
2019-08-14,Aug,Los Angeles,33,0
2020-02-22,Feb,Miami,8,0
2020-02-20,Feb,Honolulu,8,0
2020-02-19,Feb,Honolulu,8,0
2020-02-21,Feb,Honolulu,8,0
2019-08-11,Aug,Los Angeles,33,0
2019-08-25,Aug,Los Angeles,35,0
2019-08-15,Aug,Los Angeles,33,0
2020-02-17,Feb,Miami,8,0
2020-02-22,Feb,Anchorage,8,0
2019-05-18,May,Los Angeles,20,2400
2020-02-18,Feb,Honolulu,8,0
2019-06-04,Jun,Los Angeles,23,3210
2020-02-16,Feb,Miami,8,0
2020-02-20,Feb,Miami,8,0
2019-06-07,Jun,Los Angeles,23,0
2020-02-19,Feb,Miami,8,0
2020-02-17,Feb,Anchorage,8,0
2020-02-21,Feb,Miami,8,0
2019-06-16,Jun,Los Angeles,25,6000
2020-02-16,Feb,Anchorage,8,0
2019-02-23,Feb,Los Angeles,8,199
2020-02-18,Feb,Miami,8,0
2020-02-20,Feb,Anchorage,8,0
2019-06-01,Jun,Los Angeles,22,2678
2019-06-03,Jun,Los Angeles,23,0
2020-02-19,Feb,Anchorage,8,0
2020-02-21,Feb,Anchorage,8,0
2020-02-18,Feb,Anchorage,8,0
2020-02-23,Feb,Los Angeles,9,5
2019-04-08,Apr,Los Angeles,15,0
2020-02-24,Feb,Los Angeles,9,0
2019-05-02,May,Los Angeles,18,0
2019-02-14,Feb,Los Angeles,7,3870
2019-06-17,Jun,Los Angeles,25,0
2020-02-26,Feb,Los Angeles,9,0
2019-08-19,Aug,Los Angeles,34,0
2020-02-27,Feb,Los Angeles,9,0
2019-02-17,Feb,Los Angeles,8,40
2019-07-13,Jul,Los Angeles,28,6789
2019-02-13,Feb,Los Angeles,7,101
2019-02-20,Feb,Los Angeles,8,47
2020-02-25,Feb,Los Angeles,9,0
2019-03-22,Mar,Los Angeles,12,0
2020-02-28,Feb,Los Angeles,9,0
2019-06-21,Jun,Los Angeles,25,0
2019-11-04,Nov,Los Angeles,45,45786
2019-07-21,Jul,Los Angeles,30,0
2019-06-09,Jun,Los Angeles,24,3988
2020-02-26,Feb,Chicago,9,0
2019-03-04,Mar,Los Angeles,10,7460
2020-02-23,Feb,Chicago,9,0
2020-02-27,Feb,Chicago,9,0
2019-02-25,Feb,Los Angeles,9,5070
2019-02-27,Feb,Los Angeles,9,5480
2019-03-15,Mar,Los Angeles,11,1600
2019-06-18,Jun,Los Angeles,25,0
2019-06-25,Jun,Los Angeles,26,3000
2020-02-24,Feb,Chicago,9,0
2019-06-15,Jun,Los Angeles,24,0
2020-02-25,Feb,Chicago,9,0
2020-02-28,Feb,Chicago,9,0
2019-08-21,Aug,Los Angeles,34,0
2020-02-26,Feb,Honolulu,9,0
2019-07-24,Jul,Los Angeles,30,0
2020-02-27,Feb,Honolulu,9,0
2020-02-24,Feb,Honolulu,9,0
2020-02-23,Feb,Honolulu,9,0
2020-02-25,Feb,Honolulu,9,0
2020-02-28,Feb,Honolulu,9,0
2019-07-10,Jul,Los Angeles,28,0
2020-02-26,Feb,Miami,9,0
2019-07-04,Jul,Los Angeles,27,2345
2020-02-27,Feb,Miami,9,0
2019-08-23,Aug,Los Angeles,34,0
2019-02-10,Feb,Los Angeles,7,373
2020-02-26,Feb,Anchorage,9,0
2020-02-24,Feb,Miami,9,0
2020-02-25,Feb,Miami,9,0
2019-07-23,Jul,Los Angeles,30,0
2020-02-23,Feb,Miami,9,0
2020-02-28,Feb,Miami,9,0
2019-07-12,Jul,Los Angeles,28,0
2020-02-27,Feb,Anchorage,9,0
2020-02-24,Feb,Anchorage,9,0
2019-07-18,Jul,Los Angeles,29,0
2019-06-27,Jun,Los Angeles,26,0
2019-10-21,Oct,Chicago,43,0
2019-06-24,Jun,Los Angeles,26,0
2020-02-25,Feb,Anchorage,9,0
2019-05-20,May,Los Angeles,21,0
2019-05-15,May,Los Angeles,20,0
2019-07-02,Jul,Los Angeles,27,0
2019-02-21,Feb,Los Angeles,8,2240
2020-02-28,Feb,Anchorage,9,0
2020-02-23,Feb,Anchorage,9,0
2020-03-07,Mar,Los Angeles,10,3
2020-03-06,Mar,Los Angeles,10,0
2019-07-09,Jul,Los Angeles,28,0
2019-03-05,Mar,Los Angeles,10,1480
2019-08-27,Aug,Los Angeles,35,0
2020-03-03,Mar,Los Angeles,10,0
2019-05-01,May,Los Angeles,18,0
2019-07-03,Jul,Los Angeles,27,0
2019-09-04,Sep,Los Angeles,36,13245
2020-03-02,Mar,Los Angeles,10,0
2020-03-01,Mar,Los Angeles,10,0
2020-03-04,Mar,Los Angeles,10,0
2020-03-02,Mar,Chicago,10,0
2019-05-14,May,Los Angeles,20,0
2019-05-12,May,Los Angeles,20,0
2019-10-02,Oct,Los Angeles,40,10987
2019-11-15,Nov,Los Angeles,46,23765
2019-07-20,Jul,Los Angeles,29,0
2020-03-05,Mar,Los Angeles,10,0
2019-07-14,Jul,Los Angeles,29,0
2019-06-06,Jun,Los Angeles,23,0
2020-03-07,Mar,Chicago,10,0
2019-02-18,Feb,Los Angeles,8,6650
2019-06-14,Jun,Los Angeles,24,0
2020-03-02,Mar,Honolulu,10,0
2019-11-11,Nov,Los Angeles,46,0
2020-03-03,Mar,Chicago,10,0
2019-03-12,Mar,Los Angeles,11,5480
2019-03-28,Mar,Los Angeles,13,230
2019-05-21,May,Los Angeles,21,0
2020-03-07,Mar,Honolulu,10,0
2020-03-01,Mar,Chicago,10,0
2019-06-20,Jun,Los Angeles,25,0
2019-06-08,Jun,Los Angeles,23,0
2020-03-06,Mar,Chicago,10,0
2020-03-04,Mar,Chicago,10,0
2020-03-05,Mar,Chicago,10,0
2019-05-22,May,Los Angeles,21,0
2019-02-11,Feb,Chicago,7,127
2019-02-26,Feb,Los Angeles,9,256
2019-11-12,Nov,Los Angeles,46,0
2020-03-07,Mar,Miami,10,0
2019-07-06,Jul,Los Angeles,27,0
2020-03-03,Mar,Honolulu,10,0
2020-03-01,Mar,Honolulu,10,0
2019-05-08,May,Los Angeles,19,2300
2020-03-02,Mar,Miami,10,0
2020-03-06,Mar,Honolulu,10,0
2020-03-02,Mar,Anchorage,10,0
2019-11-08,Nov,Los Angeles,45,0
2019-05-23,May,Los Angeles,21,0
2019-07-27,Jul,Los Angeles,30,0
2019-06-12,Jun,Los Angeles,24,0
2019-07-19,Jul,Los Angeles,29,0
2019-09-20,Sep,Los Angeles,38,11897
2019-06-05,Jun,Los Angeles,23,0
2019-03-01,Mar,Los Angeles,9,373
2020-03-04,Mar,Honolulu,10,0
2020-03-07,Mar,Anchorage,10,0
2019-05-28,May,Los Angeles,22,0
2020-03-05,Mar,Honolulu,10,0
2020-03-03,Mar,Miami,10,0
2020-03-01,Mar,Miami,10,0
2019-09-06,Sep,Los Angeles,36,0
2019-07-26,Jul,Los Angeles,30,0
2019-11-26,Nov,Los Angeles,48,34675
2019-02-19,Feb,Los Angeles,8,120
2019-03-14,Mar,Los Angeles,11,204
2020-03-06,Mar,Miami,10,0
2020-03-04,Mar,Miami,10,0
2020-03-03,Mar,Anchorage,10,0
2020-03-01,Mar,Anchorage,10,0
2019-06-23,Jun,Los Angeles,26,0
2019-03-09,Mar,Los Angeles,10,1560
2019-11-22,Nov,Los Angeles,47,45634
2020-03-05,Mar,Miami,10,0
2020-03-06,Mar,Anchorage,10,0
2019-10-17,Oct,Los Angeles,42,16754
2020-03-04,Mar,Anchorage,10,0
2020-03-05,Mar,Anchorage,10,0
2019-05-25,May,Los Angeles,21,0
2020-03-10,Mar,Los Angeles,11,6
2019-06-26,Jun,Los Angeles,26,0
2020-03-11,Mar,Los Angeles,11,0
2019-05-24,May,Los Angeles,21,0
2019-06-10,Jun,Los Angeles,24,0
2019-07-07,Jul,Los Angeles,28,0
2019-11-04,Nov,Chicago,45,0
2019-03-10,Mar,Los Angeles,11,2280
2020-03-08,Mar,Los Angeles,11,0
2020-03-09,Mar,Los Angeles,11,0
2020-03-13,Mar,Los Angeles,11,0
2019-07-28,Jul,Los Angeles,31,0
2020-03-12,Mar,Los Angeles,11,0
2020-03-14,Mar,Los Angeles,11,0
2020-03-10,Mar,Chicago,11,0
2020-03-12,Mar,Chicago,11,0
2020-03-13,Mar,Chicago,11,0
2020-03-11,Mar,Chicago,11,0
2019-03-25,Mar,Los Angeles,13,0
2019-07-05,Jul,Los Angeles,27,0
2020-03-08,Mar,Chicago,11,0
2019-09-10,Sep,Los Angeles,37,17896
2020-03-09,Mar,Chicago,11,0
2020-03-14,Mar,Chicago,11,0
2020-03-10,Mar,Honolulu,11,0
2019-08-07,Aug,Chicago,32,0
2020-03-12,Mar,Honolulu,11,0
2019-10-22,Oct,Los Angeles,43,0
2019-10-11,Oct,Los Angeles,41,0
2020-03-10,Mar,Miami,11,0
2019-11-24,Nov,Los Angeles,48,0
2019-05-19,May,Los Angeles,21,0
2019-06-22,Jun,Los Angeles,25,0
2020-03-13,Mar,Honolulu,11,0
2019-04-17,Apr,Chicago,16,0
2019-09-28,Sep,Los Angeles,39,21456
2020-03-09,Mar,Honolulu,11,0
2020-03-11,Mar,Honolulu,11,0
2020-03-08,Mar,Honolulu,11,0
2020-03-14,Mar,Honolulu,11,0
2019-06-19,Jun,Los Angeles,25,0
2019-03-18,Mar,Chicago,12,0
2019-11-09,Nov,Los Angeles,45,0
2019-07-11,Jul,Los Angeles,28,0
2020-03-10,Mar,Anchorage,11,0
2019-03-03,Mar,Los Angeles,10,400
2019-03-07,Mar,Los Angeles,10,138
2020-03-12,Mar,Miami,11,0
2020-03-13,Mar,Miami,11,0
2019-07-08,Jul,Los Angeles,28,0
2019-11-25,Nov,Los Angeles,48,0
2019-09-03,Sep,Los Angeles,36,0
2019-09-01,Sep,Los Angeles,36,0
2020-03-09,Mar,Miami,11,0
2020-03-14,Mar,Miami,11,0
2019-09-08,Sep,Los Angeles,37,0
2020-03-11,Mar,Miami,11,0
2019-06-28,Jun,Los Angeles,26,0
2020-03-08,Mar,Miami,11,0
2020-03-12,Mar,Anchorage,11,0
2019-07-16,Jul,Los Angeles,29,0
2019-05-18,May,Chicago,20,0
2020-03-13,Mar,Anchorage,11,0
2019-11-27,Nov,Los Angeles,48,0
2020-03-09,Mar,Anchorage,11,0
2020-03-14,Mar,Anchorage,11,0
2019-08-26,Aug,Chicago,35,0
2019-03-27,Mar,Los Angeles,13,0
2020-03-11,Mar,Anchorage,11,0
2019-06-02,Jun,Los Angeles,23,0
2020-03-08,Mar,Anchorage,11,0
2019-11-16,Nov,Los Angeles,46,0
2019-10-15,Oct,Los Angeles,42,0
2019-03-24,Mar,Los Angeles,13,0
2019-05-04,May,Los Angeles,18,0
2019-05-11,May,Los Angeles,19,0
2019-03-17,Mar,Los Angeles,12,0
2020-03-16,Mar,Los Angeles,12,11
2020-03-20,Mar,Los Angeles,12,0
2019-06-11,Jun,Los Angeles,24,0
2020-03-21,Mar,Los Angeles,12,0
2020-03-19,Mar,Los Angeles,12,0
2019-03-26,Mar,Los Angeles,13,0
2019-09-21,Sep,Los Angeles,38,0
2019-09-26,Sep,Los Angeles,39,0
2020-03-18,Mar,Los Angeles,12,0
2019-11-06,Nov,Los Angeles,45,0
2020-03-17,Mar,Los Angeles,12,0
2020-03-15,Mar,Los Angeles,12,0
2019-04-06,Apr,Chicago,14,0
2019-03-16,Mar,Los Angeles,11,5280
2020-03-20,Mar,Chicago,12,0
2020-03-19,Mar,Chicago,12,0
2019-11-21,Nov,Los Angeles,47,0
2019-03-02,Mar,Los Angeles,9,4870
2020-03-16,Mar,Chicago,12,0
2020-03-21,Mar,Chicago,12,0
2020-03-18,Mar,Chicago,12,0
2020-03-15,Mar,Chicago,12,0
2020-03-17,Mar,Chicago,12,0
2019-05-03,May,Los Angeles,18,0
2020-03-20,Mar,Honolulu,12,0
2020-03-19,Mar,Honolulu,12,0
2019-10-05,Oct,Los Angeles,40,0
2019-07-15,Jul,Los Angeles,29,0
2020-03-21,Mar,Honolulu,12,0
2019-04-14,Apr,Chicago,16,0
2019-08-04,Aug,Chicago,32,0
2020-03-16,Mar,Honolulu,12,0
2020-03-18,Mar,Honolulu,12,0
2019-09-23,Sep,Los Angeles,39,0
2020-03-15,Mar,Honolulu,12,0
2019-03-13,Mar,Los Angeles,11,5440
2019-09-25,Sep,Los Angeles,39,0
2020-03-17,Mar,Honolulu,12,0
2019-06-13,Jun,Los Angeles,24,0
2019-11-04,Nov,Honolulu,45,0
2020-03-20,Mar,Miami,12,0
2019-10-06,Oct,Los Angeles,41,43567
2020-03-19,Mar,Miami,12,0
2020-03-21,Mar,Miami,12,0
2020-03-18,Mar,Miami,12,0
2020-03-16,Mar,Miami,12,0
2019-07-01,Jul,Los Angeles,27,0
2019-03-08,Mar,Los Angeles,10,426
2019-03-19,Mar,Los Angeles,12,0
2019-03-21,Mar,Los Angeles,12,0
2020-03-15,Mar,Miami,12,0
2020-03-20,Mar,Anchorage,12,0
2019-11-01,Nov,Los Angeles,44,25643
2019-11-10,Nov,Los Angeles,46,0
2019-05-16,May,Los Angeles,20,0
2020-03-17,Mar,Miami,12,0
2020-03-19,Mar,Anchorage,12,0
2019-10-20,Oct,Los Angeles,43,0
2020-03-21,Mar,Anchorage,12,0
2020-03-18,Mar,Anchorage,12,0
2020-03-16,Mar,Anchorage,12,0
2019-05-17,May,Los Angeles,20,0
2019-11-28,Nov,Los Angeles,48,0
2020-03-15,Mar,Anchorage,12,0
2020-03-17,Mar,Anchorage,12,0
2020-03-25,Mar,Los Angeles,13,100
2020-03-22,Mar,Los Angeles,13,0
2020-03-28,Mar,Los Angeles,13,0
2019-10-23,Oct,Los Angeles,43,0
2020-03-27,Mar,Los Angeles,13,0
2019-07-17,Jul,Chicago,29,0
2020-03-24,Mar,Los Angeles,13,0
2020-03-26,Mar,Los Angeles,13,0
2020-03-25,Mar,Chicago,13,0
2020-03-23,Mar,Los Angeles,13,0
2019-05-07,May,Los Angeles,19,0
2019-06-06,Jun,Chicago,23,0
2020-03-25,Mar,Honolulu,13,0
2020-03-22,Mar,Chicago,13,0
2019-11-20,Nov,Los Angeles,47,0
2019-03-11,Mar,Los Angeles,11,223
2020-03-27,Mar,Chicago,13,0
2019-04-07,Apr,Chicago,15,0
2019-05-27,May,Los Angeles,22,0
2019-09-07,Sep,Los Angeles,36,0
2019-07-22,Jul,Los Angeles,30,0
2020-03-28,Mar,Chicago,13,0
2019-08-06,Aug,Chicago,32,0
2019-08-18,Aug,Chicago,34,0
2019-02-16,Feb,Chicago,7,210
2019-10-12,Oct,Los Angeles,41,0
2020-03-24,Mar,Chicago,13,0
2020-03-25,Mar,Miami,13,0
2019-03-20,Mar,Los Angeles,12,0
2019-02-15,Feb,Chicago,7,101
2019-05-13,May,Los Angeles,20,0
2019-05-06,May,Los Angeles,19,0
2020-03-26,Mar,Chicago,13,0
2019-09-05,Sep,Los Angeles,36,0
2019-10-14,Oct,Los Angeles,42,0
2019-05-20,May,Chicago,21,0
2020-03-25,Mar,Anchorage,13,0
2019-06-07,Jun,Chicago,23,0
2020-03-23,Mar,Chicago,13,0
2020-03-27,Mar,Honolulu,13,0
2019-05-09,May,Los Angeles,19,0
2020-03-22,Mar,Honolulu,13,0
2019-05-10,May,Los Angeles,19,0
2019-10-18,Oct,Los Angeles,42,0
2019-09-02,Sep,Los Angeles,36,0
2019-10-01,Oct,Los Angeles,40,0
2019-09-19,Sep,Los Angeles,38,0
2020-03-28,Mar,Honolulu,13,0
2020-03-24,Mar,Honolulu,13,0
2019-05-05,May,Los Angeles,19,0
2020-03-26,Mar,Honolulu,13,0
2019-02-24,Feb,Chicago,9,2220
2020-03-27,Mar,Miami,13,0
2020-03-22,Mar,Miami,13,0
2020-03-28,Mar,Miami,13,0
2020-03-23,Mar,Honolulu,13,0
2019-10-07,Oct,Los Angeles,41,0
2020-03-24,Mar,Miami,13,0
2020-03-26,Mar,Miami,13,0
2020-03-27,Mar,Anchorage,13,0
2020-03-22,Mar,Anchorage,13,0
2020-03-28,Mar,Anchorage,13,0
2020-03-24,Mar,Anchorage,13,0
2019-05-02,May,Chicago,18,0
2019-04-24,Apr,Chicago,17,0
2020-03-26,Mar,Anchorage,13,0
2019-03-23,Mar,Los Angeles,12,0
2019-10-09,Oct,Los Angeles,41,0
2020-03-23,Mar,Miami,13,0
2019-04-03,Apr,Chicago,14,0
2020-03-23,Mar,Anchorage,13,0
2019-09-13,Sep,Los Angeles,37,0
2019-04-11,Apr,Chicago,15,0
2020-04-02,Apr,Los Angeles,14,400
2019-04-16,Apr,Chicago,16,0
2019-10-24,Oct,Los Angeles,43,0
2020-04-04,Apr,Los Angeles,14,0
2020-04-03,Apr,Los Angeles,14,0
2020-04-01,Apr,Los Angeles,14,0
2020-04-02,Apr,Chicago,14,0
2020-04-04,Apr,Chicago,14,0
2019-08-28,Aug,Chicago,35,0
2019-11-02,Nov,Los Angeles,44,0
2020-04-03,Apr,Chicago,14,0
2020-04-01,Apr,Chicago,14,0
2020-04-02,Apr,Honolulu,14,0
2019-10-21,Oct,Honolulu,43,0
2020-04-04,Apr,Honolulu,14,0
2019-02-11,Feb,Honolulu,7,2430
2020-04-03,Apr,Honolulu,14,0
2019-03-04,Mar,Chicago,10,1860
2020-04-01,Apr,Honolulu,14,0
2019-03-06,Mar,Los Angeles,10,2600
2019-11-14,Nov,Los Angeles,46,0
2019-10-04,Oct,Los Angeles,40,0
2020-04-02,Apr,Miami,14,0
2020-04-04,Apr,Miami,14,0
2020-04-03,Apr,Miami,14,0
2019-09-16,Sep,Los Angeles,38,0
2019-11-05,Nov,Los Angeles,45,0
2019-11-07,Nov,Los Angeles,45,0
2020-04-01,Apr,Miami,14,0
2020-04-02,Apr,Anchorage,14,0
2019-06-03,Jun,Chicago,23,0
2019-10-25,Oct,Los Angeles,43,0
2019-04-19,Apr,Chicago,16,0
2020-04-04,Apr,Anchorage,14,0
2019-09-04,Sep,Chicago,36,0
2020-04-03,Apr,Anchorage,14,0
2020-04-01,Apr,Anchorage,14,0
2020-04-09,Apr,Los Angeles,15,505
2020-04-11,Apr,Los Angeles,15,0
2020-04-06,Apr,Los Angeles,15,0
2020-04-05,Apr,Los Angeles,15,0
2019-09-24,Sep,Los Angeles,39,0
2019-10-02,Oct,Chicago,40,0
2020-04-07,Apr,Los Angeles,15,0
2020-04-08,Apr,Los Angeles,15,0
2020-04-10,Apr,Los Angeles,15,0
2020-04-09,Apr,Chicago,15,0
2020-04-07,Apr,Chicago,15,0
2019-11-13,Nov,Los Angeles,46,0
2020-04-08,Apr,Chicago,15,0
2020-04-11,Apr,Chicago,15,0
2020-04-10,Apr,Chicago,15,0
2019-04-04,Apr,Chicago,14,0
2019-08-13,Aug,Chicago,33,0
2020-04-05,Apr,Chicago,15,0
2019-08-14,Aug,Chicago,33,0
2020-04-09,Apr,Honolulu,15,0
2020-04-07,Apr,Honolulu,15,0
2020-04-08,Apr,Honolulu,15,0
2019-04-26,Apr,Chicago,17,0
2020-04-06,Apr,Chicago,15,0
2019-09-11,Sep,Los Angeles,37,0
2020-04-11,Apr,Honolulu,15,0
2020-04-10,Apr,Honolulu,15,0
2020-04-09,Apr,Miami,15,0
2019-11-03,Nov,Los Angeles,45,0
2019-05-26,May,Los Angeles,22,0
2019-05-18,May,Honolulu,20,0
2020-04-07,Apr,Miami,15,0
2020-04-05,Apr,Honolulu,15,0
2020-04-08,Apr,Miami,15,0
2019-05-15,May,Chicago,20,0
2020-04-09,Apr,Anchorage,15,0
2020-04-07,Apr,Anchorage,15,0
2019-09-09,Sep,Los Angeles,37,0
2020-04-11,Apr,Miami,15,0
2019-08-16,Aug,Chicago,33,0
2019-04-20,Apr,Chicago,16,0
2020-04-10,Apr,Miami,15,0
2019-04-01,Apr,Chicago,14,0
2020-04-08,Apr,Anchorage,15,0
2020-04-06,Apr,Honolulu,15,0
2019-11-18,Nov,Los Angeles,47,0
2020-04-05,Apr,Miami,15,0
2020-04-11,Apr,Anchorage,15,0
2020-04-10,Apr,Anchorage,15,0
2020-04-05,Apr,Anchorage,15,0
2019-09-20,Sep,Chicago,38,0
2019-04-22,Apr,Chicago,17,0
2019-07-24,Jul,Chicago,30,0
2020-04-06,Apr,Miami,15,0
2019-04-18,Apr,Chicago,16,0
2020-04-06,Apr,Anchorage,15,0
2020-04-12,Apr,Los Angeles,16,754
2019-11-15,Nov,Chicago,46,0
2019-11-19,Nov,Los Angeles,47,0
2020-04-14,Apr,Los Angeles,16,0
2020-04-18,Apr,Los Angeles,16,0
2020-04-17,Apr,Los Angeles,16,0
2020-04-16,Apr,Los Angeles,16,0
2020-04-15,Apr,Los Angeles,16,0
2019-04-09,Apr,Chicago,15,0
2019-10-16,Oct,Los Angeles,42,0
2019-04-21,Apr,Chicago,17,0
2019-02-28,Feb,Chicago,9,431
2019-09-15,Sep,Los Angeles,38,0
2019-08-17,Aug,Chicago,33,0
2019-07-23,Jul,Chicago,30,0
2020-04-13,Apr,Los Angeles,16,0
2020-04-16,Apr,Chicago,16,0
2020-04-14,Apr,Chicago,16,0
2019-03-22,Mar,Chicago,12,0
2019-08-12,Aug,Chicago,33,0
2020-04-15,Apr,Chicago,16,0
2019-06-21,Jun,Chicago,25,0
2020-04-18,Apr,Chicago,16,0
2020-04-17,Apr,Chicago,16,0
2020-04-12,Apr,Chicago,16,0
2020-04-13,Apr,Chicago,16,0
2020-04-16,Apr,Honolulu,16,0
2020-04-14,Apr,Honolulu,16,0
2019-11-12,Nov,Chicago,46,0
2019-09-14,Sep,Los Angeles,37,0
2020-04-15,Apr,Honolulu,16,0
2020-04-18,Apr,Honolulu,16,0
2020-04-17,Apr,Honolulu,16,0
2020-04-13,Apr,Honolulu,16,0
2019-07-25,Jul,Chicago,30,0
2020-04-12,Apr,Honolulu,16,0
2019-04-12,Apr,Chicago,15,0
2019-02-23,Feb,Chicago,8,5040
2020-04-16,Apr,Miami,16,0
2020-04-14,Apr,Miami,16,0
2019-10-19,Oct,Los Angeles,42,0
2019-06-01,Jun,Chicago,22,0
2019-05-01,May,Chicago,18,0
2019-02-22,Feb,Chicago,8,1650
2020-04-15,Apr,Miami,16,0
2020-04-18,Apr,Miami,16,0
2019-08-07,Aug,Honolulu,32,0
2019-08-20,Aug,Chicago,34,0
2020-04-16,Apr,Anchorage,16,0
2020-04-17,Apr,Miami,16,0
2019-09-17,Sep,Los Angeles,38,0
2020-04-13,Apr,Miami,16,0
2020-04-12,Apr,Miami,16,0
2020-04-14,Apr,Anchorage,16,0
2019-04-17,Apr,Honolulu,16,0
2019-09-06,Sep,Chicago,36,0
2020-04-15,Apr,Anchorage,16,0
2019-02-14,Feb,Chicago,7,146
2019-04-28,Apr,Chicago,18,0
2020-04-18,Apr,Anchorage,16,0
2019-10-03,Oct,Los Angeles,40,0
2020-04-17,Apr,Anchorage,16,0
2020-04-13,Apr,Anchorage,16,0
2020-04-12,Apr,Anchorage,16,0
2019-09-12,Sep,Los Angeles,37,0
2019-02-10,Feb,Chicago,7,198
