Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
46,44806,0,0,100,2015-06-28,2015-06-29,9,40,Dinosaur battery-powered slippers (Green) L,Each,9,32.00,15.000,288.00,43.20,216.00,331.20,9,0,11
47,45963,0,0,17,2015-09-05,2015-09-06,25,955,Tape dispenser (Black),Each,20,32.00,15.000,640.00,96.00,300.00,736.00,20,0,11
48,39257,370,202,123,2015-07-16,2015-07-17,6,128,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",Each,72,18.00,15.000,1296.00,194.40,720.00,1490.40,72,0,11
49,54571,386,202,180,2015-01-30,2015-01-31,9,167,"Developer joke mug - (hip, hip, array) (White)",Each,5,13.00,15.000,65.00,9.75,42.50,74.75,5,0,11
50,48409,387,202,91,2015-01-01,2015-01-02,9,569,Plush shark slippers (Gray) XL,Each,1,32.00,15.000,32.00,4.80,23.50,36.80,1,0,11
51,56563,0,0,84,2015-01-01,2015-01-02,25,914,Animal with big feet slippers (Brown) L,Each,10,32.00,15.000,320.00,48.00,240.00,368.00,10,0,11
52,58467,324,202,25,2015-01-01,2015-01-02,9,205,Black and orange handle with care despatch tape  48mmx75m,Each,120,3.70,15.000,444.00,66.60,288.00,510.60,120,0,11
53,59350,383,202,89,2015-02-06,2015-02-07,9,568,Furry gorilla with big eyes slippers (Black) M,Each,6,32.00,15.000,192.00,28.80,144.00,220.80,6,0,11
54,60505,0,0,158,2015-01-08,2015-01-09,12,744,RC toy sedan car with remote control (Yellow) 1/50 scale,Each,6,25.00,15.000,150.00,22.50,75.00,172.50,6,0,11
55,60159,0,0,59,2015-02-10,2015-02-11,15,446,20 mm Double sided bubble wrap 50m,Each,60,108.00,15.000,6480.00,972.00,5520.00,7452.00,60,0,11
56,49915,42,1,150,2015-11-04,2015-11-05,21,315,Ride on toy sedan car (Green) 1/12 scale,Each,10,230.00,15.000,2300.00,345.00,850.00,2645.00,10,0,11
57,65245,195,1,207,2015-01-01,2015-01-02,12,787,USB food flash drive - shrimp cocktail,Each,9,32.00,15.000,288.00,43.20,180.00,331.20,9,0,11
58,48409,387,202,175,2015-01-01,2015-01-02,11,11,Developer joke mug - there are 10 types of people in the world (Black),Each,1,13.00,15.000,13.00,1.95,8.50,14.95,1,0,11
59,63044,208,202,110,2015-01-01,2015-01-02,6,164,Superhero action jacket (Blue) S,Each,2,25.00,15.000,50.00,7.50,12.00,57.50,2,0,11
60,54587,89,1,147,2015-01-01,2015-01-02,23,525,Ride on vintage American toy coupe (Red) 1/12 scale,Each,9,285.00,15.000,2565.00,384.75,1170.00,2949.75,9,0,11
61,50845,191,1,182,2015-07-16,2015-07-17,9,10,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13.00,15.000,65.00,9.75,42.50,74.75,5,0,11
62,55406,0,0,136,2015-01-01,2015-01-02,12,265,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",Each,12,18.00,15.000,216.00,32.40,120.00,248.40,12,0,11
63,41081,380,202,213,2015-09-16,2015-09-17,21,263,USB food flash drive - pizza slice,Each,4,32.00,15.000,128.00,19.20,80.00,147.20,4,0,11
64,69386,140,1,192,2015-01-01,2015-01-02,11,106,DBA joke mug - two types of DBAs (White),Each,7,13.00,15.000,91.00,13.65,59.50,104.65,7,0,11
65,74510,8,1,94,2015-04-13,2015-04-14,15,665,Plush shark slippers (Gray) S,Each,6,32.00,15.000,192.00,28.80,144.00,220.80,6,0,11
66,45901,0,0,81,2015-01-01,2015-01-02,19,245,Furry animal socks (Pink) M,Pair,120,5.00,15.000,600.00,90.00,420.00,690.00,120,0,11
67,65982,0,0,150,2015-01-10,2015-01-11,21,186,Ride on toy sedan car (Green) 1/12 scale,Each,7,230.00,15.000,1610.00,241.50,595.00,1851.50,7,0,11
68,44863,264,202,110,2015-03-14,2015-03-15,12,43,Superhero action jacket (Blue) S,Each,2,25.00,15.000,50.00,7.50,12.00,57.50,2,0,11
69,48409,387,202,167,2015-07-15,2015-07-16,12,382,IT joke mug - keyboard not found … press F1 to continue (Black),Each,8,13.00,15.000,104.00,15.60,68.00,119.60,8,0,11
70,42362,290,202,109,2015-07-03,2015-07-04,7,184,Superhero action jacket (Blue) M,Each,2,30.00,15.000,60.00,9.00,16.00,69.00,2,0,11
71,69146,224,202,105,2015-01-01,2015-01-02,15,42,Superhero action jacket (Blue) 3XL,Each,6,34.00,15.000,204.00,30.60,60.00,234.60,6,0,11
72,51708,0,0,161,2015-01-01,2015-01-02,21,126,RC toy sedan car with remote control (Red) 1/50 scale,Each,5,25.00,15.000,125.00,18.75,62.50,143.75,5,0,11
73,56738,389,202,128,2015-08-29,2015-08-30,12,384,"""The Gu"" red shirt XML tag t-shirt (Black) S",Each,120,18.00,15.000,2160.00,324.00,1320.00,2484.00,120,0,11
74,65852,393,202,8,2015-01-01,2015-01-02,11,385,Large  replacement blades 18mm,Each,50,4.30,15.000,215.00,32.25,112.50,247.25,50,0,11
75,64360,68,1,14,2015-03-12,2015-03-13,12,107,Permanent marker black 5mm nib (Black) 5mm,Each,72,2.70,15.000,194.40,29.16,72.00,223.56,72,0,11
76,57335,350,202,5,2015-01-01,2015-01-02,19,486,Air cushion machine (Blue),Each,8,1899.00,15.000,15192.00,2278.80,6072.00,17470.80,8,0,11
68844017,42573,0,0,208,2016-11-09,2016-11-10,12,842,USB food flash drive - donut,Each,4,32.00,15.000,128.00,19.20,80.00,147.20,4,0,11
78,48409,387,202,2,2015-01-07,2015-01-08,11,383,Void fill 300 L bag (White) 300L,Each,10,37.50,15.000,375.00,56.25,195.00,431.25,10,0,11
79,73281,39,1,121,2015-02-18,2015-02-19,11,314,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Each,96,18.00,15.000,1728.00,259.20,960.00,1987.20,96,0,11
80,67833,304,202,7,2015-01-01,2015-01-02,12,956,Air cushion film 200mmx100mm 325m,Each,9,87.00,15.000,783.00,117.45,468.00,900.45,9,0,11
81,70871,86,1,191,2015-01-03,2015-01-04,7,130,DBA joke mug - two types of DBAs (Black),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
82,53360,0,0,122,2015-01-01,2015-01-02,15,403,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",Each,48,18.00,15.000,864.00,129.60,480.00,993.60,48,0,11
83,48988,49,1,159,2015-01-01,2015-01-02,8,127,RC toy sedan car with remote control (Green) 1/50 scale,Each,1,25.00,15.000,25.00,3.75,12.50,28.75,1,0,11
84,71742,0,0,192,2015-01-01,2015-01-02,9,588,DBA joke mug - two types of DBAs (White),Each,8,13.00,15.000,104.00,15.60,68.00,119.60,8,0,11
85,57592,216,202,6,2015-11-28,2015-11-29,8,41,Air cushion film 200mmx200mm 325m,Each,2,90.00,15.000,180.00,27.00,72.00,207.00,2,0,11
86,41238,288,202,190,2015-04-05,2015-04-06,4,82,Developer joke mug - Oct 31 = Dec 25 (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
87,40971,0,0,124,2015-01-04,2015-01-05,4,210,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Each,108,18.00,15.000,1944.00,291.60,1134.00,2235.60,108,0,11
88,41568,0,0,176,2015-06-30,2015-07-01,9,187,Developer joke mug - there are 10 types of people in the world (White),Each,3,13.00,15.000,39.00,5.85,25.50,44.85,3,0,11
89,38135,279,202,15,2015-06-28,2015-06-29,23,358,Tape dispenser (Blue),Each,60,32.00,15.000,1920.00,288.00,900.00,2208.00,60,0,11
90,47479,132,1,214,2015-07-03,2015-07-04,15,334,USB food flash drive - hot dog,Each,7,32.00,15.000,224.00,33.60,140.00,257.60,7,0,11
91,41628,344,202,184,2015-08-21,2015-08-22,11,80,Developer joke mug - when your hammer is C++ (White),Each,6,13.00,15.000,78.00,11.70,51.00,89.70,6,0,11
92,62500,298,202,169,2015-06-26,2015-06-27,15,995,Developer joke mug - old C developers never die (Black),Each,1,13.00,15.000,13.00,1.95,8.50,14.95,1,0,11
93,75213,0,0,136,2015-01-12,2015-01-13,8,104,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",Each,108,18.00,15.000,1944.00,291.60,1080.00,2235.60,108,0,11
94,67391,356,202,29,2015-02-19,2015-02-20,7,208,Black and orange fragile despatch tape 48mmx75m,Each,180,3.70,15.000,666.00,99.90,342.00,765.90,180,0,11
95,64723,0,0,95,2015-01-01,2015-01-02,25,1328,Ogre battery-powered slippers (Green) XL,Each,5,32.00,15.000,160.00,24.00,117.50,184.00,5,0,11
96,67024,0,0,217,2015-01-01,2015-01-02,12,663,Office cube periscope (Black),Each,40,18.50,15.000,740.00,111.00,290.00,851.00,40,0,11
97,39337,155,1,158,2015-01-01,2015-01-02,27,609,RC toy sedan car with remote control (Yellow) 1/50 scale,Each,8,25.00,15.000,200.00,30.00,100.00,230.00,8,0,11
98,61143,141,1,41,2015-01-01,2015-01-02,12,336,Shipping carton (Brown) 229x229x229mm,Each,200,1.05,15.000,210.00,31.50,100.00,241.50,200,0,11
99,43529,0,0,214,2015-02-19,2015-02-20,30,896,USB food flash drive - hot dog,Each,6,32.00,15.000,192.00,28.80,120.00,220.80,6,0,11
100,58830,257,202,108,2015-01-01,2015-01-02,12,81,Superhero action jacket (Blue) L,Each,4,30.00,15.000,120.00,18.00,32.00,138.00,4,0,11
101,48331,347,202,206,2015-07-22,2015-07-23,23,724,USB food flash drive - fortune cookie,Each,9,32.00,15.000,288.00,43.20,180.00,331.20,9,0,11
102,64723,0,0,211,2015-07-22,2015-07-23,19,105,USB food flash drive - banana,Each,8,32.00,15.000,256.00,38.40,160.00,294.40,8,0,11
103,57498,77,1,86,2015-07-24,2015-07-25,4,9,Animal with big feet slippers (Brown) S,Each,4,32.00,15.000,128.00,19.20,96.00,147.20,4,0,11
104,39209,0,0,188,2015-06-28,2015-06-29,4,8,Developer joke mug - that's a hardware problem (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
105,54587,89,1,148,2015-01-01,2015-01-02,12,244,Ride on toy sedan car (Pink) 1/12 scale,Each,5,230.00,15.000,1150.00,172.50,425.00,1322.50,5,0,11
106,44806,0,0,100,2015-06-28,2015-06-29,9,40,Dinosaur battery-powered slippers (Green) L,Each,9,32.00,15.000,288.00,43.20,216.00,331.20,9,0,11
107,70871,86,1,184,2015-09-05,2015-09-06,7,422,Developer joke mug - when your hammer is C++ (White),Each,6,13.00,15.000,78.00,11.70,51.00,89.70,6,0,11
108,39257,370,202,8,2015-07-16,2015-07-17,6,128,Large  replacement blades 18mm,Each,80,4.30,15.000,344.00,51.60,180.00,395.60,80,0,11
109,57489,330,202,158,2015-01-30,2015-01-31,7,12,RC toy sedan car with remote control (Yellow) 1/50 scale,Each,5,25.00,15.000,125.00,18.75,62.50,143.75,5,0,11
110,48409,387,202,81,2015-01-01,2015-01-02,9,569,Furry animal socks (Pink) M,Pair,48,5.00,15.000,240.00,36.00,168.00,276.00,48,0,11
111,53792,167,1,137,2015-01-01,2015-01-02,35,1206,"""The Gu"" red shirt XML tag t-shirt (White) XXL",Each,120,18.00,15.000,2160.00,324.00,1260.00,2484.00,120,0,11
112,58467,324,202,97,2015-01-01,2015-01-02,9,205,Ogre battery-powered slippers (Green) M,Each,10,32.00,15.000,320.00,48.00,240.00,368.00,10,0,11
113,59350,383,202,93,2015-02-06,2015-02-07,9,568,Plush shark slippers (Gray) M,Each,1,32.00,15.000,32.00,4.80,24.00,36.80,1,0,11
114,61111,38,1,204,2015-01-08,2015-01-09,19,312,DBA joke mug - mind if I join you? (White),Each,7,13.00,15.000,91.00,13.65,59.50,104.65,7,0,11
115,60159,0,0,59,2015-02-10,2015-02-11,15,446,20 mm Double sided bubble wrap 50m,Each,60,108.00,15.000,6480.00,972.00,5520.00,7452.00,60,0,11
116,49915,42,1,150,2015-11-04,2015-11-05,21,315,Ride on toy sedan car (Green) 1/12 scale,Each,10,230.00,15.000,2300.00,345.00,850.00,2645.00,10,0,11
117,65245,195,1,24,2015-01-01,2015-01-02,12,787,Black and orange handle with care despatch tape  48mmx100m,Each,72,4.10,15.000,295.20,44.28,151.20,339.48,72,0,11
118,51006,119,1,152,2015-01-01,2015-01-02,7,424,Ride on toy sedan car (Red) 1/12 scale,Each,4,230.00,15.000,920.00,138.00,340.00,1058.00,4,0,11
119,61486,88,1,78,2015-01-01,2015-01-02,21,524,Halloween zombie mask (Light Brown) S,Each,84,18.00,15.000,1512.00,226.80,-84.00,1738.80,84,0,11
120,40704,399,202,161,2015-01-01,2015-01-02,15,915,RC toy sedan car with remote control (Red) 1/50 scale,Each,3,25.00,15.000,75.00,11.25,37.50,86.25,3,0,11
121,50845,191,1,182,2015-07-16,2015-07-17,9,10,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13.00,15.000,65.00,9.75,42.50,74.75,5,0,11
122,55406,0,0,126,2015-01-01,2015-01-02,12,265,"""The Gu"" red shirt XML tag t-shirt (Black) L",Each,48,18.00,15.000,864.00,129.60,528.00,993.60,48,0,11
123,41081,380,202,213,2015-09-16,2015-09-17,21,263,USB food flash drive - pizza slice,Each,4,32.00,15.000,128.00,19.20,80.00,147.20,4,0,11
124,61956,137,1,19,2015-01-01,2015-01-02,21,917,Red and white urgent despatch tape 48mmx75m,Each,144,3.70,15.000,532.80,79.92,302.40,612.72,144,0,11
125,74510,8,1,94,2015-04-13,2015-04-14,15,665,Plush shark slippers (Gray) S,Each,6,32.00,15.000,192.00,28.80,144.00,220.80,6,0,11
126,45901,0,0,12,2015-01-01,2015-01-02,19,245,Permanent marker red 5mm nib (Red) 5mm,Each,48,2.70,15.000,129.60,19.44,48.00,149.04,48,0,11
127,65982,0,0,124,2015-01-10,2015-01-11,21,186,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Each,24,18.00,15.000,432.00,64.80,252.00,496.80,24,0,11
128,44863,264,202,110,2015-03-14,2015-03-15,12,43,Superhero action jacket (Blue) S,Each,2,25.00,15.000,50.00,7.50,12.00,57.50,2,0,11
129,66573,0,0,164,2015-07-15,2015-07-16,6,404,IT joke mug - hardware: part of the computer that can be kicked (White),Each,5,13.00,15.000,65.00,9.75,42.50,74.75,5,0,11
130,42362,290,202,109,2015-07-03,2015-07-04,7,184,Superhero action jacket (Blue) M,Each,2,30.00,15.000,60.00,9.00,16.00,69.00,2,0,11
131,69146,224,202,180,2015-01-01,2015-01-02,15,42,"Developer joke mug - (hip, hip, array) (White)",Each,10,13.00,15.000,130.00,19.50,85.00,149.50,10,0,11
132,64280,158,1,209,2015-01-01,2015-01-02,26,706,USB food flash drive - cookie,Each,3,32.00,15.000,96.00,14.40,60.00,110.40,3,0,11
133,56738,389,202,128,2015-08-29,2015-08-30,12,384,"""The Gu"" red shirt XML tag t-shirt (Black) S",Each,120,18.00,15.000,2160.00,324.00,1320.00,2484.00,120,0,11
134,62837,0,0,50,2015-01-01,2015-01-02,7,76,20 mm Anti static bubble wrap (Blue) 50m,Each,30,102.00,15.000,3060.00,459.00,1410.00,3519.00,30,0,11
135,64360,68,1,13,2015-03-12,2015-03-13,12,107,Permanent marker blue 5mm nib (Blue) 5mm,Each,48,2.70,15.000,129.60,19.44,48.00,149.04,48,0,11
136,56156,27,1,92,2015-01-01,2015-01-02,11,667,Plush shark slippers (Gray) L,Each,7,32.00,15.000,224.00,33.60,168.00,257.60,7,0,11
68844077,42573,0,0,208,2016-11-09,2016-11-10,12,842,USB food flash drive - donut,Each,4,32.00,15.000,128.00,19.20,80.00,147.20,4,0,11
138,49101,0,0,79,2015-01-07,2015-01-08,28,1184,Furry animal socks (Pink) XL,Pair,96,5.00,15.000,480.00,72.00,336.00,552.00,96,0,11
139,73281,39,1,139,2015-02-18,2015-02-19,11,314,"""The Gu"" red shirt XML tag t-shirt (White) L",Each,60,18.00,15.000,1080.00,162.00,660.00,1242.00,60,0,11
140,39667,322,202,60,2015-01-01,2015-01-02,11,810,20 mm Double sided bubble wrap 20m,Each,90,33.00,15.000,2970.00,445.50,1620.00,3415.50,90,0,11
141,61956,137,1,153,2015-01-03,2015-01-04,21,335,Ride on toy sedan car (Black) 1/12 scale,Each,5,230.00,15.000,1150.00,172.50,425.00,1322.50,5,0,11
142,53360,0,0,39,2015-01-01,2015-01-02,15,403,Shipping carton (Brown) 356x229x229mm,Each,250,1.14,15.000,285.00,42.75,145.00,327.75,250,0,11
143,48988,49,1,117,2015-01-01,2015-01-02,8,127,Alien officer hoodie (Black) XXL,Each,6,35.00,15.000,210.00,31.50,108.00,241.50,6,0,11
144,71742,0,0,20,2015-01-01,2015-01-02,9,588,Black and yellow heavy despatch tape 48mmx100m,Each,168,4.10,15.000,688.80,103.32,285.60,792.12,168,0,11
145,57592,216,202,108,2015-11-28,2015-11-29,8,41,Superhero action jacket (Blue) L,Each,3,30.00,15.000,90.00,13.50,24.00,103.50,3,0,11
146,41238,288,202,174,2015-04-05,2015-04-06,4,82,Developer joke mug - a foo walks into a bar (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
147,40971,0,0,124,2015-01-04,2015-01-05,4,210,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Each,108,18.00,15.000,1944.00,291.60,1134.00,2235.60,108,0,11
148,41568,0,0,176,2015-06-30,2015-07-01,9,187,Developer joke mug - there are 10 types of people in the world (White),Each,3,13.00,15.000,39.00,5.85,25.50,44.85,3,0,11
149,38135,279,202,15,2015-06-28,2015-06-29,23,358,Tape dispenser (Blue),Each,60,32.00,15.000,1920.00,288.00,900.00,2208.00,60,0,11
150,47479,132,1,19,2015-07-03,2015-07-04,15,334,Red and white urgent despatch tape 48mmx75m,Each,48,3.70,15.000,177.60,26.64,100.80,204.24,48,0,11
151,41628,344,202,6,2015-08-21,2015-08-22,11,80,Air cushion film 200mmx200mm 325m,Each,10,90.00,15.000,900.00,135.00,360.00,1035.00,10,0,11
152,62500,298,202,169,2015-06-26,2015-06-27,15,995,Developer joke mug - old C developers never die (Black),Each,1,13.00,15.000,13.00,1.95,8.50,14.95,1,0,11
153,41967,0,0,188,2015-01-12,2015-01-13,4,264,Developer joke mug - that's a hardware problem (White),Each,6,13.00,15.000,78.00,11.70,51.00,89.70,6,0,11
154,67391,356,202,100,2015-02-19,2015-02-20,7,208,Dinosaur battery-powered slippers (Green) L,Each,1,32.00,15.000,32.00,4.80,24.00,36.80,1,0,11
155,43830,268,202,149,2015-01-01,2015-01-02,15,44,Ride on toy sedan car (Yellow) 1/12 scale,Each,10,230.00,15.000,2300.00,345.00,850.00,2645.00,10,0,11
156,67024,0,0,178,2015-01-01,2015-01-02,12,663,Developer joke mug - understanding recursion requires understanding recursion (White),Each,9,13.00,15.000,117.00,17.55,76.50,134.55,9,0,11
157,69686,124,1,80,2015-01-01,2015-01-02,9,425,Furry animal socks (Pink) L,Pair,84,5.00,15.000,420.00,63.00,294.00,483.00,84,0,11
158,61143,141,1,70,2015-01-01,2015-01-02,12,336,Pack of 12 action figures (variety),Packet,4,16.00,15.000,64.00,9.60,42.00,73.60,4,0,11
159,43529,0,0,117,2015-02-19,2015-02-20,30,896,Alien officer hoodie (Black) XXL,Each,9,35.00,15.000,315.00,47.25,162.00,362.25,9,0,11
160,58830,257,202,100,2015-01-01,2015-01-02,12,81,Dinosaur battery-powered slippers (Green) L,Each,8,32.00,15.000,256.00,38.40,192.00,294.40,8,0,11
161,48331,347,202,206,2015-07-22,2015-07-23,23,724,USB food flash drive - fortune cookie,Each,9,32.00,15.000,288.00,43.20,180.00,331.20,9,0,11
162,64723,0,0,14,2015-07-22,2015-07-23,19,105,Permanent marker black 5mm nib (Black) 5mm,Each,72,2.70,15.000,194.40,29.16,72.00,223.56,72,0,11
