ID,UpdateOn,ValueAddedTax,TargetValueAddedTax,IncomeTax,TargetIncomeTax,CorporationTax,TargetCorporationTax,location,Industries
1027,2020-10-09,2811446.02,3126604.8,28205316.39,31345528.47,796535.42,883131.3,Location-1,Manufacturing
1028,2020-10-09,2811666.42,3117026.78,28212582.27,31342142.62,803807.97,888080.07,Location-2,Manufacturing
1029,2020-10-09,2811673.01,3116318.36,28206145.59,31339552.87,802990.41,894022.91,Location-3,Manufacturing
1030,2020-10-09,2811769.61,3120278.64,28208923.61,31340568.38,805096.37,896504.41,Location-4,Manufacturing
1031,2020-10-09,2811843.79,3119448.06,28225476.13,31365134.41,821239.97,901949.45,Location-5,Manufacturing
1032,2020-10-09,3047213.84,3354336.63,30803328.72,338684308.2,955048.78,1059212.69,Location-1,Finance
1033,2020-10-09,3046989.27,3353865.56,30810079.33,338689714.5,966239.3,1053095.92,Location-2,Finance
1034,2020-10-09,3046757.27,3351887.8,30807502.74,338680619.5,966523.36,1054357.44,Location-3,Finance
1035,2020-10-09,3046726.3,3356930.15,30807228.04,338684774,962046.88,1059702.3,Location-4,Finance
1036,2020-10-09,3046650.89,3358446.01,30828543.52,338710391.8,974407.58,1071675.06,Location-5,Finance
1037,2020-10-10,5097942.44,5594565.46,28468685.36,31900378.03,775724.94,876289.38,Location-1,Retails
1038,2020-10-10,5098004.12,5592258.47,28475526.86,31898648.11,776776.14,869048.25,Location-2,Retails
1039,2020-10-10,5098066.49,5598176.39,28479388.78,31897545.3,775064.55,878503.09,Location-3,Retails
1040,2020-10-10,5098070.02,5587167.95,28470739.81,31910507.08,784018.15,870476.08,Location-4,Retails
1041,2020-10-10,5098092.4,5605098.44,28491150.72,31928721.92,789985.95,890862.64,Location-5,Retails
1042,2020-10-10,2811897.78,3126346.91,28203525.41,31339477.32,798716.81,892162.58,Location-1,Manufacturing
1043,2020-10-10,2812095.36,3117745.33,28206692.21,31346248.08,795821,885861.6,Location-2,Manufacturing
1044,2020-10-10,2812114.6,3125663.66,28202409.09,31336350.73,802973.39,889520.45,Location-3,Manufacturing
1045,2020-10-10,2812294.86,3123062.65,28213330.64,31339218.68,808527.54,897525.21,Location-4,Manufacturing
1046,2020-10-10,2812352.06,3120892.99,28228897.17,31363401.59,821808.99,905867.08,Location-5,Manufacturing
1047,2020-10-10,3045979.36,3352216.05,30805844.3,338684594.7,958403.77,1052893.02,Location-1,Finance
1048,2020-10-10,3045846.54,3358706.72,30802385.74,338682823.8,957674.7,1057913.23,Location-2,Finance
1049,2020-10-10,3045643.3,3357906.53,30803660.84,338685769.6,962675.23,1063730.76,Location-3,Finance
1050,2020-10-10,3045569.19,3353691.8,30815240.5,338688179.5,964830.32,1059046.87,Location-4,Finance
1051,2020-10-10,3045242.41,3361686.27,30831089.7,338704395.7,976075.41,1073876.87,Location-5,Finance
1052,2020-10-11,5098118.68,5594182.54,28473844.76,31906959.86,778094.58,870547.22,Location-1,Retails
1053,2020-10-11,5098176.33,5593023.35,28467634.67,31899292.36,780966.7,869512.4,Location-2,Retails
1054,2020-10-11,5098288.11,5592951.6,28478900.15,31898056.51,779201.52,869765.91,Location-3,Retails
1055,2020-10-11,5098493.51,5587507.81,28472523.62,31904721.03,779337.43,880648.21,Location-4,Retails
1056,2020-10-11,5098577.74,5592038.62,28490934.15,31928698.05,788083.33,894000.41,Location-5,Retails
1057,2020-10-11,2813324.34,3124545.04,28206824.91,31336572.04,800526.97,889509.39,Location-1,Manufacturing
1058,2020-10-11,2813586.47,3120862.48,28208790.57,31342998.41,794611.15,892241.57,Location-2,Manufacturing
1059,2020-10-11,2813649.64,3121807.63,28215549.01,31348063,798872.16,884671.03,Location-3,Manufacturing
1060,2020-10-11,2814180.11,3123502.12,28213320.26,31344076.63,802572.26,897755.59,Location-4,Manufacturing
1061,2020-10-11,2814635.99,3123228.12,28221065.8,31360870.8,825237.86,905802.85,Location-5,Manufacturing
1062,2020-10-11,3070631.13,3367929.04,3356692.91,338682230.9,962973.42,1058460.25,Location-1,Finance
1063,2020-10-11,3077057.66,3371644.58,3357402.46,338682326.1,961486.37,1056530.64,Location-2,Finance
1064,2020-10-11,3079375.8,3366335.35,3351029.54,338680902.8,961364.72,1054524.39,Location-3,Finance
1065,2020-10-11,3082392.4,3374007.04,3354756.06,338689454.3,968605.56,1059113.29,Location-4,Finance
1066,2020-10-11,3085994.02,3386272.8,3362553.92,338718149.7,971403.36,1079217.04,Location-5,Finance
1067,2020-10-12,5098754.86,5593034.14,28470412.82,31901075.32,777917.73,866940.09,Location-1,Retails
1068,2020-10-12,5098810.53,5589223.9,28469295.27,31908627.1,778528.62,868373.22,Location-2,Retails
1069,2020-10-12,5098840.91,5598187.87,28479694.18,31905320.88,777394.17,868441.61,Location-3,Retails
1070,2020-10-12,5099120.57,5589858.65,28478585.89,31899881.78,779573.63,883383.23,Location-4,Retails
1071,2020-10-12,5099164.74,5587547.7,28490478.43,31923898.21,790017.23,895429.5,Location-5,Retails
1072,2020-10-12,2814907.28,3125337.74,28210854.09,31336832.73,801722.36,882963.55,Location-1,Manufacturing
1073,2020-10-12,2815030.04,3126471.12,28210140.42,31347748.35,799314.59,889997.84,Location-2,Manufacturing
1074,2020-10-12,2815192.32,3117243.59,28205344.04,31338069.74,803286.23,892932.55,Location-3,Manufacturing
1075,2020-10-12,2815207.11,3138250.53,28210371.26,31353238.17,800144.35,895534.69,Location-4,Manufacturing
1076,2020-10-12,2815211.55,3122066.39,28223403.34,31356733.6,816917.15,902257.91,Location-5,Manufacturing
1077,2020-10-12,3083685.46,3371667.58,3357016.41,338683099.6,959827.4,1051436.72,Location-1,Finance
1078,2020-10-12,3083173.47,3375467.32,3351277.76,338683461.2,964702.68,1055123.95,Location-2,Finance
1079,2020-10-12,3081630.99,3384700.49,3356446.96,338682747.8,956705.58,1063870.65,Location-3,Finance
1080,2020-10-12,3079721.2,3372323.59,3351603.4,338679839.9,972230.21,1060380.72,Location-4,Finance
1081,2020-10-12,3079044.39,3385156.56,3361715.8,338716305.2,977648.85,1074696.08,Location-5,Finance
1082,2020-10-13,5099184.66,5589621.08,28474017.39,31903435.58,781526.75,869824.59,Location-1,Retails
1083,2020-10-13,5099212.82,5589404.95,28471705.49,31898184.8,777622.37,870737.07,Location-2,Retails
1084,2020-10-13,5099271.26,5590619.43,28475754.58,31905904,772177.67,878734.9,Location-3,Retails
1085,2020-10-13,5099359.28,5594066.98,28467585.84,31897935.63,772489.7,870228.24,Location-4,Retails
1086,2020-10-13,5099452.75,5593620.56,28488753.28,31933522.5,806756.12,894678.24,Location-5,Retails
1087,2020-10-13,2815447.05,3133326.81,28210506.6,31337739.71,800573.64,890925,Location-1,Manufacturing
1088,2020-10-13,2815633.18,3116307.78,28202623.99,31348920.02,802350.81,886227.65,Location-2,Manufacturing
1089,2020-10-13,2815718.02,3142594.99,28213802.32,31345129.02,799808.95,885031.6,Location-3,Manufacturing
1090,2020-10-13,2818211.29,3134005.65,28209634.32,31351330.59,809039.43,891867.55,Location-4,Manufacturing
1091,2020-10-13,2819143.06,3135778.85,28221535.81,31352137.75,814016.93,915726.68,Location-5,Manufacturing
1092,2020-10-13,3075001.11,3374349.4,3354347.83,338687080,964206.41,1057609.37,Location-1,Finance
1093,2020-10-13,3071988.89,3381237.13,3363241.16,338680684.8,956997.11,1058303.08,Location-2,Finance
1094,2020-10-13,3071735.56,3371448.27,3351245.24,338682699.4,960797.28,1050390.34,Location-3,Finance
1095,2020-10-13,3070495.89,3378334.34,3363534,338700045.3,965739.25,1062235.7,Location-4,Finance
1096,2020-10-13,3066012.09,3379265.84,3351837.17,338702576,974188.17,1070795.93,Location-5,Finance
1097,2020-10-14,5099456.47,5599695.81,28474996.64,31901717.99,776001.86,873052.42,Location-1,Retails
1098,2020-10-14,5099636.8,5593360.11,28466476.52,31905672.04,780706.64,869718.91,Location-2,Retails
1099,2020-10-14,5099651.27,5593814.71,28466128.25,31901700.78,775938.2,872031.58,Location-3,Retails
1100,2020-10-14,5099710.1,5599937.18,28478833.77,31906940.34,772775.61,870067.58,Location-4,Retails
1101,2020-10-14,5099928.33,5592590.76,28491640.43,31913700.94,794624.79,902439.13,Location-5,Retails
1102,2020-10-14,2820610.45,3133174.98,28211719.75,31343922.03,805746.11,892016.94,Location-1,Manufacturing
1103,2020-10-14,2820837.96,3144658.36,28211428.1,31335482.69,800580.8,891686.92,Location-2,Manufacturing
1104,2020-10-14,2821045.4,3148032.08,28211132.78,31342821.35,805722.09,890840.49,Location-3,Manufacturing
1105,2020-10-14,2821930.14,3125286.39,28205734.48,31343446.28,797756.21,886266.09,Location-4,Manufacturing
1106,2020-10-14,2822878.99,3143618.44,28222949.6,31359883.79,824144.99,906910.17,Location-5,Manufacturing
1107,2020-10-14,3064480.16,3363424.01,3366166.34,338681414.3,956135.82,1052506.28,Location-1,Finance
1108,2020-10-14,3063216.13,3356173.84,3348591.56,338689903.4,961770.53,1060356.12,Location-2,Finance
1109,2020-10-14,3062874.12,3364965.65,3355362.33,338682157.8,966360.18,1056343.73,Location-3,Finance
1110,2020-10-14,3060288.39,3362804.33,3357126.32,338679120.1,959578.74,1065594.89,Location-4,Finance
1111,2020-10-14,3059538.11,3365430.02,3352982.15,338712475.2,978668.88,1068412.85,Location-5,Finance
1112,2020-10-15,5100053.75,5588496.08,28469310.54,31900309.05,778888.93,870026.32,Location-1,Retails
1113,2020-10-15,5100061.33,5599409.9,28479411.33,31902653.64,772750.47,869872.99,Location-2,Retails
1114,2020-10-15,5100371.77,5595739.87,28468608.3,31902012.76,781278.13,879176.56,Location-3,Retails
1115,2020-10-15,5100542.05,5596419.37,28476323.75,31914943.05,779406.5,869148.43,Location-4,Retails
1116,2020-10-15,5100689.59,5594777.79,28495303.07,31920117.3,795790.67,898613.87,Location-5,Retails
1117,2020-10-15,2823441.28,3131152.36,28211018.17,31336004.27,805361.8,885019.3,Location-1,Manufacturing
1118,2020-10-15,2823918.27,3131541.69,28204175.16,31338999.99,803795.64,891246.28,Location-2,Manufacturing
1119,2020-10-15,2824123.91,3130314.19,28207746.11,31350258.54,800369.77,894656.47,Location-3,Manufacturing
1120,2020-10-15,2824280.23,3149811.67,28203013.85,31347640.6,796677.65,894480.47,Location-4,Manufacturing
1121,2020-10-15,2824490.23,3142503.92,28233727.23,31356792.77,822605.47,899574.01,Location-5,Manufacturing
1122,2020-10-15,3058807.03,3360474.2,3357803.56,338686250.7,957283.51,1053677.96,Location-1,Finance
1123,2020-10-15,3058172.37,3352015.34,3356647.96,338682973.2,965832.98,1054359.35,Location-2,Finance
1124,2020-10-15,3057852.27,3364409.65,3350159.34,338686599,962418.87,1051754.95,Location-3,Finance
1125,2020-10-15,3057385.5,3360323.06,3353561.73,338696595.6,957674.55,1052346.53,Location-4,Finance
1126,2020-10-15,3056039.29,3359291.69,3358176.63,338699162.9,989311.12,1094613.58,Location-5,Finance
1127,2020-10-16,5100914.67,5593891.83,28473815.75,31903785.72,774890.91,871953.07,Location-1,Retails
1128,2020-10-16,5100988.72,5588411.49,28474666.07,31903168.17,778212.2,871380.79,Location-2,Retails
1129,2020-10-16,5101029.03,5588619.3,28467479.43,31900576.79,771850.08,879797.16,Location-3,Retails
1130,2020-10-16,5101113.55,5596262.67,28468905.94,31907711.39,779884.72,880073.44,Location-4,Retails
1131,2020-10-16,5101149.2,5599889.83,28495411.01,31914643.26,799602.4,880591.56,Location-5,Retails
1132,2020-10-16,2825022.93,3131726.39,28210412.58,31340183.06,801186.85,883533.68,Location-1,Manufacturing
1133,2020-10-16,2825428.21,3133272,28204139.18,31344237.92,798793.85,893782.48,Location-2,Manufacturing
1134,2020-10-16,2801121.85,3116460.94,28214906.08,31340248.5,798234.08,885577.03,Location-3,Manufacturing
1135,2020-10-16,2801259.77,3118858.3,28212558.1,31340933.73,809565.5,887772.43,Location-4,Manufacturing
1136,2020-10-16,2801371.58,3115301.77,28218362.18,31361961.01,820614.95,916379.93,Location-5,Manufacturing
1137,2020-10-16,3047352.42,3055952.19,3352854.82,338681831.4,957455.74,1059769.31,Location-1,Finance
1138,2020-10-16,3047367.44,3055761.07,3352947.02,338689489.9,965148.29,1054537.27,Location-2,Finance
1139,2020-10-16,3047611.49,3055431.06,3352979.7,338680707.7,963874.55,1057147.42,Location-3,Finance
1140,2020-10-16,3047655.4,3055213.42,3353380.06,338696604.8,966525.47,1058082.3,Location-4,Finance
1141,2020-10-16,3047741.85,3055131.67,3351747.4,338702588.8,971034.74,1080831.84,Location-5,Finance
1142,2020-10-17,5101326.48,5587427.78,28467450.11,31903679.93,770360.95,866986.77,Location-1,Retails
1143,2020-10-17,5101328.13,5590955.58,28468647.64,31902916.66,773476.28,873704.67,Location-2,Retails
1144,2020-10-17,5101579.87,5592243,28481734.75,31907237.14,771933.44,866338.69,Location-3,Retails
1145,2020-10-17,5101781.39,5598344.31,28468997.11,31900970.65,780964.56,881071.5,Location-4,Retails
1146,2020-10-17,5101850.18,5591704.02,28500304.98,31919256.59,801674.51,890785.04,Location-5,Retails
1147,2020-10-17,2801382.08,3124228.4,28209736.58,31343364.96,797925.17,891562.09,Location-1,Manufacturing
1148,2020-10-17,2801453.3,3121129.44,28212714.51,31343827.71,799833.64,883943.56,Location-2,Manufacturing
1149,2020-10-17,2801512.71,3118330.49,28203332.15,31339011.44,810454.94,892128.99,Location-3,Manufacturing
1150,2020-10-17,2801527.7,3117012.34,28214982.8,31337983.23,799625.78,891179.62,Location-4,Manufacturing
1151,2020-10-17,2801651.35,3125076.66,28220011.39,31359181.02,821485.06,906498.14,Location-5,Manufacturing
1152,2020-10-17,3048402.81,3054159.8,3354088.46,338687973.1,956807.77,1056142.1,Location-1,Finance
1153,2020-10-17,3048402.91,3054137.66,3360199.79,338688817.2,958140.28,1050849.29,Location-2,Finance
1154,2020-10-17,3048424,3052825.83,3353463.22,338685222.7,961575.61,1053056.12,Location-3,Finance
1155,2020-10-17,3048665.77,3052737.73,3351756.02,338689786,957921.14,1067185.24,Location-4,Finance
1156,2020-10-17,3048725.6,3052729.16,3348877.37,338707472,986510.37,1074814.25,Location-5,Finance
1157,2020-10-18,5102049.57,5603555.11,28475848.69,31902770.48,775104.62,872362.74,Location-1,Retails
1158,2020-10-18,5102357.12,5593776.01,28476059.65,31903792.84,775903.85,866343.82,Location-2,Retails
