Region,Country,Campaign_Name,Revenue,Revenue_Target,City,State,RoleID,Revenue_Variance
South East,Us,For Your Life,7146.0,17780.0,Miami,Florida,NULL,10634.0
South East,Us,Care Like Family,5622.0,12306.0,Miami,Florida,NULL,6684.0
Southern California,Us,For Your Life,9761.0,13831.0,Los Angeles,California,NULL,4070.0
South East,Us,For Your Life,7842.0,10624.0,Miami,Florida,NULL,2782.0
South East,Us,Care Like Family,7264.0,9868.0,Miami,Florida,20,2604.0
Southern California,Us,For Your Life,15719.0,8723.0,Los Angeles,California,NULL,-6996.0
South East,Us,For Your Life,16523.0,17741.0,Miami,Florida,NULL,1218.0
South East,Us,Care Like Family,7264.0,9868.0,Miami,Florida,NULL,2604.0
Southern California,Us,For Your Life,7273.0,6184.0,Los Angeles,California,NULL,-1089.0
South East,Us,For Your Life,9702.0,7876.0,Miami,Florida,NULL,-1826.0
South East,Us,Care Like Family,5972.0,10692.0,Miami,Florida,20,4720.0
Southern California,Us,For Your Life,9250.0,15790.0,Los Angeles,California,NULL,6540.0
South East,Us,For Your Life,13132.0,17228.0,Miami,Florida,NULL,4096.0
South East,Us,Care Like Family,5622.0,12306.0,Miami,Florida,NULL,6684.0
Southern California,Us,For Your Life,8121.0,10451.0,Los Angeles,California,NULL,2330.0
South East,Us,For Your Life,14651.0,8429.0,Miami,Florida,NULL,-6222.0
South East,Us,You Have Us,5496.0,15301.0,Miami,Florida,NULL,9805.0
Southern California,Us,For Your Life,9192.0,6179.0,Los Angeles,California,NULL,-3013.0
South East,Us,For Your Life,13132.0,17228.0,Miami,Florida,NULL,4096.0
South East,Us,You Have Us,6651.0,19835.0,Miami,Florida,NULL,13184.0
Southern California,Us,For Your Life,8465.0,7654.0,Los Angeles,California,NULL,-811.0
South East,Us,For Your Life,14651.0,8429.0,Miami,Florida,NULL,-6222.0
South East,Us,You Have Us,11983.0,9825.0,Miami,Florida,NULL,-2158.0
Southern California,Us,For Your Life,17627.0,11422.0,Los Angeles,California,NULL,-6205.0
South East,Us,For Your Life,7842.0,10624.0,Miami,Florida,NULL,2782.0
South East,Us,You Have Us,6651.0,19835.0,Miami,Florida,NULL,13184.0
Southern California,Us,For Your Life,15148.0,19098.0,Los Angeles,California,NULL,3950.0
South East,Us,For Your Life,16523.0,17741.0,Miami,Florida,NULL,1218.0
South East,Us,You Have Us,11983.0,9825.0,Miami,Florida,NULL,-2158.0
Southern California,Us,For Your Life,5846.0,8447.0,Los Angeles,California,NULL,2601.0
South East,Us,For Your Life,9702.0,7876.0,Miami,Florida,NULL,-1826.0
South East,Us,You Have Us,5496.0,15301.0,Miami,Florida,NULL,9805.0
Southern California,Us,For Your Life,5197.0,18456.0,Los Angeles,California,NULL,13259.0
South East,Us,For Your Life,7146.0,17780.0,Miami,Florida,NULL,10634.0
South East,Us,You Have Us,8710.0,9713.0,Miami,Florida,NULL,1003.0
Southern California,Us,For Your Life,5103.0,6799.0,Los Angeles,California,NULL,1696.0
South East,Us,For Your Life,9348.0,11769.0,Miami,Florida,NULL,2421.0
South East,Us,You Have Us,8710.0,9713.0,Miami,Florida,NULL,1003.0
Southern California,Us,For Your Life,11988.0,19348.0,Los Angeles,California,NULL,7360.0
South East,Us,For Your Life,9348.0,11769.0,Miami,Florida,NULL,2421.0
South East,Us,Hope,12929.0,9077.0,Miami,Florida,NULL,-3852.0
Southern California,Us,For Your Life,14992.0,15699.0,Los Angeles,California,NULL,707.0
South East,Us,Thanks Giving,10225.0,12472.0,Miami,Florida,NULL,2247.0
South East,Us,Hope,6738.0,11176.0,Miami,Florida,NULL,4438.0
Southern California,Us,For Your Life,9935.0,15232.0,Los Angeles,California,NULL,5297.0
South East,Us,Thanks Giving,7001.0,10528.0,Miami,Florida,NULL,3527.0
South East,Us,Hope,5712.0,6947.0,Miami,Florida,NULL,1235.0
Southern California,Us,For Your Life,15119.0,17269.0,Los Angeles,California,NULL,2150.0
South East,Us,Thanks Giving,9140.0,19323.0,Miami,Florida,NULL,10183.0
South East,Us,Hope,6738.0,11176.0,Miami,Florida,NULL,4438.0
Southern California,Us,For Your Life,15740.0,7685.0,Los Angeles,California,NULL,-8055.0
South East,Us,Thanks Giving,9935.0,15232.0,Miami,Florida,NULL,5297.0
South East,Us,Hope,5712.0,6947.0,Miami,Florida,NULL,1235.0
Southern California,Us,For Your Life,14778.0,13122.0,Los Angeles,California,NULL,-1656.0
South East,Us,Thanks Giving,9140.0,19323.0,Miami,Florida,NULL,10183.0
South East,Us,Hope,12929.0,9077.0,Miami,Florida,NULL,-3852.0
Southern California,Us,For Your Life,10296.0,7313.0,Los Angeles,California,NULL,-2983.0
South East,Us,Thanks Giving,9935.0,15232.0,Miami,Florida,NULL,5297.0
Southern California,Us,For Your Life,14992.0,15699.0,Los Angeles,California,NULL,707.0
Southern California,Us,For Your Life,14605.0,18971.0,Los Angeles,California,NULL,4366.0
South East,Us,Thanks Giving,10225.0,12472.0,Miami,Florida,NULL,2247.0
Southern California,Us,For Your Life,9935.0,15232.0,Los Angeles,California,NULL,5297.0
Southern California,Us,For Your Life,14328.0,15577.0,Los Angeles,California,NULL,1249.0
South East,Us,Thanks Giving,7001.0,10528.0,Miami,Florida,NULL,3527.0
Southern California,Us,For Your Life,15119.0,17269.0,Los Angeles,California,NULL,2150.0
Southern California,Us,For Your Life,11247.0,10339.0,Los Angeles,California,NULL,-908.0
Southern California,Us,For Your Life,15740.0,7685.0,Los Angeles,California,NULL,-8055.0
Southern California,Us,For Your Life,12409.0,10914.0,Los Angeles,California,NULL,-1495.0
Southern California,Us,For Your Life,14778.0,13122.0,Los Angeles,California,NULL,-1656.0
Southern California,Us,For Your Life,5418.0,13970.0,Los Angeles,California,NULL,8552.0
Southern California,Us,For Your Life,10296.0,7313.0,Los Angeles,California,NULL,-2983.0
Southern California,Us,For Your Life,15387.0,6961.0,Los Angeles,California,NULL,-8426.0
Southern California,Us,For Your Life,14605.0,18971.0,Los Angeles,California,NULL,4366.0
Southern California,Us,For Your Life,11620.0,17230.0,Los Angeles,California,NULL,5610.0
Southern California,Us,For Your Life,14328.0,15577.0,Los Angeles,California,NULL,1249.0
Southern California,Us,For Your Life,17859.0,17681.0,Los Angeles,California,NULL,-178.0
Southern California,Us,For Your Life,11247.0,10339.0,Los Angeles,California,NULL,-908.0
Southern California,Us,For Your Life,6738.0,11176.0,Los Angeles,California,NULL,4438.0
Southern California,Us,For Your Life,12409.0,10914.0,Los Angeles,California,NULL,-1495.0
Southern California,Us,For Your Life,10934.0,19723.0,Los Angeles,California,NULL,8789.0
Southern California,Us,For Your Life,5418.0,13970.0,Los Angeles,California,NULL,8552.0
Southern California,Us,For Your Life,9963.0,18377.0,Los Angeles,California,NULL,8414.0
Southern California,Us,For Your Life,15387.0,6961.0,Los Angeles,California,NULL,-8426.0
Southern California,Us,For Your Life,10344.0,15220.0,Los Angeles,California,NULL,4876.0
Southern California,Us,For Your Life,11620.0,17230.0,Los Angeles,California,NULL,5610.0
Southern California,Us,For Your Life,7842.0,10624.0,Los Angeles,California,NULL,2782.0
Southern California,Us,For Your Life,17859.0,17681.0,Los Angeles,California,NULL,-178.0
Southern California,Us,For Your Life,13735.0,16671.0,Los Angeles,California,NULL,2936.0
Southern California,Us,For Your Life,6738.0,11176.0,Los Angeles,California,NULL,4438.0
Southern California,Us,For Your Life,14290.0,10487.0,Los Angeles,California,NULL,-3803.0
Southern California,Us,For Your Life,10934.0,19723.0,Los Angeles,California,NULL,8789.0
Southern California,Us,For Your Life,12739.0,19242.0,Los Angeles,California,NULL,6503.0
Southern California,Us,For Your Life,9963.0,18377.0,Los Angeles,California,NULL,8414.0
Southern California,Us,For Your Life,19503.0,14609.0,Los Angeles,California,NULL,-4894.0
Southern California,Us,For Your Life,10344.0,15220.0,Los Angeles,California,NULL,4876.0
Southern California,Us,For Your Life,5496.0,15301.0,Los Angeles,California,NULL,9805.0
Southern California,Us,For Your Life,7842.0,10624.0,Los Angeles,California,NULL,2782.0
Southern California,Us,For Your Life,11441.0,6741.0,Los Angeles,California,NULL,-4700.0
Southern California,Us,For Your Life,13735.0,16671.0,Los Angeles,California,NULL,2936.0
Southern California,Us,For Your Life,13006.0,15079.0,Los Angeles,California,NULL,2073.0
Southern California,Us,For Your Life,14290.0,10487.0,Los Angeles,California,NULL,-3803.0
Southern California,Us,For Your Life,13070.0,16389.0,Los Angeles,California,NULL,3319.0
Southern California,Us,For Your Life,12739.0,19242.0,Los Angeles,California,NULL,6503.0
Southern California,Us,For Your Life,7264.0,9868.0,Los Angeles,California,NULL,2604.0
Southern California,Us,For Your Life,19503.0,14609.0,Los Angeles,California,NULL,-4894.0
Southern California,Us,For Your Life,16062.0,7721.0,Los Angeles,California,NULL,-8341.0
Southern California,Us,For Your Life,5496.0,15301.0,Los Angeles,California,NULL,9805.0
Southern California,Us,For Your Life,6414.0,12619.0,Los Angeles,California,NULL,6205.0
Southern California,Us,For Your Life,11441.0,6741.0,Los Angeles,California,NULL,-4700.0
Southern California,Us,For Your Life,6593.0,17096.0,Los Angeles,California,NULL,10503.0
Southern California,Us,For Your Life,13006.0,15079.0,Los Angeles,California,NULL,2073.0
Southern California,Us,For Your Life,9140.0,19323.0,Los Angeles,California,NULL,10183.0
Southern California,Us,For Your Life,13070.0,16389.0,Los Angeles,California,NULL,3319.0
Southern California,Us,For Your Life,9668.0,14658.0,Los Angeles,California,NULL,4990.0
Southern California,Us,For Your Life,13873.0,10617.0,Los Angeles,California,NULL,-3256.0
Southern California,Us,For Your Life,8264.0,19049.0,Los Angeles,California,NULL,10785.0
Southern California,Us,For Your Life,16611.0,7917.0,Los Angeles,California,NULL,-8694.0
Southern California,Us,For Your Life,9761.0,13831.0,Los Angeles,California,NULL,4070.0
Southern California,Us,For Your Life,12174.0,6996.0,Los Angeles,California,NULL,-5178.0
Southern California,Us,For Your Life,15719.0,8723.0,Los Angeles,California,NULL,-6996.0
Southern California,Us,For Your Life,5867.0,19049.0,Los Angeles,California,NULL,13182.0
Southern California,Us,For Your Life,7273.0,6184.0,Los Angeles,California,NULL,-1089.0
Southern California,Us,For Your Life,9112.0,11930.0,Los Angeles,California,NULL,2818.0
Southern California,Us,For Your Life,9250.0,15790.0,Los Angeles,California,NULL,6540.0
Southern California,Us,For Your Life,16386.0,9989.0,Los Angeles,California,NULL,-6397.0
Southern California,Us,For Your Life,8121.0,10451.0,Los Angeles,California,NULL,2330.0
Southern California,Us,For Your Life,14691.0,14601.0,Los Angeles,California,NULL,-90.0
Southern California,Us,For Your Life,9192.0,6179.0,Los Angeles,California,NULL,-3013.0
Southern California,Us,For Your Life,12974.0,19462.0,Los Angeles,California,NULL,6488.0
Southern California,Us,For Your Life,8465.0,7654.0,Los Angeles,California,NULL,-811.0
Southern California,Us,For Your Life,10246.0,18683.0,Los Angeles,California,NULL,8437.0
Southern California,Us,For Your Life,17627.0,11422.0,Los Angeles,California,NULL,-6205.0
Southern California,Us,For Your Life,5333.0,7346.0,Los Angeles,California,NULL,2013.0
Southern California,Us,For Your Life,15148.0,19098.0,Los Angeles,California,NULL,3950.0
Southern California,Us,For Your Life,11059.0,19059.0,Los Angeles,California,NULL,8000.0
Southern California,Us,For Your Life,5846.0,8447.0,Los Angeles,California,NULL,2601.0
Southern California,Us,For Your Life,17488.0,9941.0,Los Angeles,California,NULL,-7547.0
Southern California,Us,For Your Life,5197.0,18456.0,Los Angeles,California,NULL,13259.0
Southern California,Us,For Your Life,12711.0,8946.0,Los Angeles,California,NULL,-3765.0
Southern California,Us,For Your Life,5103.0,6799.0,Los Angeles,California,NULL,1696.0
Southern California,Us,For Your Life,5712.0,6947.0,Los Angeles,California,NULL,1235.0
Southern California,Us,For Your Life,11988.0,19348.0,Los Angeles,California,NULL,7360.0
Southern California,Us,For Your Life,10027.0,10643.0,Los Angeles,California,NULL,616.0
Southern California,Us,For Your Life,13873.0,10617.0,Los Angeles,California,NULL,-3256.0
Southern California,Us,For Your Life,11703.0,9822.0,Los Angeles,California,NULL,-1881.0
Southern California,Us,For Your Life,16611.0,7917.0,Los Angeles,California,NULL,-8694.0
Southern California,Us,For Your Life,16207.0,14061.0,Los Angeles,California,NULL,-2146.0
Southern California,Us,For Your Life,12174.0,6996.0,Los Angeles,California,NULL,-5178.0
Southern California,Us,For Your Life,5867.0,19049.0,Los Angeles,California,NULL,13182.0
Southern California,Us,For Your Life,9112.0,11930.0,Los Angeles,California,NULL,2818.0
Southern California,Us,For Your Life,16386.0,9989.0,Los Angeles,California,NULL,-6397.0
Southern California,Us,For Your Life,14691.0,14601.0,Los Angeles,California,NULL,-90.0
Southern California,Us,For Your Life,12974.0,19462.0,Los Angeles,California,NULL,6488.0
Southern California,Us,For Your Life,10246.0,18683.0,Los Angeles,California,NULL,8437.0
Southern California,Us,For Your Life,5333.0,7346.0,Los Angeles,California,NULL,2013.0
Southern California,Us,For Your Life,11059.0,19059.0,Los Angeles,California,NULL,8000.0
Southern California,Us,For Your Life,17488.0,9941.0,Los Angeles,California,NULL,-7547.0
Southern California,Us,For Your Life,12711.0,8946.0,Los Angeles,California,NULL,-3765.0
Southern California,Us,For Your Life,5712.0,6947.0,Los Angeles,California,NULL,1235.0
Southern California,Us,For Your Life,10027.0,10643.0,Los Angeles,California,NULL,616.0
Southern California,Us,For Your Life,11703.0,9822.0,Los Angeles,California,NULL,-1881.0
Southern California,Us,For Your Life,16207.0,14061.0,Los Angeles,California,NULL,-2146.0
Southern California,Us,For Your Life,6497.0,6147.0,Los Angeles,California,NULL,-350.0
Southern California,Us,For Your Life,16850.0,15753.0,Los Angeles,California,NULL,-1097.0
Southern California,Us,For Your Life,21637.0,5666.0,Los Angeles,California,NULL,-15971.0
Southern California,Us,For Your Life,10480.0,7379.0,Los Angeles,California,NULL,-3101.0
Southern California,Us,For Your Life,9781.0,19592.0,Los Angeles,California,NULL,9811.0
Southern California,Us,For Your Life,16859.0,13324.0,Los Angeles,California,NULL,-3535.0
Southern California,Us,For Your Life,14764.0,5876.0,Los Angeles,California,NULL,-8888.0
Southern California,Us,For Your Life,16523.0,17741.0,Los Angeles,California,17,1218.0
Southern California,Us,For Your Life,13945.0,13624.0,Los Angeles,California,17,-321.0
Southern California,Us,For Your Life,13083.0,11336.0,Los Angeles,California,17,-1747.0
Southern California,Us,For Your Life,6285.0,8448.0,Los Angeles,California,17,2163.0
Southern California,Us,For Your Life,15670.0,5412.0,Los Angeles,California,17,-10258.0
Southern California,Us,For Your Life,6815.0,14606.0,Los Angeles,California,17,7791.0
Southern California,Us,For Your Life,21637.0,5666.0,Los Angeles,California,17,-15971.0
Southern California,Us,For Your Life,10480.0,7379.0,Los Angeles,California,20,-3101.0
Southern California,Us,For Your Life,9781.0,19592.0,Los Angeles,California,20,9811.0
Southern California,Us,For Your Life,16859.0,13324.0,Los Angeles,California,20,-3535.0
Southern California,Us,For Your Life,14764.0,5876.0,Los Angeles,California,20,-8888.0
Southern California,Us,For Your Life,16523.0,17741.0,Los Angeles,California,20,1218.0
Southern California,Us,For Your Life,13945.0,13624.0,Los Angeles,California,20,-321.0
Southern California,Us,For Your Life,13083.0,11336.0,Los Angeles,California,20,-1747.0
Southern California,Us,For Your Life,6285.0,8448.0,Los Angeles,California,20,2163.0
Southern California,Us,For Your Life,15670.0,5412.0,Los Angeles,California,20,-10258.0
Southern California,Us,For Your Life,6815.0,14606.0,Los Angeles,California,17,7791.0
