msft_censusid,msft_location,msft_currentcensus,createdon,createdby,Census Date (date only)
62be3ff5-3674-ea11-a811-000d3a5a1bf8,86ae552a-9c73-ea11-a811-000d3a5a14b6,2,43922.69216,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
0c605c0d-3774-ea11-a811-000d3a5a1bf8,8aae552a-9c73-ea11-a811-000d3a5a14b6,4,43922.69263,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
e38574b0-3974-ea11-a811-000d3a5a1bf8,94ae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.70569,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
11c30684-3d74-ea11-a811-000d3a5a1bf8,9cae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.72472,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
aca3fe8f-3d74-ea11-a811-000d3a5a1bf8,9eae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.72503,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
71af3cbb-3e74-ea11-a811-000d3a5a1bf8,a0ae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.73084,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
ace7e632-3f74-ea11-a811-000d3a5a1bf8,a4ae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.73317,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
e070d73e-3f74-ea11-a811-000d3a5a1bf8,a6ae552a-9c73-ea11-a811-000d3a5a14b6,4,43922.73333,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
1c59c456-3f74-ea11-a811-000d3a5a1bf8,a8ae552a-9c73-ea11-a811-000d3a5a14b6,6,43922.7338,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
e2beb36e-3f74-ea11-a811-000d3a5a1bf8,acae552a-9c73-ea11-a811-000d3a5a14b6,8,43922.73434,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
4e04221c-4074-ea11-a811-000d3a5a1bf8,aeae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.7377,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
554b0146-4074-ea11-a811-000d3a5a1bf8,b0ae552a-9c73-ea11-a811-000d3a5a14b6,5,43922.73853,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
659df651-4074-ea11-a811-000d3a5a1bf8,b2ae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.73872,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
6aacf05d-4074-ea11-a811-000d3a5a1bf8,b4ae552a-9c73-ea11-a811-000d3a5a14b6,2,43922.73894,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
9b2fcb87-4074-ea11-a811-000d3a5a1bf8,b8ae552a-9c73-ea11-a811-000d3a5a14b6,8,43922.73971,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
3e98adab-4074-ea11-a811-000d3a5a1bf8,b6ae552a-9c73-ea11-a811-000d3a5a14b6,2,43922.74049,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
b5338626-4774-ea11-a811-000d3a5a1bf8,bcae552a-9c73-ea11-a811-000d3a5a14b6,3,43922.77263,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
27d4ddf7-4774-ea11-a811-000d3a5a1bf8,c0ae552a-9c73-ea11-a811-000d3a5a14b6,9,43922.77676,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
b33cc451-4874-ea11-a811-000d3a5a1bf8,c2ae552a-9c73-ea11-a811-000d3a5a14b6,7,43922.77852,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Wednesday, April 1, 2020"
ff62f5b0-e678-ea11-a811-000d3a5a1bf8,94ae552a-9c73-ea11-a811-000d3a5a14b6,8,43928.65605,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
a8a8eabc-e678-ea11-a811-000d3a5a1bf8,98ae552a-9c73-ea11-a811-000d3a5a14b6,6,43928.65631,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
7babead4-e678-ea11-a811-000d3a5a1bf8,a0ae552a-9c73-ea11-a811-000d3a5a14b6,8,43928.65674,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
a2437a19-ec78-ea11-a811-000d3a5a1bf8,1d8d95d8-ac73-ea11-a811-000d3a5a1707,18,43928.68291,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Tuesday, April 7, 2020"
2874006e-9085-ea11-a812-000d3a5a1bf8,ff8c95d8-ac73-ea11-a811-000d3a5a1707,12,43944.7708,08c066e0-5870-ea11-a811-000d3a5a1bf8,"Thursday, April 23, 2020"
