msft_equipmentneededid,msft_location,msft_paprchargersinuse,msft_paprhoodsinuse,msft_parpbeltsinuse,msft_ventsinuse,createdby,createdon,Equipment Needed DateOnly
fec4e45c-3574-ea11-a811-000d3a5a1bf8,7aae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.68429,"Wednesday, April 1, 2020"
3728e688-3674-ea11-a811-000d3a5a1bf8,7cae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69007,"Wednesday, April 1, 2020"
22c30684-3d74-ea11-a811-000d3a5a1bf8,9cae552a-9c73-ea11-a811-000d3a5a14b6,1,1,1,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.72472,"Wednesday, April 1, 2020"
7eaf3cbb-3e74-ea11-a811-000d3a5a1bf8,a0ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73084,"Wednesday, April 1, 2020"
8014bc62-3f74-ea11-a811-000d3a5a1bf8,aaae552a-9c73-ea11-a811-000d3a5a14b6,3,3,3,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73407,"Wednesday, April 1, 2020"
efbeb36e-3f74-ea11-a811-000d3a5a1bf8,acae552a-9c73-ea11-a811-000d3a5a14b6,3,3,3,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73435,"Wednesday, April 1, 2020"
6c9df651-4074-ea11-a811-000d3a5a1bf8,b2ae552a-9c73-ea11-a811-000d3a5a14b6,3,3,3,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73872,"Wednesday, April 1, 2020"
a42fcb87-4074-ea11-a811-000d3a5a1bf8,b8ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73971,"Wednesday, April 1, 2020"
2ed4ddf7-4774-ea11-a811-000d3a5a1bf8,c0ae552a-9c73-ea11-a811-000d3a5a14b6,2,2,2,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77677,"Wednesday, April 1, 2020"
9489ed1e-2e75-ea11-a811-000d3a5a1bf8,698c95d8-ac73-ea11-a811-000d3a5a1707,7,3,6,4,6332d21e-670d-ea11-a812-000d3a5a1fad,43923.92082,"Thursday, April 2, 2020"
aba8c2e8-ca80-ea11-a812-000d3a5a1bf8,478d95d8-ac73-ea11-a811-000d3a5a1707,6,6,6,5,08c066e0-5870-ea11-a811-000d3a5a1bf8,43938.69858,"Friday, April 17, 2020"
