msft_staffingneededid,msft_location,msft_staffingtype,msft_staffrequested,msft_staffpatientassign,msft_staffnpa,msft_rnextenders,msft_rnvariance,createdby,createdon,Staffing Type,Staffing Needed Last Update (date only)
a4a8223b-3f74-ea11-a811-000d3a5a17e3,a6ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73333,,"Wednesday, April 1, 2020"
eec45453-3f74-ea11-a811-000d3a5a17e3,a8ae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.7338,,"Wednesday, April 1, 2020"
81544265-3f74-ea11-a811-000d3a5a17e3,aaae552a-9c73-ea11-a811-000d3a5a14b6,,1,3,,3,-2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73407,,"Wednesday, April 1, 2020"
c22b4171-3f74-ea11-a811-000d3a5a17e3,acae552a-9c73-ea11-a811-000d3a5a14b6,,1,3,,3,-2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73435,,"Wednesday, April 1, 2020"
6d273085-4074-ea11-a811-000d3a5a17e3,b8ae552a-9c73-ea11-a811-000d3a5a14b6,,2,2,,2,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73971,,"Wednesday, April 1, 2020"
0bf6ca1e-4774-ea11-a811-000d3a5a17e3,baae552a-9c73-ea11-a811-000d3a5a14b6,,1,1,,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77247,,"Wednesday, April 1, 2020"
789fc524-4774-ea11-a811-000d3a5a17e3,bcae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77263,,"Wednesday, April 1, 2020"
72a4a455-4874-ea11-a811-000d3a5a17e3,c2ae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,1,3,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77852,,"Wednesday, April 1, 2020"
c6094b74-4874-ea11-a811-000d3a5a17e3,c4ae552a-9c73-ea11-a811-000d3a5a14b6,,,2,,2,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77912,,"Wednesday, April 1, 2020"
c8100f1f-2e75-ea11-a811-000d3a5a17e3,698c95d8-ac73-ea11-a811-000d3a5a1707,,1,3,2,2,-2,6332d21e-670d-ea11-a812-000d3a5a1fad,43923.92081,,"Thursday, April 2, 2020"
bdeea3e0-2e78-ea11-a811-000d3a5a17e3,ff8c95d8-ac73-ea11-a811-000d3a5a1707,,4,6,9,5,-2,b4210a61-670d-ea11-a812-000d3a5a1fad,43927.74238,,"Monday, April 6, 2020"
6166c315-ec78-ea11-a811-000d3a5a17e3,1d8d95d8-ac73-ea11-a811-000d3a5a1707,,3,6,,5,-3,08c066e0-5870-ea11-a811-000d3a5a1bf8,43928.68292,,"Tuesday, April 7, 2020"
ca15409b-287b-ea11-a812-000d3a5a17e3,b26c8437-b173-ea11-a811-000d3a5a1707,,3,5,,5,-2,b4210a61-670d-ea11-a812-000d3a5a1fad,43931.52889,,"Friday, April 10, 2020"
7930cce3-ca80-ea11-a812-000d3a5a17e3,478d95d8-ac73-ea11-a811-000d3a5a1707,,3,8,2,5,-5,08c066e0-5870-ea11-a811-000d3a5a1bf8,43938.69858,,"Friday, April 17, 2020"
f467cabb-3074-ea11-a811-000d3a5a1bf8,6cae552a-9c73-ea11-a811-000d3a5a14b6,,7,6,,6,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.66124,,"Wednesday, April 1, 2020"
ff3dc08a-3474-ea11-a811-000d3a5a1bf8,76ae552a-9c73-ea11-a811-000d3a5a14b6,,2,2,,2,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.6802,,"Wednesday, April 1, 2020"
9164ab9c-3474-ea11-a811-000d3a5a1bf8,78ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,2,3,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.68056,,"Wednesday, April 1, 2020"
3128e688-3674-ea11-a811-000d3a5a1bf8,7cae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,0,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69007,,"Wednesday, April 1, 2020"
b4a6fba0-3674-ea11-a811-000d3a5a1bf8,7eae552a-9c73-ea11-a811-000d3a5a14b6,,1,3,,3,-2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69056,,"Wednesday, April 1, 2020"
67c604bf-3674-ea11-a811-000d3a5a1bf8,80ae552a-9c73-ea11-a811-000d3a5a14b6,,1,1,,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69109,,"Wednesday, April 1, 2020"
076cedd0-3674-ea11-a811-000d3a5a1bf8,82ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.6915,,"Wednesday, April 1, 2020"
1ecd11e3-3674-ea11-a811-000d3a5a1bf8,84ae552a-9c73-ea11-a811-000d3a5a14b6,,1,3,,3,-2,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69182,,"Wednesday, April 1, 2020"
56f4dcc8-3774-ea11-a811-000d3a5a1bf8,8eae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.69632,,"Wednesday, April 1, 2020"
f0a481a4-3974-ea11-a811-000d3a5a1bf8,92ae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.7055,,"Wednesday, April 1, 2020"
ea8574b0-3974-ea11-a811-000d3a5a1bf8,94ae552a-9c73-ea11-a811-000d3a5a14b6,,1,2,,2,-1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.70569,,"Wednesday, April 1, 2020"
a038bcd3-3b74-ea11-a811-000d3a5a1bf8,98ae552a-9c73-ea11-a811-000d3a5a14b6,,1,1,,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.71632,,"Wednesday, April 1, 2020"
9642ec2c-3f74-ea11-a811-000d3a5a1bf8,a2ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.733,,"Wednesday, April 1, 2020"
b1e7e632-3f74-ea11-a811-000d3a5a1bf8,a4ae552a-9c73-ea11-a811-000d3a5a14b6,,,3,,3,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73318,,"Wednesday, April 1, 2020"
5904221c-4074-ea11-a811-000d3a5a1bf8,aeae552a-9c73-ea11-a811-000d3a5a14b6,,1,1,,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.7377,,"Wednesday, April 1, 2020"
5b4b0146-4074-ea11-a811-000d3a5a1bf8,b0ae552a-9c73-ea11-a811-000d3a5a14b6,,,2,,2,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73853,,"Wednesday, April 1, 2020"
6b9df651-4074-ea11-a811-000d3a5a1bf8,b2ae552a-9c73-ea11-a811-000d3a5a14b6,,,3,,3,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73872,,"Wednesday, April 1, 2020"
6dacf05d-4074-ea11-a811-000d3a5a1bf8,b4ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.73894,,"Wednesday, April 1, 2020"
4798adab-4074-ea11-a811-000d3a5a1bf8,b6ae552a-9c73-ea11-a811-000d3a5a14b6,,,1,,1,,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.74049,,"Wednesday, April 1, 2020"
8b24e9e5-4774-ea11-a811-000d3a5a1bf8,beae552a-9c73-ea11-a811-000d3a5a14b6,,1,1,,1,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77639,,"Wednesday, April 1, 2020"
2ad4ddf7-4774-ea11-a811-000d3a5a1bf8,c0ae552a-9c73-ea11-a811-000d3a5a14b6,,2,2,,2,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43922.77677,,"Wednesday, April 1, 2020"
273a4b66-bf75-ea11-a811-000d3a5a1bf8,b2ae552a-9c73-ea11-a811-000d3a5a14b6,,3,3,2,2,0,08c066e0-5870-ea11-a811-000d3a5a1bf8,43924.64297,,"Friday, April 3, 2020"
2d74006e-9085-ea11-a812-000d3a5a1bf8,ff8c95d8-ac73-ea11-a811-000d3a5a1707,,3,2,0,4,1,08c066e0-5870-ea11-a811-000d3a5a1bf8,43944.7708,,"Thursday, April 23, 2020"
