Fiscal Year,Fiscal Quarter,Fiscal Month,Country,Forecast,Budget,Actual
"FY130","Q3","8","Japan","99136","96228",""
"FY131","Q3","9","Japan","240689","183325",""
"FY132","Q4","10","Japan","255188","209618",""
"FY133","Q4","11","Japan","162881","147196",""
"FY134","Q4","12","Japan","573112","286303",""
"FY141","Q3","7","Korea","43580","39671",""
"FY142","Q3","8","Korea","57548","50062",""
"FY143","Q3","9","Korea","51378","69339",""
"FY144","Q4","10","Korea","57244","64982",""
"FY145","Q4","11","Korea","72809","28300",""
"FY146","Q4","12","Korea","96848","96732",""
"FY153","Q3","7","Mexico","44319","48101",""
"FY154","Q3","8","Mexico","8482","6808",""
"FY155","Q3","9","Mexico","34633","12463",""
"FY156","Q4","10","Mexico","31613","25225",""
"FY157","Q4","11","Mexico","76599","46390",""
"FY158","Q4","12","Mexico","142061","78197",""
"FY165","Q3","7","Spain","19260","23478",""
"FY166","Q3","8","Spain","35555","25724",""
"FY167","Q3","9","Spain","60555","44431",""
"FY168","Q4","10","Spain","24967","20415",""
"FY169","Q4","11","Spain","7755","21724",""
"FY170","Q4","12","Spain","102796","56052",""
"FY177","Q3","7","Switzerland","5716","1450",""
"FY178","Q3","8","Switzerland","8470","4796",""
"FY179","Q3","9","Switzerland","4740","2726",""
"FY180","Q4","10","Switzerland","10183","3400",""
"FY181","Q4","11","Switzerland","20097","7871",""
"FY182","Q4","12","Switzerland","35687","19473",""
"FY189","Q3","7","Turkey","28907","16935",""
"FY190","Q3","8","Turkey","1419","808",""
"FY191","Q3","9","Turkey","5643","2609",""
"FY192","Q4","10","Turkey","7836","3292",""
"FY193","Q4","11","Turkey","44967","27338",""
"FY194","Q4","12","Turkey","50528","25775",""
"FY201","Q3","7","UK","207686","137497",""
"FY202","Q3","8","UK","55989","45154",""
"FY203","Q3","9","UK","285434","183163",""
"FY204","Q4","10","UK","83248","92485",""
"FY205","Q4","11","UK","88186","66139",""
"FY206","Q4","12","UK","176977","101810",""
"FY213","Q3","7","USA","402449","300594",""
"FY214","Q3","8","USA","144298","107142",""
"FY215","Q3","9","USA","603843","394934",""
"FY216","Q4","10","USA","358415","333233",""
"FY217","Q4","11","USA","367368","252694",""
"FY218","Q4","12","USA","3156626","2012271",""
"FY20","Q2","6","Australia","42291","27614","42290.868"
"FY32","Q2","6","Brazil","154726","115386","154726.13"
"FY44","Q2","6","Canada","42081","41315","42080.965"
"FY56","Q2","6","China","111918","59816","111917.7055"
"FY68","Q2","6","France","100922","99081","100922.4118"
"FY80","Q2","6","Germany","420702","234086","420701.9893"
"FY92","Q2","6","India","208552","59043","208552.1614"
"FY104","Q2","6","Indonesia","19838","21478","19837.6835"
"FY116","Q2","6","Italy","665775","453864","665775.0488"
"FY128","Q2","6","Japan","403844","274808","403843.8271"
"FY140","Q2","6","Korea","67175","52525","67175.407"
"FY152","Q2","6","Mexico","103437","94544","103437.4324"
"FY164","Q2","6","Spain","47648","25183","47647.851"
"FY176","Q2","6","Switzerland","19138","11299","19138.17425"
"FY188","Q2","6","Turkey","9319","13372","9318.9914"
"FY200","Q2","6","UK","143921","74720","143921.153"
"FY212","Q2","6","USA","1300620","892657","1300619.885"
"FY15","Q1","1","Australia","","18463","25158.3622"
"FY16","Q1","2","Australia","","20217","25712.5788"
"FY17","Q1","3","Australia","","31236","11653.3139"
"FY18","Q2","4","Australia","","18602","23662.8022"
"FY19","Q2","5","Australia","","16985","19399.4192"
"FY27","Q1","1","Brazil","","39345","83370.1306"
"FY28","Q1","2","Brazil","","18513","33169.321"
"FY29","Q1","3","Brazil","","26802","28615.5958"
"FY30","Q2","4","Brazil","","27238","57817.9644"
"FY31","Q2","5","Brazil","","31087","66244.638"
"FY39","Q1","1","Canada","","109135","149299.4244"
"FY40","Q1","2","Canada","","18266","3882.371"
"FY41","Q1","3","Canada","","11888","9810.635"
"FY42","Q2","4","Canada","","131981","162580.857"
"FY43","Q2","5","Canada","","6048","2461.1704"
"FY51","Q1","1","China","","64269","123020.5652"
"FY52","Q1","2","China","","31990","27993.4983"
"FY53","Q1","3","China","","8610","1398.0776"
"FY54","Q2","4","China","","39489","35173.3525"
"FY55","Q2","5","China","","16651","14649.7563"
"FY63","Q1","1","France","","18736","22327.8671"
"FY64","Q1","2","France","","19743","25592.0639"
"FY65","Q1","3","France","","32408","7100.1"
"FY66","Q2","4","France","","41000","34006.0044"
"FY67","Q2","5","France","","32712","41264.6058"
"FY75","Q1","1","Germany","","89995","130189.3516"
"FY76","Q1","2","Germany","","22144","37909.9804"
"FY77","Q1","3","Germany","","22079","17339.2066"
"FY78","Q2","4","Germany","","115124","190763.0142"
"FY79","Q2","5","Germany","","77193","143801.4092"
"FY87","Q1","1","India","","49845","72853.743"
"FY88","Q1","2","India","","28288","31494.5992"
"FY89","Q1","3","India","","42338","22054.8392"
"FY90","Q2","4","India","","62624","71253.3502"
"FY91","Q2","5","India","","15760","23059.6001"
"FY99","Q1","1","Indonesia","","57005","86784.5242"
"FY100","Q1","2","Indonesia","","2494","-4220.024"
"FY101","Q1","3","Indonesia","","6465","4413.241"
"FY102","Q2","4","Indonesia","","11674","39946.7976"
"FY103","Q2","5","Indonesia","","9832","6875.565"
"FY111","Q1","1","Italy","","140761","168189.7949"
"FY112","Q1","2","Italy","","59358","103106.873"
"FY113","Q1","3","Italy","","76401","31471.7688"
"FY114","Q2","4","Italy","","80538","119379.8924"
"FY115","Q2","5","Italy","","54091","99286.9276"
"FY123","Q1","1","Japan","","73210","80793.7109"
"FY124","Q1","2","Japan","","72501","91959.6868"
"FY125","Q1","3","Japan","","145263","79129.6564"
"FY126","Q2","4","Japan","","82520","113987.7003"
"FY127","Q2","5","Japan","","109668","162512.5919"
"FY135","Q1","1","Korea","","20356","87074.12"
"FY136","Q1","2","Korea","","15250","13505.515"
"FY137","Q1","3","Korea","","34914","10461.385"
"FY138","Q2","4","Korea","","16430","22799.885"
"FY139","Q2","5","Korea","","30036","62145.215"
"FY147","Q1","1","Mexico","","35055","30643.458"
"FY148","Q1","2","Mexico","","17072","11641.3308"
"FY149","Q1","3","Mexico","","17599","6488.642"
"FY150","Q2","4","Mexico","","4689","14667.805"
"FY151","Q2","5","Mexico","","8732","11267.0016"
"FY159","Q1","1","Spain","","17466","30314.2128"
"FY160","Q1","2","Spain","","37129","32928.925"
"FY161","Q1","3","Spain","","30837","12324.3804"
"FY162","Q2","4","Spain","","16106","6772.8706"
"FY163","Q2","5","Spain","","18208","24060.149"
"FY171","Q1","1","Switzerland","","2140","4711.9838"
"FY172","Q1","2","Switzerland","","3816","4080.5883"
"FY173","Q1","3","Switzerland","","11094","5328.5205"
"FY174","Q2","4","Switzerland","","5036","6738.9805"
"FY175","Q2","5","Switzerland","","11396","18251.50155"
"FY183","Q1","1","Turkey","","8771","15599.359"
"FY184","Q1","2","Turkey","","52","2643.9412"
"FY185","Q1","3","Turkey","","5785","1350.76"
"FY186","Q2","4","Turkey","","34046","28446.1524"
"FY187","Q2","5","Turkey","","4770","8535.0758"
"FY195","Q1","1","UK","","57026","75015.037"
"FY196","Q1","2","UK","","17018","31641.8796"
"FY197","Q1","3","UK","","25751","11775.7434"
"FY198","Q2","4","UK","","28701","23020.3088"
"FY199","Q2","5","UK","","37584","43969.2495"
"FY207","Q1","1","USA","","1233330","1596881.304"
"FY208","Q1","2","USA","","123705","174449.8042"
"FY209","Q1","3","USA","","156926","80691.6378"
"FY210","Q2","4","USA","","254324","266488.365"
"FY211","Q2","5","USA","","101039","146495.5104"
