Product,Link,ReadOnlyLink
"Steel corkscrew","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-184657863.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874607570","https://dai116173.blob.core.windows.net/images/GettyImages-184657863.jpg"
"Black corkscrew","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-173617074.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874605099","https://dai116173.blob.core.windows.net/images/GettyImages-173617074.jpg"
"Wine corkscrew","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-184657863.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875242165","https://dai116173.blob.core.windows.net/images/GettyImages-185250140.jpg"
"Orange SurfBoard","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-182655840.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875074928","https://dai116173.blob.core.windows.net/images/GettyImages-86521552.jpg"
"Brown Coaster","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-171556981.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874602484","https://dai116173.blob.core.windows.net/images/GettyImages-98260600.jpg"
"Blue Shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1144064853.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874595974","https://dai116173.blob.core.windows.net/images/GettyImages-936501840.jpg"
"Gray with white sole shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1141039478.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875331258","https://dai116173.blob.core.windows.net/images/GettyImages-1062984272.jpg"
"Unbreakable wineglass","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1131259373.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874590246","https://dai116173.blob.core.windows.net/images/GettyImages-1003368046.jpg"
"Designer Coaster","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1079679056.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874559500","https://dai116173.blob.core.windows.net/images/GettyImages-1079679056.jpg"
"Cheese circle","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1036687616.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875079938","https://dai116173.blob.core.windows.net/images/GettyImages-1036687616.jpg"
"Black with red sole shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1023642306.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874467847","https://dai116173.blob.core.windows.net/images/GettyImages-1023642306.jpg"
"Pink Shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1015301934.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874444743","https://dai116173.blob.core.windows.net/images/GettyImages-1015301934.jpg"
"Crystal Wineglass","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1003368046.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874403456","https://dai116173.blob.core.windows.net/images/GettyImages-1131259373.jpg"
"Red Surfboard","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-skd186679sdc.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874848939","https://dai116173.blob.core.windows.net/images/GettyImages-skd186679sdc.jpg"
"Beach Shoes","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-1170858588.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576874599482","https://dai116173.blob.core.windows.net/images/GettyImages-1144064853.jpg"
"Retro surfboard","https://daistorage116173.blob.core.windows.net/images/Latest/GettyImages-97883627.jpg?sv=2019-02-02&ss=bqtf&srt=sco&sp=rwdlacup&se=2019-12-21T04:03:36Z&sig=q26ej7I9aPO2w6dYwVgiCyvUz5KF64ffgCYFPkH7ZOU%3D&_=1576875064497","https://dai116173.blob.core.windows.net/images/GettyImages-182655840.jpg"
