Payer NAME,CITY, AMOUNT COVERED , AMOUNT UNCOVERED , REVENUE 
Anthem,Indianapolis," $52,008.00 "," $23,937.00 "," $14,648,788.00 "
Dual Eligible,Baltimore," $30,716.00 "," $20,532.00 "," $158,230.00 "
Cigna Health,Bloomfield," $94,006.00 "," $63,660.00 "," $14,264,418.00 "
Medicaid,Baltimore," $366,622.00 "," $191,882.00 "," $2,100,833.00 "
NO_INSURANCE,NULL, $-   ," $1,232,143.00 ", $-   
Blue Cross Blue Shield,Chicago," $207,950.00 "," $139,282.00 "," $13,298,436.00 "
Humana,Louisville," $82,817.00 "," $97,864.00 "," $13,206,501.00 "
UnitedHealthcare,Minnetonka," $91,467.00 "," $81,891.00 "," $14,008,928.00 "
Aetna,Hartford," $86,941.00 "," $67,924.00 "," $13,452,820.00 "
Medicare,Baltimore," $4,471,485.00 "," $1,121,414.00 "," $8,589,013.00 "
Anthem,Indianapolis," $499,783.00 "," $322,489.00 "," $201,736,084.00 "
Humana,Louisville," $642,029.00 "," $1,391,894.00 "," $188,300,092.00 "
Dual Eligible,Baltimore," $454,013.00 "," $396,957.00 "," $2,928,785.00 "
Cigna Health,Bloomfield," $845,890.00 "," $890,315.00 "," $199,310,538.00 "
Aetna,Hartford," $788,864.00 "," $984,818.00 "," $193,021,620.00 "
Blue Cross Blue Shield,Chicago," $2,077,719.00 "," $1,977,085.00 "," $188,442,594.00 "
UnitedHealthcare,Minnetonka," $739,953.00 "," $1,099,570.00 "," $190,059,071.00 "
Medicaid,Baltimore," $4,839,006.00 "," $3,360,540.00 "," $37,475,368.00 "
NO_INSURANCE,NULL, $-   ," $16,327,871.00 ", $-   
Dual Eligible,Baltimore," $115,239.00 "," $69,376.00 "," $418,000.00 "
Cigna Health,Bloomfield," $224,423.00 "," $151,866.00 "," $33,756,933.00 "
Medicare,Baltimore," $1,615,336.00 "," $296,213.00 "," $1,959,180.00 "
Anthem,Indianapolis," $117,882.00 "," $55,227.00 "," $33,431,574.00 "
Blue Cross Blue Shield,Chicago," $545,168.00 "," $330,574.00 "," $30,653,100.00 "
Aetna,Hartford," $216,210.00 "," $168,389.00 "," $32,885,600.00 "
Medicaid,Baltimore," $883,104.00 "," $430,918.00 "," $4,506,693.00 "
NO_INSURANCE,NULL, $-   ," $3,113,449.00 ", $-   
Humana,Louisville," $186,556.00 "," $217,401.00 "," $29,686,097.00 "
