Fiscal Year,Fiscal Quarter,Fiscal Month,Country,Region,Customer Segment,Channel,Product,ProductCategory,Gross Sales,Budget,Forecast,Discount,Net Sales,COGS,Gross Profit,Half Yearly,VTB ($),VTB (%),link,description,Dates
FY20,Q1,2,Canada,North & Central America,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,10,India,Asia Pacific,Loyalty,Television,Brown Shoes,Running Shoes,0,0,0,270,5400,3780,1620,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,China,Asia Pacific,Loyalty,Online,Black Shoes,Running Shoes,0,47070,0,0,0,0,0,H2 Forecast,-1569,-1,NULL,NULL,00:00.0
FY20,Q1,1,Australia,Asia Pacific,Loyalty,Wholesale,Blue Surf Board,Surf Board,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Switzerland,Europe,Non-Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Australia,Asia Pacific,Loyalty,Retail Store,Black Shoes,Running Shoes,2070,660,2160,0,0,0,0,H1 Actual,47,2,NULL,NULL,00:00.0
FY20,Q4,12,France,Europe,Non-Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,0,0,0,120,60,60,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Brazil,South America,Loyalty,Online,Cheese chunk,Cheese,0,25710,0,0,0,0,0,H2 Forecast,-857,-1,NULL,NULL,00:00.0
FY20,Q4,12,Indonesia,Asia Pacific,Non-Loyalty,Retail Store,Crystal Wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Japan,Asia Pacific,Non-Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Japan,Asia Pacific,Non-Loyalty,Retail Store,Cheese circle,Cheese,0,0,0,33870,686610,411960,274650,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,China,Asia Pacific,Loyalty,Online,Brown SurfBoard,Surf Board,990,120,1020,0,0,0,0,H2 Forecast,29,7,NULL,NULL,00:00.0
FY20,Q1,2,India,Asia Pacific,Non-Loyalty,Online,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,8,Germany,Europe,Non-Loyalty,Television,Yellow mature Dutch cheese,Cheese,18780,15210,8670,3540,100710,60420,40290,H2 Forecast,119,0,NULL,NULL,00:00.0
FY20,Q4,10,Mexico,North & Central America,Non-Loyalty,Online,Brown SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Australia,Asia Pacific,Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Canada,North & Central America,Non-Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,900,27900,16740,11160,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Retail Store,Blue Stripped SurfBoard,Surf Board,690,0,780,0,0,0,0,H2 Forecast,23,0,NULL,NULL,00:00.0
FY20,Q4,11,France,Europe,Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Indonesia,Asia Pacific,Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,-60,-30,-30,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,5,USA,North & Central America,Loyalty,Wholesale,Blue Stripped SurfBoard,Surf Board,-1710,0,-2010,510,15360,12300,3060,H1 Actual,-57,0,NULL,NULL,00:00.0
FY20,Q2,5,USA,North & Central America,Loyalty,Online,Cheese chunk,Cheese,86400,86670,92160,4320,91560,54930,36630,H1 Actual,-9,0,NULL,NULL,00:00.0
FY20,Q2,6,USA,North & Central America,Non-Loyalty,Retail Store,Orange SurfBoard,Surf Board,20370,4080,21210,-30,-780,-300,-480,H1 Actual,543,3,NULL,NULL,00:00.0
FY20,Q4,11,UK,Europe,Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Spain,Europe,Non-Loyalty,Online,Black Shoes,Running Shoes,9540,0,10170,1650,43890,8790,35130,H1 Actual,318,0,NULL,NULL,00:00.0
FY20,Q3,8,UK,Europe,Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Germany,Europe,Non-Loyalty,Online,Blue Surf Board,Surf Board,10920,12870,11280,0,0,0,0,H2 Forecast,-65,0,NULL,NULL,00:00.0
FY20,Q2,6,Italy,Europe,Loyalty,Retail Store,Pink Shoes,Running Shoes,0,690,0,0,0,0,0,H1 Actual,-23,-1,NULL,NULL,00:00.0
FY20,Q1,3,USA,North & Central America,Loyalty,Online,White Shoes,Running Shoes,7200,37680,1860,17340,368070,220830,147240,H1 Actual,-1016,0,NULL,NULL,00:00.0
FY20,Q4,10,Spain,Europe,Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Australia,Asia Pacific,Loyalty,Retail Store,Cheese chunk,Cheese,5100,5100,5520,30,690,480,210,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Italy,Europe,Non-Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,60,1140,810,360,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,India,Asia Pacific,Non-Loyalty,Television,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Switzerland,Europe,Loyalty,Online,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,USA,North & Central America,Loyalty,Television,Blue Stripped SurfBoard,Surf Board,19680,20490,22470,30,480,240,240,H1 Actual,-27,0,NULL,NULL,00:00.0
FY20,Q1,2,Germany,Europe,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,270,270,300,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,China,Asia Pacific,Loyalty,Online,Yellow mature Dutch cheese,Cheese,49860,28560,54000,0,0,0,0,H2 Forecast,710,0,NULL,NULL,00:00.0
FY20,Q1,2,Canada,North & Central America,Loyalty,Wholesale,Black with red sole shoes,Running Shoes,0,480,0,0,0,0,0,H1 Actual,-16,-1,NULL,NULL,00:00.0
FY20,Q1,1,Canada,North & Central America,Non-Loyalty,Television,French cheese,Cheese,960,0,1110,0,0,0,0,H1 Actual,32,0,NULL,NULL,00:00.0
FY20,Q1,2,Germany,Europe,Loyalty,Online,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Germany,Europe,Non-Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,840,16320,9780,6540,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Brazil,South America,Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,France,Europe,Loyalty,Retail Store,Black corkscrew,Corkscrew,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Mexico,North & Central America,Loyalty,Television,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Germany,Europe,Non-Loyalty,Online,Orange SurfBoard,Surf Board,0,0,0,1440,43380,17340,26040,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Turkey,Europe,Non-Loyalty,Television,Unbreakable wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Italy,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,209790,203490,211470,1920,44760,31350,13440,H2 Forecast,210,0,NULL,NULL,00:00.0
FY20,Q2,6,Mexico,North & Central America,Loyalty,Online,Orange SurfBoard,Surf Board,2760,2700,2910,1200,38760,27120,11640,H1 Actual,2,0,NULL,NULL,00:00.0
FY20,Q2,5,Brazil,South America,Non-Loyalty,Television,Blue Shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Indonesia,Asia Pacific,Loyalty,Retail Store,Black Shoes,Running Shoes,1620,0,1860,0,0,0,0,H2 Forecast,54,0,NULL,NULL,00:00.0
FY20,Q4,10,Japan,Asia Pacific,Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Germany,Europe,Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,9600,0,0,0,0,0,H2 Forecast,-320,-1,NULL,NULL,00:00.0
FY20,Q2,5,UK,Europe,Loyalty,Retail Store,Brown Shoes,Running Shoes,0,6030,0,0,0,0,0,H1 Actual,-201,-1,NULL,NULL,00:00.0
FY20,Q2,4,Canada,North & Central America,Loyalty,Wholesale,Cheese circle,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Brazil,South America,Loyalty,Online,Blue Surf Board,Surf Board,28830,0,29310,0,0,0,0,H1 Actual,961,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Non-Loyalty,Television,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,8,Canada,North & Central America,Non-Loyalty,Television,White Shoes,Running Shoes,0,0,0,30,540,330,210,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Korea,Asia Pacific,Non-Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Retail Store,Black with red sole shoes,Running Shoes,510,0,570,0,0,0,0,H2 Forecast,17,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Canada,North & Central America,Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,3,Japan,Asia Pacific,Loyalty,Television,Brown Shoes,Running Shoes,0,0,0,3120,76710,46020,30690,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Canada,North & Central America,Non-Loyalty,Online,Black Shoes,Running Shoes,0,240,0,0,0,0,0,H1 Actual,-8,-1,NULL,NULL,00:00.0
FY20,Q1,2,Australia,Asia Pacific,Non-Loyalty,Retail Store,Blue Surf Board,Surf Board,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,China,Asia Pacific,Loyalty,Retail Store,French cheese,Cheese,20640,5250,22200,0,0,0,0,H2 Forecast,513,2,NULL,NULL,00:00.0
FY20,Q1,2,Canada,North & Central America,Loyalty,Television,Black Shoes,Running Shoes,0,0,0,0,120,60,60,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Canada,North & Central America,Loyalty,Wholesale,Cheese chunk,Cheese,0,10500,0,0,0,0,0,H2 Forecast,-350,-1,NULL,NULL,00:00.0
FY20,Q4,12,Korea,Asia Pacific,Non-Loyalty,Television,Crystal Wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,India,Asia Pacific,Non-Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Germany,Europe,Non-Loyalty,Online,Cheese circle,Cheese,0,0,0,2760,75780,45480,30330,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Germany,Europe,Loyalty,Retail Store,Brown SurfBoard,Surf Board,33240,7050,38520,0,0,0,0,H2 Forecast,873,3,NULL,NULL,00:00.0
FY20,Q2,4,India,Asia Pacific,Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Germany,Europe,Loyalty,Retail Store,Yellow mature Dutch cheese,Cheese,2130,2880,2460,-1050,-20490,-8190,-12300,H2 Forecast,-25,0,NULL,NULL,00:00.0
FY20,Q4,10,Canada,North & Central America,Loyalty,Television,Brown SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Australia,Asia Pacific,Loyalty,Online,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,USA,North & Central America,Non-Loyalty,Television,White Shoes,Running Shoes,0,0,0,390,9240,4620,4620,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Australia,Asia Pacific,Non-Loyalty,Retail Store,Blue Stripped SurfBoard,Surf Board,5190,0,5310,0,0,0,0,H2 Forecast,173,0,NULL,NULL,00:00.0
FY20,Q4,11,France,Europe,Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,France,Europe,Loyalty,Wholesale,Beach Shoes,Running Shoes,0,0,0,0,450,270,180,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Indonesia,Asia Pacific,Loyalty,Online,Blue Stripped SurfBoard,Surf Board,5610,0,6090,150,2790,1410,1410,H1 Actual,187,0,NULL,NULL,00:00.0
FY20,Q3,7,USA,North & Central America,Non-Loyalty,Online,Cheese chunk,Cheese,109950,83010,120990,570,15300,9180,6120,H2 Forecast,898,0,NULL,NULL,00:00.0
FY20,Q4,10,Canada,North & Central America,Non-Loyalty,Retail Store,Orange SurfBoard,Surf Board,150,30,150,150,3120,1560,1560,H2 Forecast,4,4,NULL,NULL,00:00.0
FY20,Q4,11,Germany,Europe,Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,UK,Europe,Non-Loyalty,Online,Black Shoes,Running Shoes,1470,0,1590,60,1500,1200,300,H2 Forecast,49,0,NULL,NULL,00:00.0
FY20,Q1,1,UK,Europe,Loyalty,Online,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,4,UK,Europe,Non-Loyalty,Retail Store,Blue Surf Board,Surf Board,2610,1380,2940,0,0,0,0,H1 Actual,41,0,NULL,NULL,00:00.0
FY20,Q2,5,India,Asia Pacific,Loyalty,Online,Pink Shoes,Running Shoes,0,360,0,0,0,0,0,H1 Actual,-12,-1,NULL,NULL,00:00.0
FY20,Q4,12,Italy,Europe,Loyalty,Retail Store,White Shoes,Running Shoes,275220,160260,284370,390,7800,4680,3120,H2 Forecast,3832,0,NULL,NULL,00:00.0
FY20,Q4,10,UK,Europe,Non-Loyalty,Wholesale,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Japan,Asia Pacific,Non-Loyalty,Television,Pink Shoes,Running Shoes,120,120,120,30,720,420,300,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,USA,North & Central America,Non-Loyalty,Retail Store,Brown Shoes,Running Shoes,0,0,0,60,1470,720,720,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Australia,Asia Pacific,Non-Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,UK,Europe,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,3,Italy,Europe,Loyalty,Retail Store,Unbreakable wineglass,Cocktail Glasses,330,510,60,30,480,240,240,H1 Actual,-6,0,NULL,NULL,00:00.0
FY20,Q2,4,Turkey,Europe,Loyalty,Retail Store,Orange SurfBoard,Surf Board,120,120,120,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Canada,North & Central America,Non-Loyalty,Online,Yellow mature Dutch cheese,Cheese,83100,91260,92850,0,0,0,0,H2 Forecast,-272,0,NULL,NULL,00:00.0
FY20,Q1,2,India,Asia Pacific,Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,120,0,0,0,0,0,H1 Actual,-4,-1,NULL,NULL,00:00.0
FY20,Q2,6,Mexico,North & Central America,Loyalty,Wholesale,French cheese,Cheese,4620,0,4770,0,0,0,0,H1 Actual,154,0,NULL,NULL,00:00.0
FY20,Q1,3,Italy,Europe,Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,6,India,Asia Pacific,Loyalty,Retail Store,White Shoes,Running Shoes,0,9390,0,0,120,60,60,H1 Actual,-313,-1,NULL,NULL,00:00.0
FY20,Q3,8,Brazil,South America,Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Germany,Europe,Loyalty,Wholesale,Black corkscrew,Corkscrew,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Mexico,North & Central America,Non-Loyalty,Online,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Japan,Asia Pacific,Loyalty,Online,Orange SurfBoard,Surf Board,0,0,0,1710,45690,27420,18270,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Turkey,Europe,Non-Loyalty,Television,Unbreakable wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,8,Switzerland,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,4110,3750,1440,780,18360,11010,7350,H2 Forecast,12,0,NULL,NULL,00:00.0
FY20,Q3,9,Mexico,North & Central America,Loyalty,Online,Orange SurfBoard,Surf Board,1320,1500,1410,60,1260,750,510,H2 Forecast,-6,0,NULL,NULL,00:00.0
FY20,Q2,4,Brazil,South America,Non-Loyalty,Online,Blue Shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Turkey,Europe,Loyalty,Retail Store,Blue Surf Board,Surf Board,0,270,0,30,510,270,270,H1 Actual,-9,-1,NULL,NULL,00:00.0
FY20,Q4,10,Australia,Asia Pacific,Loyalty,Wholesale,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Italy,Europe,Non-Loyalty,Online,Gray with white sole shoes,Running Shoes,0,2310,0,0,0,0,0,H2 Forecast,-77,-1,NULL,NULL,00:00.0
FY20,Q4,11,Canada,North & Central America,Non-Loyalty,Online,Brown Shoes,Running Shoes,0,390,0,0,0,0,0,H2 Forecast,-13,-1,NULL,NULL,00:00.0
FY20,Q2,6,Brazil,South America,Non-Loyalty,Retail Store,Cheese circle,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Brazil,South America,Loyalty,Wholesale,Blue Surf Board,Surf Board,2100,0,2400,0,0,0,0,H2 Forecast,70,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,UK,Europe,Non-Loyalty,Television,Brown Shoes,Running Shoes,0,0,0,30,390,210,210,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Korea,Asia Pacific,Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Australia,Asia Pacific,Non-Loyalty,Online,Black with red sole shoes,Running Shoes,4110,0,4440,0,0,0,0,H2 Forecast,137,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Canada,North & Central America,Loyalty,Television,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Germany,Europe,Loyalty,Retail Store,Brown Shoes,Running Shoes,0,0,0,300,6420,2550,3840,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,France,Europe,Non-Loyalty,Online,Black Shoes,Running Shoes,0,330,0,0,0,0,0,H2 Forecast,-11,-1,NULL,NULL,00:00.0
FY20,Q1,1,Australia,Asia Pacific,Non-Loyalty,Online,Blue Surf Board,Surf Board,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Non-Loyalty,Online,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,UK,Europe,Loyalty,Online,French cheese,Cheese,28710,7410,33030,0,0,0,0,H1 Actual,710,2,NULL,NULL,00:00.0
FY20,Q4,12,Spain,Europe,Loyalty,Online,Brown Shoes,Running Shoes,0,0,0,0,120,60,60,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Canada,North & Central America,Loyalty,Online,Cheese chunk,Cheese,0,1170,0,0,0,0,0,H1 Actual,-39,-1,NULL,NULL,00:00.0
FY20,Q4,12,Japan,Asia Pacific,Non-Loyalty,Retail Store,Crystal Wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Online,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Japan,Asia Pacific,Non-Loyalty,Retail Store,Cheese circle,Cheese,0,0,0,240,7710,5400,2310,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Italy,Europe,Loyalty,Online,Brown SurfBoard,Surf Board,19440,360,21390,0,0,0,0,H2 Forecast,636,53,NULL,NULL,00:00.0
FY20,Q3,8,India,Asia Pacific,Non-Loyalty,Online,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Germany,Europe,Loyalty,Retail Store,Yellow mature Dutch cheese,Cheese,156930,120870,175320,120,2370,1440,960,H1 Actual,1202,0,NULL,NULL,00:00.0
FY20,Q4,10,Brazil,South America,Non-Loyalty,Television,Brown SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Australia,Asia Pacific,Non-Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Canada,North & Central America,Loyalty,Online,White Shoes,Running Shoes,0,0,0,360,9330,6540,2790,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Indonesia,Asia Pacific,Non-Loyalty,Online,Blue Stripped SurfBoard,Surf Board,540,0,540,0,0,0,0,H2 Forecast,18,0,NULL,NULL,00:00.0
FY20,Q4,11,Switzerland,Europe,Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Germany,Europe,Loyalty,Wholesale,Black Shoes,Running Shoes,0,0,0,0,360,180,180,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,4,France,Europe,Non-Loyalty,Online,Blue Stripped SurfBoard,Surf Board,2160,0,2340,240,5970,2970,2970,H1 Actual,72,0,NULL,NULL,00:00.0
