Region,Country,ProductCategory,Campaign_ID,Campaign_Name,Qualification,Qualification_Number,Response_Status,Responses,Cost,Revenue,ROI,Lead_Generation,Revenue_Target,Campaign_Tactic,Customer_Segment,Status,Profit,Marketing_Cost,CampaignID,Date
Europe,Germany,NULL,34,FallintoWinter,NA,NA,Qualified,880,156,36238.15,7920,NA,2653.63,Baby Boomers (45 ? 60s),Event,Awareness,-341.4,523.143,34,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,503,191,80438.65,7920,NA,-7687.09,Gen X (60 ? 80s),TV,Awareness,-687.86,227.563,11,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,234,191,24054.05,5940,NA,286348,Baby Boomers (45 ? 60s),Social,Intent,754.29,64.141,11,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,1118,191,26102.48,11880,NA,212415,Boomer; GenX; GenY; GenZ,TV,Inquiries,400.18,82.348,11,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,951,240,81366.16,9900,NA,3397.71,Gen X (60 ? 80s),Social,Awareness,-557.24,260.375,50,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,503,174,80438.65,7920,NA,-7687.09,Baby Boomers (45 ? 60s),TV,Awareness,-687.86,227.563,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,767,56,22784.08,7920,NA,235467,Gen Z (2000s - now),Media Placements,Consideration,185.3,85.391,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,156,8121.92,3960,NA,181764,Gen X (60 ? 80s),Social,Awareness,128.01,36.771,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,636,191,22431.02,19800,NA,133892,Boomer; GenX; GenY; GenZ,TV,Consideration,12.07,117.878,11,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,807,270,52296.03,1980,NA,3042.13,Baby Boomers (45 ? 60s),Event,Inquiries,-527.65,800.198,11,00:00.0
South America,Brazil,NULL,21,SustainableFashion ,NA,NA,Accepted,452,174,15504,5940,NA,256989,Gen Y (80 ? 2000s),TV,Purchase,-287.81,51.204,21,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,629,230,23642.24,19800,NA,136306,Baby Boomers (45 ? 60s),Event,Inquiries,1769.53,89.913,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,30,79167.99,19800,NA,-2578.64,Gen Y (80 ? 2000s),Social,Awareness,-685.68,149.686,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,227,240,27860.67,5940,NA,-3315.53,Gen X (60 ? 80s),Social,Consideration,-806.41,726.803,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,19800,NA,327114,Gen Z (2000s - now),Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,45,LetsRun,NA,NA,Active,299,270,97108.98,9900,NA,933.54,Gen Z (2000s - now),Email,Inquiries,188.53,133.967,45,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,934,191,74059.79,9900,NA,1749.56,Gen Z (2000s - now),Email,Inquiries,325.63,280.796,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,5940,NA,327114,Boomer; GenX; GenY; GenZ,Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,491,174,44256.3,17820,NA,337586,Gen Z (2000s - now),Email,Inquiries,2774.23,112.302,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,971,191,30455.65,5940,NA,-2065.52,Boomer; GenX; GenY; GenZ,Social,Awareness,-636.79,907.28,11,00:00.0
Europe,Germany,NULL,21,SustainableFashion ,NA,NA,Qualified,776,174,75317.91,1980,NA,-3578.63,Gen X (60 ? 80s),Event,Awareness,-70.18,574.639,21,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,1062,230,61348.69,5940,NA,-2871.71,Gen X (60 ? 80s),Media Placements,Consideration,-57.33,444.443,50,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,949,191,35022.18,15840,NA,324666,Boomer; GenX; GenY; GenZ,Email,Awareness,1023.06,118.099,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,997,1,18376.32,3960,NA,320909,Baby Boomers (45 ? 60s),Media Placements,Inquiries,1659.03,30.464,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,227,240,27860.67,5940,NA,-3315.53,Boomer; GenX; GenY; GenZ,Social,Consideration,-806.41,726.803,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,835,56,27391.98,15840,NA,3479.07,Gen X (60 ? 80s),Event,Consideration,86.06,172.259,50,00:00.0
Europe,Germany,NULL,21,SustainableFashion ,NA,NA,Qualified,954,1.25,19469.76,3960,NA,327658,Baby Boomers (45 ? 60s),Event,Awareness,-404.43,110.534,21,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,798,197,17519.52,7920,NA,336702,Gen Z (2000s - now),Event,Inquiries,1543.6,35.547,21,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,1115,270,22590.96,13860,NA,134589,Gen Y (80 ? 2000s),Event,Intent,107.78,91.749,50,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,948,156,9698.16,15840,NA,126701,Baby Boomers (45 ? 60s),TV,Inquiries,1112.48,98.073,21,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,194,191,80729.17,9900,NA,493.51,Gen Z (2000s - now),Media Placements,Awareness,-589.6,442.796,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,629,56,35790.61,19800,NA,243.87,Baby Boomers (45 ? 60s),Event,Inquiries,488.92,387.672,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,200,11180.56,19800,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
North & Central America,USA,NULL,105,BeUnique,NA,NA,Active,117,290,16556.64,11880,NA,118932,Gen X (60 ? 80s),TV,Inquiries,1397.91,72.896,105,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,629,1.25,35790.61,19800,NA,243.87,Boomer; GenX; GenY; GenZ,Event,Inquiries,488.92,387.672,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,30,79167.99,19800,NA,-2578.64,Baby Boomers (45 ? 60s),Social,Awareness,-685.68,149.686,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,956,240,17651.52,15840,NA,-6623.07,Gen Z (2000s - now),Event,Consideration,462.34,837.637,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Baby Boomers (45 ? 60s),Social,Awareness,1037.34,53.992,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,163,240,17848.64,13860,NA,254235,Baby Boomers (45 ? 60s),Event,Inquiries,1433.27,29.954,50,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1111,56,29043.78,17820,NA,-2580.57,Gen X (60 ? 80s),TV,Awareness,148.05,88.29,50,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,549,230,7067.92,1980,NA,313752,Baby Boomers (45 ? 60s),Event,Consideration,-775.03,52.513,34,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,385,97,35960.85,1980,NA,326655,Gen Y (80 ? 2000s),Social,Consideration,1000.96,43.724,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,129,156,9643.52,1980,NA,-4010.52,Baby Boomers (45 ? 60s),Social,Consideration,348.54,881.446,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,500,270,74361.86,5940,NA,5069.02,Boomer; GenX; GenY; GenZ,Social,Awareness,4.68,228.188,11,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1091,156,8000.88,7920,NA,175797,Gen Z (2000s - now),TV,Awareness,-101.49,41.956,50,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,194,191,80729.17,9900,NA,493.51,Boomer; GenX; GenY; GenZ,Media Placements,Awareness,-589.6,442.796,11,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,427,174,12267.2,7920,NA,229075,NULL,Social,Purchase,-672.35,45.934,50,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,891,290,67230.44,13860,NA,2738.97,Gen X (60 ? 80s),Media Placements,Intent,-61.69,62.487,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,894,1.25,52888.34,3960,NA,-305.32,Boomer; GenX; GenY; GenZ,Event,Consideration,942.76,775.493,50,00:00.0
Europe,Germany,NULL,45,LetsRun,NA,NA,Qualified,921,191,53385.44,19800,NA,194174,Gen X (60 ? 80s),Social,Awareness,1409.47,57.953,45,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,514,191,99748.91,9900,NA,5457.12,Gen Z (2000s - now),TV,Consideration,-76.66,461.063,11,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Gen Z (2000s - now),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Gen Z (2000s - now),Social,Awareness,1037.34,53.992,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,194,290,22041.52,17820,NA,239037,Boomer; GenX; GenY; GenZ,Media Placements,Purchase,1065.9,24.905,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,194,240,62844.55,19800,NA,2543.66,NULL,Media Placements,Purchase,286.27,910.09,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,230,67976.08,11880,NA,632.59,Baby Boomers (45 ? 60s),Social,Awareness,-359.6,521.479,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,7920,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,200,11180.56,13860,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
South America,Brazil,NULL,105,BeUnique,NA,NA,Accepted,540,290,56136.4,1980,NA,3487.26,NULL,Event,Purchase,720.2,293.758,105,00:00.0
North & Central America,USA,NULL,45,LetsRun,NA,NA,Active,107,174,29740.48,1980,NA,335291,Gen Z (2000s - now),Email,Inquiries,686.29,73.372,45,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,785,240,21939.52,9900,NA,292876,Gen X (60 ? 80s),Social,Consideration,1773.27,84.694,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,445,191,77375.43,5940,NA,-434.44,Gen Y (80 ? 2000s),Social,Purchase,-506.87,707.202,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,629,1,35790.61,19800,NA,243.87,Boomer; GenX; GenY; GenZ,Event,Inquiries,488.92,387.672,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,5940,NA,327114,Gen Z (2000s - now),Social,Consideration,2002.6,79.492,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,194,191,19571.56,17820,NA,-8134.08,Boomer; GenX; GenY; GenZ,Media Placements,Awareness,-714.01,125.312,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,924,191,35583.12,3960,NA,-451.6,Gen Z (2000s - now),Email,Awareness,79.5,549.515,11,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,386,270,20216.4,5940,NA,271320,Baby Boomers (45 ? 60s),Event,Consideration,2230.57,114.716,34,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,549,1.25,65059.45,13860,NA,9185.05,NULL,Social,Purchase,687.41,293.583,50,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,107,156,11044.56,19800,NA,177667,Gen Y (80 ? 2000s),Social,Awareness,-652.63,35.207,105,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,450,191,12463.99,5940,NA,249543,Boomer; GenX; GenY; GenZ,Event,Awareness,-758.54,91.698,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,194,97,19571.56,17820,NA,-8134.08,Boomer; GenX; GenY; GenZ,Media Placements,Awareness,-714.01,125.312,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,923,191,22729.27,3960,NA,259012,Gen Z (2000s - now),Social,Awareness,-455.6,78.71,11,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,19800,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,163,24388.44,5940,NA,2673.28,Gen Y (80 ? 2000s),Social,Awareness,33.61,946.151,25,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1024,156,12615.4,15840,NA,1996.03,Gen Y (80 ? 2000s),Event,Awareness,-160.18,567.346,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,466,270,14070.59,17820,NA,-8467.87,Gen Z (2000s - now),Event,Purchase,-326.93,712.029,50,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1024,290,12615.4,15840,NA,1996.03,Gen X (60 ? 80s),Event,Awareness,-160.18,567.346,50,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,1079,270,12584.08,5940,NA,243899,Gen Z (2000s - now),TV,Inquiries,565.42,53.057,21,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,230,67976.08,11880,NA,632.59,Boomer; GenX; GenY; GenZ,Social,Awareness,-359.6,521.479,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,1021,240,84399.28,15840,NA,-8002.4,Baby Boomers (45 ? 60s),Social,Consideration,287.84,598.385,50,00:00.0
Asia Pacific,Japan,NULL,45,LetsRun,NA,NA,Qualified,296,1.25,10965.71,17820,NA,-7148.69,Gen X (60 ? 80s),Email,Intent,-536.29,432.568,45,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,807,230,39537.51,3960,NA,224604,Baby Boomers (45 ? 60s),Event,Inquiries,2073.32,72.556,11,00:00.0
South America,Brazil,NULL,105,BeUnique,NA,NA,Accepted,540,174,7232.48,1980,NA,273343,NULL,Event,Purchase,-2290.75,103.598,105,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,200,71998,5940,NA,-58.22,Gen Z (2000s - now),Social,Consideration,14.91,613.35,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,84,191,39537.51,3960,NA,224604,Gen Z (2000s - now),Event,Inquiries,2073.32,72.556,11,00:00.0
North & Central America,USA,NULL,45,LetsRun,NA,NA,Active,416,290,35833.28,1980,NA,243593,Boomer; GenX; GenY; GenZ,Media Placements,Inquiries,2052.58,95.863,45,00:00.0
Europe,Germany,NULL,45,LetsRun,NA,NA,Qualified,534,197,32607.36,1980,NA,328916,Gen Z (2000s - now),Event,Awareness,477.19,17.782,45,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,194,191,23635.58,11880,NA,296038,Gen X (60 ? 80s),Media Placements,Awareness,784.21,103.105,11,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,340,1.25,10670.56,13860,NA,143599,Gen Y (80 ? 2000s),Social,Inquiries,193.63,26.112,21,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,951,240,81366.16,9900,NA,3397.71,Gen Z (2000s - now),Social,Awareness,-557.24,260.375,50,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,386,1.25,96104.67,1980,NA,-5800.51,Gen X (60 ? 80s),Event,Consideration,-235.57,448.803,34,00:00.0
South America,Brazil,NULL,45,LetsRun,NA,NA,Accepted,498,290,22532.48,15840,NA,167280,Boomer; GenX; GenY; GenZ,Media Placements,Purchase,-1343,103.343,45,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,19800,NA,267410,Gen X (60 ? 80s),Social,Awareness,1037.34,53.992,25,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,232,30,15040.24,17820,NA,324003,Boomer; GenX; GenY; GenZ,Event,Intent,-837.93,37.791,50,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,664,290,8519.04,1980,NA,323833,Gen Y (80 ? 2000s),Email,Awareness,-1359.66,43.809,105,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,163,24388.44,5940,NA,2673.28,Gen Z (2000s - now),Social,Awareness,33.61,946.151,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,19800,NA,267410,Baby Boomers (45 ? 60s),Social,Awareness,1037.34,53.992,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,459,240,13148.48,17820,NA,249186,Baby Boomers (45 ? 60s),Social,Consideration,-1077.29,26.418,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,72,191,22784.08,19800,NA,235467,Boomer; GenX; GenY; GenZ,Media Placements,Consideration,185.3,85.391,50,00:00.0
North & Central America,USA,NULL,105,BeUnique,NA,NA,Active,117,30,16556.64,11880,NA,118932,Baby Boomers (45 ? 60s),TV,Inquiries,1397.91,72.896,105,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,314,240,75016.99,9900,NA,369.23,Boomer; GenX; GenY; GenZ,Social,Consideration,-648.83,241.911,50,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,807,240,29896.95,17820,NA,-479.94,Gen Z (2000s - now),Media Placements,Awareness,260.81,62.342,50,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,620,191,51360.41,9900,NA,1929.43,Boomer; GenX; GenY; GenZ,Media Placements,Inquiries,83.28,617.068,11,00:00.0
Europe,Germany,NULL,34,FallintoWinter,NA,NA,Qualified,779,191,74581.63,9900,NA,-1943.63,Gen X (60 ? 80s),Email,Awareness,83.65,822.945,34,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,386,1.25,96104.67,1980,NA,-5800.51,Baby Boomers (45 ? 60s),Event,Consideration,-235.57,448.803,34,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,177,174,36030.63,15840,NA,-586.26,Gen Z (2000s - now),Event,Consideration,-376.25,191.8,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,629,240,35790.61,19800,NA,243.87,Boomer; GenX; GenY; GenZ,Event,Inquiries,488.92,387.672,50,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,450,174,19922.36,13860,NA,5039.38,Gen X (60 ? 80s),Event,Awareness,381.01,631.894,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,129,163,26845.04,9900,NA,327114,Baby Boomers (45 ? 60s),Social,Consideration,2002.6,79.492,25,00:00.0
Europe,Germany,NULL,21,SustainableFashion ,NA,NA,Qualified,776,156,10720.08,1980,NA,-3830.71,Gen Z (2000s - now),Event,Awareness,-423.62,61.311,21,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,466,56,50355.56,15840,NA,1065.37,Gen Z (2000s - now),Event,Purchase,632.31,46.963,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,31719.8,13860,NA,-4678.72,Boomer; GenX; GenY; GenZ,Social,Awareness,-261.63,575.652,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,194,174,62844.55,19800,NA,2543.66,Gen Y (80 ? 2000s),Media Placements,Purchase,286.27,910.09,50,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,449,156,33859.98,17820,NA,4147.42,Boomer; GenX; GenY; GenZ,TV,Inquiries,349.61,267.784,34,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,129,163,26845.04,9900,NA,327114,Boomer; GenX; GenY; GenZ,Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,948,197,9698.16,11880,NA,126701,Boomer; GenX; GenY; GenZ,TV,Inquiries,1112.48,98.073,21,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,465,56,6829.92,19800,NA,134640,Boomer; GenX; GenY; GenZ,Media Placements,Consideration,564.74,90.185,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,72,191,42994.32,15840,NA,-319.1,Gen Z (2000s - now),Media Placements,Consideration,759.72,597.045,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,156,8121.92,3960,NA,181764,Gen Y (80 ? 2000s),Social,Awareness,128.01,36.771,25,00:00.0
Europe,Germany,NULL,45,LetsRun,NA,NA,Qualified,125,156,44172.8,13860,NA,272646,Gen Z (2000s - now),Email,Awareness,1414.06,89.913,45,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,554,240,54413.24,17820,NA,7743.59,Baby Boomers (45 ? 60s),Email,Awareness,-41.26,164.674,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,156,19134.29,3960,NA,-909.09,Gen Z (2000s - now),Social,Consideration,326.49,743.829,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,241,174,13753.68,5940,NA,169592,Gen X (60 ? 80s),Social,Inquiries,941.12,64.447,50,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,1115,1.25,22590.96,13860,NA,134589,Gen Z (2000s - now),Event,Intent,107.78,91.749,50,00:00.0
Asia Pacific,Japan,NULL,25,EnjoyTheMoment,NA,NA,Qualified,971,270,6959.12,5940,NA,158185,NULL,TV,Intent,-982.94,52.377,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,949,191,35022.18,15840,NA,324666,Gen X (60 ? 80s),Email,Awareness,1023.06,118.099,11,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,33,191,40333.93,7920,NA,-2976.29,Baby Boomers (45 ? 60s),TV,Consideration,-286.68,786.258,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,417,30,16817.76,3960,NA,190179,Baby Boomers (45 ? 60s),Social,Inquiries,1643.39,82.229,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Gen X (60 ? 80s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,156,79167.99,19800,NA,-2578.64,Boomer; GenX; GenY; GenZ,Social,Awareness,-685.68,149.686,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,358,1.25,17848.64,15840,NA,254235,Gen Y (80 ? 2000s),Event,Inquiries,1433.27,29.954,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,636,156,7645.92,3960,NA,209202,Gen Z (2000s - now),Event,Awareness,-1160.08,101.048,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,385,230,35960.85,1980,NA,326655,Gen Z (2000s - now),Social,Consideration,1000.96,43.724,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,173,191,23630.95,11880,NA,145928,Baby Boomers (45 ? 60s),TV,Awareness,-540.6,33.541,11,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,385,97,35960.85,13860,NA,326655,Boomer; GenX; GenY; GenZ,Social,Consideration,1000.96,43.724,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,340,174,23635.58,19800,NA,296038,Baby Boomers (45 ? 60s),Media Placements,Awareness,784.21,103.105,11,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,163,79167.99,19800,NA,-2578.64,Boomer; GenX; GenY; GenZ,Social,Awareness,-685.68,149.686,25,00:00.0
