DateOfManufacturing,Dept,fueltype,manufacturer,Recommended Service,VehicleID,Vehicle Type
"2011","Public Transport","Diesel","Damas","13073","BUS321","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS480","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS201","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS669","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS646","Mini Bus"
"2021","Police","Petrol","Ford","5250","POL007","Police Car"
"2001","Public Transport","Diesel","Avanza","14000","BUS023","Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS184","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS029","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS028","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS173","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13401","BUS233","Bus"
"2011","Public Transport","Diesel","Avanza","13368","BUS242","Bus"
"2011","Public Transport","Diesel","Damas","13051","BUS327","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS491","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS228","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS696","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS672","Mini Bus"
"2021","Public Transport","Diesel","Alsa","13860","BUS002","Bus"
"2001","Public Transport","Diesel","Avanza","14420","BUS048","Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS190","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS033","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS058","Mini Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS177","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13390","BUS236","Bus"
"2011","Public Transport","Diesel","Avanza","13357","BUS245","Bus"
"2011","Public Transport","Diesel","Damas","13047","BUS328","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS510","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS231","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS699","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS676","Mini Bus"
"2021","Public Transport","Diesel","Alsa","13720","BUS073","Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS026","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS214","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS043","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS088","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS194","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13386","BUS237","Bus"
"2011","Public Transport","Diesel","Avanza","13345","BUS248","Bus"
"2011","Public Transport","Diesel","Damas","13043","BUS329","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS521","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS258","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7575","MBUS726","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS702","Mini Bus"
"2021","Public Transport","Diesel","Alsa","14560","BUS074","Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS056","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS220","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS059","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS118","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS196","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13379","BUS239","Bus"
"2011","Public Transport","Diesel","Avanza","13338","BUS250","Bus"
"2011","Public Transport","Diesel","Damas","13028","BUS333","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS540","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS261","Mini Bus"
"2017","Public Transport","Diesel","Indcar","7350","MBUS729","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS706","Mini Bus"
"2021","Public Transport","Diesel","Avanza","14140","BUS017","Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS086","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS244","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS063","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS148","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS197","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13375","BUS240","Bus"
"2011","Public Transport","Diesel","Avanza","13327","BUS253","Bus"
"2011","Public Transport","Diesel","Damas","13024","BUS334","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS551","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS288","Mini Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS005","Electric Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS732","Mini Bus"
"2021","Public Transport","Diesel","Avanza","14140","BUS025","Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS116","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS250","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS073","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS178","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS199","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13364","BUS243","Bus"
"2011","Public Transport","Diesel","Avanza","13316","BUS256","Bus"
"2011","Public Transport","Diesel","Damas","13013","BUS337","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS570","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS291","Mini Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS031","Electric Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS736","Mini Bus"
"2021","Public Transport","Diesel","Avanza","14420","BUS080","Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS146","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS274","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS089","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS208","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS204","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13353","BUS246","Bus"
"2011","Public Transport","Diesel","Avanza","13275","BUS267","Bus"
"2011","Public Transport","Diesel","Damas","13002","BUS340","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS581","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS318","Mini Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS033","Electric Bus"
"2018","Public Transport","Diesel","Damas","13300","BUS084","Bus"
"2021","Public Transport","Diesel","Damas","14560","BUS090","Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS176","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS280","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS093","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS238","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS213","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13331","BUS252","Bus"
"2011","Public Transport","Diesel","Avanza","13263","BUS270","Bus"
"2011","Public Transport","Diesel","Damas","12991","BUS343","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS600","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS321","Mini Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS045","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS011","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS014","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS206","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS304","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS103","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS268","Mini Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS217","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13319","BUS255","Bus"
"2011","Public Transport","Diesel","Avanza","13252","BUS273","Bus"
"2011","Public Transport","Diesel","Damas","12987","BUS344","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS611","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7425","MBUS348","Mini Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS071","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS051","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15300","EBUS027","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS236","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS310","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS119","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS298","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS234","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13312","BUS257","Bus"
"2011","Public Transport","Diesel","Avanza","13245","BUS275","Bus"
"2011","Public Transport","Diesel","Damas","12980","BUS346","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS630","Mini Bus"
"2014","Public Transport","Diesel","Indcar","7200","MBUS351","Mini Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS073","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS091","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15600","EBUS030","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS266","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS334","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS123","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS328","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS236","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13308","BUS258","Bus"
"2011","Public Transport","Diesel","Avanza","13241","BUS276","Bus"
"2011","Public Transport","Diesel","Damas","12972","BUS348","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS641","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS021","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS085","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS131","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS054","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS296","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS340","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS133","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS358","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS237","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13297","BUS261","Bus"
"2011","Public Transport","Diesel","Avanza","13219","BUS282","Bus"
"2011","Public Transport","Diesel","Damas","12968","BUS349","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS660","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS024","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS111","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS171","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15300","EBUS067","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS326","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7650","MBUS364","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS149","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS388","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS239","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13293","BUS262","Bus"
"2011","Public Transport","Diesel","Avanza","13207","BUS285","Bus"
"2011","Public Transport","Diesel","Damas","12961","BUS351","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS671","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS035","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS113","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS211","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15600","EBUS070","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS356","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS370","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS153","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS418","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS244","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13286","BUS264","Bus"
"2011","Public Transport","Diesel","Avanza","13204","BUS286","Bus"
"2011","Public Transport","Diesel","Damas","12950","BUS354","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS690","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS061","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS125","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS251","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS094","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS386","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS374","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS163","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS448","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS253","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13282","BUS265","Bus"
"2011","Public Transport","Diesel","Avanza","13159","BUS298","Bus"
"2011","Public Transport","Diesel","Damas","12931","BUS359","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS701","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS064","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS151","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS291","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15300","EBUS107","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS392","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS400","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS179","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS478","Mini Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS257","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13271","BUS268","Bus"
"2011","Public Transport","Diesel","Avanza","13140","BUS303","Bus"
"2011","Public Transport","Diesel","Damas","12927","BUS360","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS720","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS075","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS153","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS331","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15600","EBUS110","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS416","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS404","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS183","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS508","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS274","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13260","BUS271","Bus"
"2011","Public Transport","Diesel","Avanza","13114","BUS310","Bus"
"2011","Public Transport","Diesel","Damas","12916","BUS363","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS731","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS101","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS165","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS371","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS134","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS422","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS430","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS193","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS538","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS276","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13237","BUS277","Bus"
"2011","Public Transport","Diesel","Avanza","13110","BUS311","Bus"
"2011","Public Transport","Diesel","Damas","12905","BUS366","Bus"
"2013","EMS","Diesel","Lafuncar","9900","AMB017","Ambulance"
"2014","Public Transport","Electricity","Irizar","14700","EBUS104","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS191","Electric Bus"
"2018","Public Transport","Electricity","Irizar","15450","EBUS411","Electric Bus"
"2021","Public Transport","Electricity","Irizar","15300","EBUS147","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS446","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS434","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS209","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS568","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS277","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13233","BUS278","Bus"
"2011","Public Transport","Diesel","Avanza","13069","BUS322","Bus"
"2011","Public Transport","Diesel","Damas","12894","BUS369","Bus"
"2013","EMS","Diesel","Lafuncar","9800","AMB033","Ambulance"
"2014","Public Transport","Electricity","Irizar","14250","EBUS115","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS193","Electric Bus"
"2019","EMS","Diesel","Lafuncar","9900","AMB009","Ambulance"
"2021","Public Transport","Electricity","Irizar","15600","EBUS150","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS452","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS460","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS213","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS598","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS279","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13230","BUS279","Bus"
"2011","Public Transport","Diesel","Avanza","13058","BUS325","Bus"
"2011","Public Transport","Diesel","Damas","12883","BUS372","Bus"
"2013","EMS","Petrol","BMW","8320","SUV011","SUV"
"2014","Public Transport","Electricity","Irizar","15300","EBUS141","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS205","Electric Bus"
"2019","EMS","Diesel","Mercedez-Benz","9800","AMB024","Ambulance"
"2021","Public Transport","Electricity","Irizar","15000","EBUS174","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS476","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS464","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS223","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS628","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS284","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13226","BUS280","Bus"
"2011","Public Transport","Diesel","Avanza","13039","BUS330","Bus"
"2011","Public Transport","Diesel","Damas","12875","BUS374","Bus"
"2013","EMS","Petrol","SEAT","7760","SUV023","SUV"
"2014","Public Transport","Electricity","Irizar","14700","EBUS144","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS231","Electric Bus"
"2019","EMS","Diesel","Mercedez-Benz","10200","AMB053","Ambulance"
"2021","Public Transport","Electricity","Irizar","15300","EBUS187","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS482","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS490","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS239","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS658","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS293","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13215","BUS283","Bus"
"2011","Public Transport","Diesel","Avanza","13036","BUS331","Bus"
"2011","Public Transport","Diesel","Damas","12868","BUS376","Bus"
"2013","Fire","Diesel","MORITA","12360","FRT008","Fire Truck"
"2014","Public Transport","Electricity","Irizar","14250","EBUS155","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS233","Electric Bus"
"2019","Fire","Diesel","Rosenbauer","11640","FRT002","Fire Truck"
"2021","Public Transport","Electricity","Irizar","15600","EBUS190","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS506","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS494","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS243","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS688","Mini Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS297","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13211","BUS284","Bus"
"2011","Public Transport","Diesel","Avanza","13010","BUS338","Bus"
"2011","Public Transport","Diesel","Damas","12856","BUS379","Bus"
"2013","Police","Petrol","Ford","5100","POL013","Police Car"
"2014","Public Transport","Electricity","Irizar","15300","EBUS181","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS245","Electric Bus"
"2019","Public Transport","Diesel","Alsa","14140","BUS011","Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS214","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS512","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS520","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS253","Mini Bus"
"2007","Public Transport","Diesel","Ayats","7350","MBUS718","Mini Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS314","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13200","BUS287","Bus"
"2011","Public Transport","Diesel","Avanza","12976","BUS347","Bus"
"2011","Public Transport","Diesel","Damas","12838","BUS384","Bus"
"2013","Police","Petrol","Ford","5000","POL018","Police Car"
"2014","Public Transport","Electricity","Irizar","14700","EBUS184","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS271","Electric Bus"
"2019","Public Transport","Diesel","Damas","14560","BUS016","Bus"
"2021","Public Transport","Electricity","Irizar","15300","EBUS227","Electric Bus"
