CityID,Month,KPIName,Values,Goal
"B1","2021-07-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"C1","2020-12-01","# Vehicles Serviced This Month","112","130"
"C1","2020-02-01","Vehicle Turnaround Tme (In Mins)","20","15"
"B1","2021-08-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"C1","2021-01-01","# Vehicles Serviced This Month","118","129"
"C1","2020-03-01","Vehicle Turnaround Tme (In Mins)","20","15"
"B1","2021-09-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"C1","2021-02-01","# Vehicles Serviced This Month","118","129"
"C1","2020-04-01","Vehicle Turnaround Tme (In Mins)","20","15"
"B1","2021-10-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"C1","2021-03-01","# Vehicles Serviced This Month","118","129"
"C1","2020-05-01","Vehicle Turnaround Tme (In Mins)","20","15"
"B1","2021-11-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"C1","2021-04-01","# Vehicles Serviced This Month","118","129"
"C1","2020-06-01","Vehicle Turnaround Tme (In Mins)","20","15"
"B1","2021-12-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"C1","2021-05-01","# Vehicles Serviced This Month","118","129"
"C1","2020-07-01","Vehicle Turnaround Tme (In Mins)","20","15"
"C1","2020-01-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-06-01","# Vehicles Serviced This Month","118","129"
"C1","2020-08-01","Vehicle Turnaround Tme (In Mins)","20","15"
"C1","2020-02-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-07-01","# Vehicles Serviced This Month","118","129"
"C1","2020-09-01","Vehicle Turnaround Tme (In Mins)","20","15"
"C1","2020-03-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-08-01","# Vehicles Serviced This Month","118","129"
"C1","2020-10-01","Vehicle Turnaround Tme (In Mins)","20","15"
"C1","2020-04-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-09-01","# Vehicles Serviced This Month","118","129"
"C1","2020-11-01","Vehicle Turnaround Tme (In Mins)","20","15"
"C1","2020-05-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-10-01","# Vehicles Serviced This Month","118","129"
"C1","2020-12-01","Vehicle Turnaround Tme (In Mins)","20","15"
"C1","2020-06-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-11-01","# Vehicles Serviced This Month","118","129"
"C1","2021-01-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2020-07-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"C1","2021-12-01","# Vehicles Serviced This Month","118","129"
"C1","2021-02-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2020-08-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"B1","2020-01-01","# Vehicles Serviced This Year","729","780"
"C1","2021-03-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2020-09-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"B1","2020-02-01","# Vehicles Serviced This Year","729","780"
"C1","2021-04-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2020-10-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"B1","2020-03-01","# Vehicles Serviced This Year","729","780"
"C1","2021-05-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2020-11-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"B1","2020-04-01","# Vehicles Serviced This Year","729","780"
"C1","2021-06-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2020-12-01","Sentiment about EMS/Police/Fire Truck Response Time","0.57","0.6"
"B1","2020-05-01","# Vehicles Serviced This Year","729","780"
"C1","2021-07-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2021-01-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-06-01","# Vehicles Serviced This Year","729","780"
"C1","2021-08-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2021-02-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-07-01","# Vehicles Serviced This Year","729","780"
"C1","2021-09-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2021-03-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-08-01","# Vehicles Serviced This Year","729","780"
"C1","2021-10-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2021-04-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-09-01","# Vehicles Serviced This Year","729","780"
"C1","2021-11-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2021-05-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-10-01","# Vehicles Serviced This Year","729","780"
"C1","2021-12-01","Vehicle Turnaround Tme (In Mins)","14","15"
"C1","2021-06-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-11-01","# Vehicles Serviced This Year","729","780"
"B1","2020-01-01","Time Spent at Signal (In Sec)","120","90"
"C1","2021-07-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2020-12-01","# Vehicles Serviced This Year","729","780"
"B1","2020-02-01","Time Spent at Signal (In Sec)","120","90"
"C1","2021-08-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2021-01-01","# Vehicles Serviced This Year","795","776"
"B1","2020-03-01","Time Spent at Signal (In Sec)","120","90"
"C1","2021-09-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2021-02-01","# Vehicles Serviced This Year","795","776"
"B1","2020-04-01","Time Spent at Signal (In Sec)","120","90"
"C1","2021-10-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2021-03-01","# Vehicles Serviced This Year","795","776"
"B1","2020-05-01","Time Spent at Signal (In Sec)","120","90"
"C1","2021-11-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2021-04-01","# Vehicles Serviced This Year","795","776"
"B1","2020-06-01","Time Spent at Signal (In Sec)","120","90"
"C1","2021-12-01","Sentiment about EMS/Police/Fire Truck Response Time","0.623","0.6"
"B1","2021-05-01","# Vehicles Serviced This Year","795","776"
"B1","2020-07-01","Time Spent at Signal (In Sec)","120","90"
"B1","2020-01-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-06-01","# Vehicles Serviced This Year","795","776"
"B1","2020-08-01","Time Spent at Signal (In Sec)","120","90"
"B1","2020-02-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-07-01","# Vehicles Serviced This Year","795","776"
"B1","2020-09-01","Time Spent at Signal (In Sec)","120","90"
"B1","2020-03-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-08-01","# Vehicles Serviced This Year","795","776"
"B1","2020-10-01","Time Spent at Signal (In Sec)","120","90"
"B1","2020-04-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-09-01","# Vehicles Serviced This Year","795","776"
"B1","2020-11-01","Time Spent at Signal (In Sec)","120","90"
"B1","2020-05-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-10-01","# Vehicles Serviced This Year","795","776"
"B1","2020-12-01","Time Spent at Signal (In Sec)","120","90"
"B1","2020-06-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-11-01","# Vehicles Serviced This Year","795","776"
"B1","2021-01-01","Time Spent at Signal (In Sec)","75","90"
"B1","2020-07-01","Sentiment about General Traffic","0.45","0.5"
"B1","2021-12-01","# Vehicles Serviced This Year","795","776"
"B1","2021-02-01","Time Spent at Signal (In Sec)","75","90"
"B1","2020-08-01","Sentiment about General Traffic","0.45","0.5"
"C1","2020-01-01","# Vehicles Serviced This Year","729","780"
"B1","2021-03-01","Time Spent at Signal (In Sec)","75","90"
"B1","2020-09-01","Sentiment about General Traffic","0.45","0.5"
"C1","2020-02-01","# Vehicles Serviced This Year","729","780"
"B1","2021-04-01","Time Spent at Signal (In Sec)","75","90"
"B1","2020-10-01","Sentiment about General Traffic","0.45","0.5"
"C1","2020-03-01","# Vehicles Serviced This Year","729","780"
"B1","2021-05-01","Time Spent at Signal (In Sec)","75","90"
"B1","2020-11-01","Sentiment about General Traffic","0.45","0.5"
"C1","2020-04-01","# Vehicles Serviced This Year","729","780"
"B1","2021-06-01","Time Spent at Signal (In Sec)","75","90"
"B1","2020-12-01","Sentiment about General Traffic","0.45","0.5"
"C1","2020-05-01","# Vehicles Serviced This Year","729","780"
"B1","2021-07-01","Time Spent at Signal (In Sec)","75","90"
"B1","2021-01-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-06-01","# Vehicles Serviced This Year","729","780"
"B1","2021-08-01","Time Spent at Signal (In Sec)","75","90"
"B1","2021-02-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-07-01","# Vehicles Serviced This Year","729","780"
"B1","2021-09-01","Time Spent at Signal (In Sec)","75","90"
"B1","2021-03-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-08-01","# Vehicles Serviced This Year","729","780"
"B1","2021-10-01","Time Spent at Signal (In Sec)","75","90"
"B1","2021-04-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-09-01","# Vehicles Serviced This Year","729","780"
"B1","2021-11-01","Time Spent at Signal (In Sec)","75","90"
"B1","2021-05-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-10-01","# Vehicles Serviced This Year","729","780"
"B1","2021-12-01","Time Spent at Signal (In Sec)","75","90"
"B1","2021-06-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-11-01","# Vehicles Serviced This Year","729","780"
"C1","2020-01-01","Time Spent at Signal (In Sec)","120","90"
"B1","2021-07-01","Sentiment about General Traffic","0.524","0.5"
"C1","2020-12-01","# Vehicles Serviced This Year","729","780"
"C1","2020-02-01","Time Spent at Signal (In Sec)","120","90"
"B1","2021-08-01","Sentiment about General Traffic","0.524","0.5"
"C1","2021-01-01","# Vehicles Serviced This Year","795","776"
"C1","2020-03-01","Time Spent at Signal (In Sec)","120","90"
"B1","2021-09-01","Sentiment about General Traffic","0.524","0.5"
"C1","2021-02-01","# Vehicles Serviced This Year","795","776"
"C1","2020-04-01","Time Spent at Signal (In Sec)","120","90"
"B1","2021-10-01","Sentiment about General Traffic","0.524","0.5"
"C1","2021-03-01","# Vehicles Serviced This Year","795","776"
"C1","2020-05-01","Time Spent at Signal (In Sec)","120","90"
"B1","2021-11-01","Sentiment about General Traffic","0.524","0.5"
"C1","2021-04-01","# Vehicles Serviced This Year","795","776"
"C1","2020-06-01","Time Spent at Signal (In Sec)","120","90"
"B1","2021-12-01","Sentiment about General Traffic","0.524","0.5"
"C1","2021-05-01","# Vehicles Serviced This Year","795","776"
"C1","2020-07-01","Time Spent at Signal (In Sec)","120","90"
"C1","2020-01-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-06-01","# Vehicles Serviced This Year","795","776"
"C1","2020-08-01","Time Spent at Signal (In Sec)","120","90"
"C1","2020-02-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-07-01","# Vehicles Serviced This Year","795","776"
"C1","2020-09-01","Time Spent at Signal (In Sec)","120","90"
"C1","2020-03-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-08-01","# Vehicles Serviced This Year","795","776"
"C1","2020-10-01","Time Spent at Signal (In Sec)","120","90"
"C1","2020-04-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-09-01","# Vehicles Serviced This Year","795","776"
"C1","2020-11-01","Time Spent at Signal (In Sec)","120","90"
"C1","2020-05-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-10-01","# Vehicles Serviced This Year","795","776"
"C1","2020-12-01","Time Spent at Signal (In Sec)","120","90"
"C1","2020-06-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-11-01","# Vehicles Serviced This Year","795","776"
"C1","2021-01-01","Time Spent at Signal (In Sec)","75","90"
"C1","2020-07-01","Sentiment about General Traffic","0.45","0.5"
"C1","2021-12-01","# Vehicles Serviced This Year","795","776"
"C1","2021-02-01","Time Spent at Signal (In Sec)","75","90"
"C1","2020-08-01","Sentiment about General Traffic","0.45","0.5"
"B1","2020-01-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-03-01","Time Spent at Signal (In Sec)","75","90"
"C1","2020-09-01","Sentiment about General Traffic","0.45","0.5"
"B1","2020-02-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-04-01","Time Spent at Signal (In Sec)","75","90"
"C1","2020-10-01","Sentiment about General Traffic","0.45","0.5"
"B1","2020-03-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-05-01","Time Spent at Signal (In Sec)","75","90"
"C1","2020-11-01","Sentiment about General Traffic","0.45","0.5"
"B1","2020-04-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-06-01","Time Spent at Signal (In Sec)","75","90"
"C1","2020-12-01","Sentiment about General Traffic","0.45","0.5"
"B1","2020-05-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-07-01","Time Spent at Signal (In Sec)","75","90"
"C1","2021-01-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-06-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-08-01","Time Spent at Signal (In Sec)","75","90"
"C1","2021-02-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-07-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-09-01","Time Spent at Signal (In Sec)","75","90"
"C1","2021-03-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-08-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-10-01","Time Spent at Signal (In Sec)","75","90"
"C1","2021-04-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-09-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-11-01","Time Spent at Signal (In Sec)","75","90"
"C1","2021-05-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-10-01","% Service Compliance This Month","0.8615","0.9"
"C1","2021-12-01","Time Spent at Signal (In Sec)","75","90"
"C1","2021-06-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-11-01","% Service Compliance This Month","0.8615","0.9"
"B1","2020-01-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2021-07-01","Sentiment about General Traffic","0.524","0.5"
"B1","2020-12-01","% Service Compliance This Month","0.8615","0.9"
"B1","2020-02-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2021-08-01","Sentiment about General Traffic","0.524","0.5"
"B1","2021-01-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-03-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2021-09-01","Sentiment about General Traffic","0.524","0.5"
"B1","2021-02-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-04-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2021-10-01","Sentiment about General Traffic","0.524","0.5"
"B1","2021-03-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-05-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2021-11-01","Sentiment about General Traffic","0.524","0.5"
"B1","2021-04-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-06-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2021-12-01","Sentiment about General Traffic","0.524","0.5"
"B1","2021-05-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-07-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2020-01-01","#Articles Published (Positive)","12",
"B1","2021-06-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-08-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2020-02-01","#Articles Published (Positive)","12",
"B1","2021-07-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-09-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2020-03-01","#Articles Published (Positive)","12",
"B1","2021-08-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-10-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2020-04-01","#Articles Published (Positive)","12",
"B1","2021-09-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-11-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2020-05-01","#Articles Published (Positive)","12",
"B1","2021-10-01","% Service Compliance This Month","0.91","0.9"
"B1","2020-12-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2020-06-01","#Articles Published (Positive)","12",
"B1","2021-11-01","% Service Compliance This Month","0.91","0.9"
"B1","2021-01-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2020-07-01","#Articles Published (Positive)","12",
"B1","2021-12-01","% Service Compliance This Month","0.91","0.9"
"B1","2021-02-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2020-08-01","#Articles Published (Positive)","12",
"C1","2020-01-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-03-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2020-09-01","#Articles Published (Positive)","12",
"C1","2020-02-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-04-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2020-10-01","#Articles Published (Positive)","12",
"C1","2020-03-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-05-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2020-11-01","#Articles Published (Positive)","12",
"C1","2020-04-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-06-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2020-12-01","#Articles Published (Positive)","12",
"C1","2020-05-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-07-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2021-01-01","#Articles Published (Positive)","32",
"C1","2020-06-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-08-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2021-02-01","#Articles Published (Positive)","32",
"C1","2020-07-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-09-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2021-03-01","#Articles Published (Positive)","32",
"C1","2020-08-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-10-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2021-04-01","#Articles Published (Positive)","32",
"C1","2020-09-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-11-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2021-05-01","#Articles Published (Positive)","32",
"C1","2020-10-01","% Service Compliance This Month","0.8615","0.9"
"B1","2021-12-01","Avg Route Adherance by Drivers","0.915","0.9"
"B1","2021-06-01","#Articles Published (Positive)","32",
"C1","2020-11-01","% Service Compliance This Month","0.8615","0.9"
"C1","2020-01-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2021-07-01","#Articles Published (Positive)","32",
"C1","2020-12-01","% Service Compliance This Month","0.8615","0.9"
"C1","2020-02-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2021-08-01","#Articles Published (Positive)","32",
