Date,Accessories_count,Entertainment_count,Gaming,Kids,Mens,Phone_and_GPS,Womens
22-09-2020,363,41,54,92,78,23,75
03-01-2018,228,49,71,38,10,33,27
12-04-2019,218,42,69,69,25,7,6
15-08-2016,296,59,92,14,27,43,61
02-05-2015,254,83,35,58,50,27,1
21-01-2020,307,9,67,86,34,22,89
05-08-2017,375,70,86,17,59,85,58
28-12-2018,338,78,15,28,97,95,25
05-10-2018,324,98,19,80,55,66,6
29-09-2017,245,54,74,51,32,21,13
24-05-2017,320,53,16,66,90,2,93
08-01-2015,423,70,94,56,52,93,58
09-10-2018,238,18,36,57,6,22,99
16-04-2015,450,94,95,69,93,7,92
12-01-2018,364,64,87,92,65,43,13
13-01-2015,271,12,48,16,57,48,90
05-06-2016,173,17,10,53,28,36,29
08-07-2016,303,18,79,90,15,39,62
05-11-2015,242,53,21,83,5,23,57
20-02-2019,347,90,37,99,31,9,81
23-11-2020,325,81,64,83,8,23,66
08-02-2017,390,86,45,44,81,48,86
10-05-2018,281,93,40,31,4,86,27
15-11-2019,286,63,4,18,68,87,46
07-12-2019,299,4,74,74,86,26,35
01-06-2020,251,12,18,87,38,38,58
29-01-2016,212,58,44,24,13,59,14
09-04-2015,317,40,82,44,35,68,48
07-12-2017,385,39,93,55,80,46,72
01-09-2019,319,11,44,82,29,57,96
01-12-2016,391,57,74,89,93,76,2
09-10-2016,329,99,81,94,14,37,4
23-06-2015,332,31,94,14,98,94,1
28-07-2017,256,29,15,88,11,57,56
07-01-2017,139,10,0,40,29,53,7
01-01-2015,254,39,71,88,19,6,31
28-11-2016,325,25,12,88,93,19,88
04-11-2018,382,0,97,52,37,99,97
06-08-2016,385,85,83,36,57,91,33
08-03-2020,256,76,23,30,4,64,59
20-11-2017,330,62,65,72,3,44,84
23-01-2015,322,91,61,76,9,31,54
09-03-2019,166,10,75,1,46,32,2
23-01-2015,234,22,82,47,18,24,41
30-05-2016,159,5,53,0,7,53,41
11-03-2020,285,46,27,60,61,76,15
02-04-2020,382,72,42,89,96,44,39
23-05-2020,291,0,90,81,78,4,38
21-06-2016,255,40,7,61,33,20,94
25-03-2020,206,24,38,34,45,48,17
27-05-2020,294,32,0,83,74,16,89
24-01-2015,248,87,51,1,6,63,40
03-10-2016,321,93,68,43,33,79,5
17-10-2017,327,22,15,73,92,42,83
10-09-2017,261,59,18,38,16,52,78
03-01-2020,283,13,62,79,33,4,92
21-12-2015,427,93,50,87,67,33,97
26-07-2018,215,19,11,90,11,66,18
16-02-2017,310,55,4,61,48,46,96
23-08-2020,314,11,93,26,32,56,96
17-04-2020,193,89,30,0,22,35,17
18-07-2017,325,5,75,56,29,71,89
23-02-2020,409,20,88,55,99,55,92
02-07-2016,249,9,35,1,84,30,90
18-05-2020,260,68,41,23,98,23,7
09-01-2015,252,6,42,26,93,71,14
19-11-2016,304,41,21,28,50,81,83
27-01-2019,348,57,75,36,51,76,53
19-01-2020,253,0,60,33,51,79,30
22-04-2017,219,3,65,9,44,79,19
13-12-2016,255,14,35,96,7,20,83
15-09-2018,283,50,9,6,76,65,77
25-11-2017,272,36,4,97,34,34,67
26-07-2015,333,3,63,63,16,94,94
25-07-2018,242,15,33,95,36,33,30
22-08-2018,317,22,16,27,99,67,86
29-12-2016,354,30,71,95,68,87,3
14-08-2016,229,29,37,61,18,69,15
16-06-2020,270,16,91,75,15,19,54
07-02-2019,316,94,43,33,10,40,96
18-11-2016,196,91,8,10,64,11,12
23-08-2020,379,42,72,16,88,96,65
25-10-2016,400,98,51,89,9,80,73
22-08-2016,332,60,76,30,37,74,55
09-11-2019,287,90,11,17,16,90,63
01-05-2020,308,60,53,49,29,82,35
29-05-2020,235,2,27,68,37,81,20
21-03-2020,339,53,82,14,35,81,74
03-04-2020,361,55,60,59,75,83,29
17-05-2015,204,4,20,87,30,8,55
17-01-2018,319,36,16,87,28,55,97
20-06-2016,273,33,4,53,41,87,55
20-04-2020,220,30,6,27,80,36,41
02-11-2019,275,2,66,65,33,57,52
23-03-2018,294,61,18,50,70,79,16
11-03-2017,291,78,68,17,69,40,19
04-12-2020,260,15,59,99,48,5,34
10-04-2019,361,57,62,40,55,69,78
27-04-2016,311,80,59,88,32,31,21
26-08-2016,311,25,95,23,82,85,1
30-09-2017,285,28,26,61,29,44,97
28-07-2015,272,0,17,96,95,2,62
27-06-2018,389,96,38,81,93,7,74
20-12-2016,184,7,58,34,14,16,55
05-11-2019,241,3,29,58,43,87,21
15-05-2016,346,71,14,98,75,50,38
16-10-2019,317,12,59,92,86,40,28
12-12-2019,378,93,3,53,89,93,47
25-01-2017,367,80,51,73,6,82,75
01-07-2015,298,71,74,33,14,24,82
21-04-2019,333,26,59,24,97,62,65
02-08-2016,256,31,16,1,55,75,78
22-05-2019,258,71,79,20,48,15,25
14-09-2020,249,27,42,22,91,66,1
17-10-2020,214,25,80,26,9,50,24
24-11-2015,300,39,28,65,21,92,55
11-01-2017,295,12,57,37,44,74,71
07-04-2016,361,92,64,30,76,46,53
26-09-2018,307,30,37,92,96,20,32
19-08-2016,333,58,62,16,28,99,70
02-05-2017,239,68,50,56,22,5,38
24-11-2020,296,36,40,60,68,13,79
02-12-2017,309,44,93,35,38,98,1
12-04-2020,428,94,40,81,79,88,46
28-10-2016,260,52,87,5,11,73,32
03-08-2020,446,42,73,99,83,74,75
18-12-2019,224,41,37,37,62,47,0
27-11-2017,320,19,77,44,84,57,39
09-06-2019,268,38,95,58,56,20,1
01-01-2018,304,76,47,4,66,81,30
27-06-2017,373,24,88,45,59,95,62
05-07-2015,209,29,73,20,12,44,31
17-03-2017,356,56,30,91,87,15,77
01-03-2017,366,27,37,34,99,72,97
30-06-2019,358,42,54,95,77,50,40
13-06-2018,305,53,95,79,11,8,59
31-03-2017,360,57,26,71,87,64,55
13-01-2015,300,49,58,35,34,58,66
18-03-2016,213,16,63,27,47,20,40
09-01-2020,448,53,93,99,65,44,94
20-02-2020,343,76,51,75,35,71,35
13-08-2019,301,94,64,34,23,75,11
14-09-2019,334,87,50,72,19,10,96
08-09-2020,346,92,56,49,35,76,38
05-01-2018,231,68,82,4,18,33,26
29-04-2017,172,38,6,48,40,21,19
28-01-2017,389,13,87,91,31,84,83
19-08-2019,391,5,89,84,63,72,78
15-10-2015,236,72,60,29,32,33,10
06-05-2016,379,70,46,94,2,83,84
21-01-2015,370,89,98,89,73,21,0
11-12-2017,137,49,12,31,37,0,8
15-07-2020,260,9,50,66,9,75,51
15-10-2015,422,71,76,58,60,64,93
24-02-2020,385,63,27,77,87,41,90
31-10-2017,284,13,52,57,5,64,93
09-10-2015,211,35,93,13,13,52,5
02-11-2019,300,55,28,48,55,94,20
03-02-2017,375,31,98,87,48,71,40
12-01-2016,318,79,39,32,26,44,98
05-07-2015,138,28,17,36,0,2,55
14-05-2018,255,88,64,2,5,73,23
30-03-2019,213,3,30,91,60,13,16
18-07-2015,254,36,55,14,21,81,47
09-07-2019,327,6,45,48,77,57,94
03-07-2020,505,94,39,92,95,90,95
03-08-2020,389,65,69,96,98,11,50
26-10-2017,329,35,66,29,76,37,86
26-06-2015,416,70,67,82,99,17,81
13-05-2016,400,40,36,72,84,69,99
17-11-2015,338,76,72,48,49,41,52
07-06-2017,331,69,96,71,25,11,59
08-11-2019,237,9,28,38,20,81,61
22-08-2015,213,2,47,65,35,34,30
30-06-2016,250,30,8,60,56,72,24
23-11-2017,326,82,97,62,34,9,42
03-02-2019,290,87,8,15,82,64,34
12-04-2015,185,1,6,10,76,17,75
04-03-2020,334,13,30,86,39,77,89
02-03-2017,388,44,88,39,87,85,45
28-09-2017,403,66,60,90,67,90,30
26-09-2018,168,5,40,35,3,2,83
12-12-2016,246,51,35,40,55,34,31
03-09-2015,212,63,7,57,61,7,17
06-10-2020,251,22,19,41,13,96,60
09-04-2019,266,3,94,81,53,21,14
07-01-2017,358,85,80,65,10,79,39
27-02-2020,206,52,10,52,10,60,22
08-09-2017,278,75,7,25,69,85,17
18-01-2019,302,84,9,11,46,63,89
19-07-2017,369,12,44,99,68,97,49
04-10-2015,279,26,22,79,29,35,88
07-03-2018,310,47,43,23,36,81,80
17-03-2017,306,23,78,35,72,57,41
11-10-2020,336,11,97,83,84,6,55
24-09-2019,295,48,22,83,57,58,27
17-02-2015,373,29,87,90,63,91,13
27-06-2018,339,37,77,55,38,33,99
25-09-2018,246,57,59,56,54,18,2
30-03-2015,377,28,88,38,79,52,92
28-11-2017,162,17,15,44,58,0,28
16-02-2017,373,52,0,76,76,84,85
16-11-2016,303,44,43,90,83,17,26
22-11-2016,267,32,65,16,21,76,57
12-05-2015,310,67,35,20,43,64,81
06-11-2020,338,17,86,59,58,33,85
30-07-2018,472,76,84,80,79,79,74
15-12-2016,256,45,23,52,5,65,66
28-12-2018,302,60,14,87,45,51,45
14-11-2016,210,19,13,88,9,14,67
02-01-2018,283,28,28,90,79,44,14
23-01-2015,313,37,74,36,66,78,22
01-02-2015,336,49,64,87,5,70,61
31-07-2018,299,30,31,84,65,57,32
20-02-2016,435,35,98,53,98,69,82
11-06-2017,283,23,81,44,77,45,13
01-05-2018,319,59,43,89,60,41,27
23-05-2015,323,20,51,12,85,78,77
17-11-2015,376,61,95,19,91,20,90
03-07-2019,168,2,2,71,35,39,19
05-01-2016,361,63,90,33,47,35,93
02-04-2015,140,12,29,36,11,3,49
17-03-2019,385,95,50,79,46,76,39
22-09-2015,357,59,72,68,28,95,35
15-09-2017,320,34,88,25,60,99,14
12-11-2016,340,83,58,43,12,50,94
01-08-2019,306,27,37,21,61,91,69
09-05-2016,218,67,17,28,64,37,5
27-01-2019,247,65,28,34,63,45,12
07-12-2019,261,69,19,29,38,97,9
06-05-2018,247,72,6,72,23,50,24
09-01-2020,241,12,81,12,20,87,29
15-02-2019,308,69,87,43,26,30,53
20-05-2019,312,37,83,44,77,18,53
09-07-2018,237,12,98,24,57,3,43
30-05-2020,307,76,56,47,66,53,9
18-03-2015,294,77,71,75,5,34,32
11-09-2018,270,28,56,70,14,83,19
30-06-2017,284,77,5,49,3,76,74
28-09-2016,400,84,48,94,87,85,2
05-11-2016,221,41,14,19,52,72,23
27-09-2015,232,27,50,48,91,3,13
16-01-2015,308,2,92,63,89,1,61
10-02-2020,232,71,6,31,13,96,15
28-02-2020,256,53,53,22,4,69,55
17-04-2019,460,49,86,90,92,66,77
22-04-2020,286,12,52,70,8,50,94
30-06-2020,407,26,97,85,81,90,28
24-12-2016,418,82,32,91,87,55,71
10-08-2016,273,98,51,46,60,11,7
30-12-2015,464,88,79,83,92,61,61
12-06-2018,341,28,93,62,33,82,43
16-04-2015,337,52,54,71,53,11,96
22-05-2017,420,91,52,65,82,56,74
28-06-2015,303,47,80,39,13,43,81
21-06-2020,249,15,61,96,34,31,12
12-06-2017,314,95,10,37,90,27,55
30-06-2017,250,67,80,47,28,10,18
08-04-2017,248,39,26,73,38,58,14
21-07-2020,274,93,18,48,51,44,20
09-05-2018,204,41,1,8,40,47,67
26-05-2016,270,71,56,81,32,8,22
22-09-2016,278,94,13,50,25,1,95
19-08-2018,357,27,82,98,68,39,43
21-07-2020,281,10,69,12,81,60,49
17-07-2017,259,40,28,8,81,82,20
01-01-2017,279,70,59,94,31,25,0
20-08-2015,271,75,19,88,22,37,30
21-05-2016,284,17,44,18,56,96,53
23-04-2018,299,95,13,70,55,31,35
07-02-2019,263,29,93,91,3,11,36
14-10-2016,336,65,75,21,48,64,63
28-06-2019,229,9,33,1,19,87,80
07-09-2018,480,94,75,84,88,61,78
07-07-2019,267,35,71,3,48,13,97
06-05-2019,256,54,90,44,29,17,22
09-11-2017,316,57,73,29,75,40,42
12-07-2018,241,97,8,3,34,14,85
17-02-2017,229,15,36,46,54,71,7
12-06-2015,192,17,74,59,9,20,13
02-08-2018,301,85,39,25,53,88,11
01-01-2016,257,36,19,22,26,92,62
30-06-2015,343,58,65,62,45,27,86
