Country,Product_Category,Product,Channel,Gender,Sessions,Device_Category,Sources,Conversations,Page,Visits,Unique_Visitors,Browser,Sentiment,Duration_min,Region,Customer_Segment,Daily_Users,Conversion_Rate,Return_Visitors,Tweets,Retweets,Hashtags,Campaign_Name
USA,Brake Pad,XTR Semi Metallic 33NRT,Online,Female,799,Mobile,Others,Twitter,Contact Us,408,184,Firefox,Negative,3,North & Central America,Gen Z (2000s - now),473,18,184,644,48,TitaniumWheel,Hit the Track
USA,Helmet,Cruiser WRX,Online,Male,527,Desktop,Yahoo,Facebook,Contact Us,539,104,Internet Explorer,Negative,3,Asia Pacific,Boomer; GenX; GenY; GenZ,221,16,167,1990,28,Race,Racer Club
USA,Helmet,Alienzone Black Matte,Online,Other,866,Desktop,Google,Facebook,Contact Us,462,140,Firefox,Negative,2,South America,Gen Y (80 – 2000s),414,41,140,979,42,FavoritePassTime,Hit the Track
USA,Hat,Fedora,Online,Male,548,Tablet,Direct,Twitter,Contact Us,567,193,Firefox,Positive,4,South America,Gen Y (80 – 2000s),282,38,193,1594,46,AttackTheTrack,Beyond Wheels
USA,Spoiler,GTS Style Carbon Fiber Rear Trunk Spoiler,Online,Fem; Male,1262,Desktop,Bing,Forum,Products,515,165,Internet Explorer,Negative,4,North & Central America,Boomer; GenX; GenY; GenZ,281,12,97,894,42,RaceTrack,Beyond Wheels
USA,Binoculars,NovaVision HD 10x42,Online,Other,506,Mobile,Others,Facebook,Shipping Details,458,195,Internet Explorer,Positive,4,South America,Boomer; GenX; GenY; GenZ,214,26,109,1146,47,AttackTheTrack,Get Sporty
USA,Helmet,Warrior Hulk,Online,Fem; Male,1261,Tablet,Yahoo,Facebook,Shipping Details,506,87,Internet Explorer,Positive,1,North & Central America,Baby Boomers (45 – 60s),203,18,87,1143,42,Premium,Fun with Colors
USA,Helmet,Air Flow Shark,Online,Female,733,Tablet,Bing,Forum,Contact Us,490,133,Firefox,Positive,3,Asia Pacific,Boomer; GenX; GenY; GenZ,242,41,92,1810,35,OffRoad,Beyond Wheels
USA,Sunglasses,Sportax Path,Online,Female,898,Desktop,Others,Blogs,Shipping Details,445,168,Internet Explorer,Positive,1,South America,Gen Y (80 – 2000s),274,10,168,621,40,FavoritePassTime,Racer Club
USA,Alloy Wheel,WHEEL SUPERCHROME12.15 X 23.02. 285 PCD 26 BOLT,Online,Male,527,Desktop,Yahoo,Facebook,HomePage,579,154,Internet Explorer,Positive,2,South America,Gen Y (80 – 2000s),269,15,154,559,29,DancingWithTires,Wheels of Steel
USA,Spoiler,Lighted?Spoiler,Online,Fem; Male,1282,Tablet,Facebook,Forum,Products,494,174,Internet Explorer,Positive,3,North & Central America,Boomer; GenX; GenY; GenZ,374,50,101,1303,26,BinoTheDino,Hit the Track
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 X 335 PCD 32 BOLT 10 STUD,Online,Female,558,Desktop,Facebook,Blogs,HomePage,527,109,Internet Explorer,Neutral,1,South America,Gen Z (2000s - now),226,33,109,1991,25,DazzleSpin,Wheels That Matter
USA,Spoiler,Roof?Spoiler,Online,Fem; Male,1297,Tablet,Yahoo,Facebook,Contact Us,445,200,Firefox,Negative,1,North & Central America,Gen Y (80 – 2000s),491,46,200,1490,63,MetalWheel,Hit the Track
USA,Spoiler,Roof?Spoiler,Online,Male,855,Mobile,Google,Twitter,Products,592,59,Internet Explorer,Neutral,5,Asia Pacific,Gen X (60 – 80s),410,48,59,1760,23,Funky,Get Sporty
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 335 PCD 26 BOLT 10 STUD,Online,Male,748,Desktop,Others,Twitter,Contact Us,435,163,Internet Explorer,Negative,3,South America,Gen Y (80 – 2000s),400,50,163,585,31,NightFight,Racer Club
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 12.25 X 23.02 335 PCD 26 BOLT 10 STUD,Online,Female,761,Tablet,Bing,Twitter,Contact Us,462,140,Firefox,Negative,2,South America,Gen Y (80 – 2000s),414,41,140,1090,43,Premium,Fun with Colors
USA,Spoiler,Pedestal?Spoiler,Online,Fem; Male,1286,Desktop,Bing,Forum,Products,553,124,Firefox,Neutral,3,North & Central America,Boomer; GenX; GenY; GenZ,414,13,141,1858,63,GettingTraction,Wheels That Matter
USA,Hat,Fedora,Online,Female,903,Mobile,Others,Twitter,Contact Us,491,119,Firefox,Positive,1,South America,Baby Boomers (45 – 60s),362,20,119,1034,42,GoCart,Racer Club
USA,Sunglasses,SportBand Flak RADR ,Online,Fem; Male,1301,Desktop,Google,Facebook,HomePage,455,134,Internet Explorer,Positive,2,North & Central America,Gen Y (80 – 2000s),462,45,134,669,36,OffRoadTires,Racer Club
USA,Sunglasses,PlayMax Field,Online,Fem; Male,637,Mobile,Facebook,Twitter,HomePage,500,76,Internet Explorer,Neutral,3,Asia Pacific,Gen X (60 – 80s),405,14,76,1970,60,Premium,Beyond Wheels
USA,Helmet,Carbon XTR,Online,Female,644,Tablet,Facebook,Forum,Shipping Details,475,98,Internet Explorer,Positive,4,South America,Gen X (60 – 80s),461,19,98,927,39,Anytime,Racer Club
USA,Sunglasses,Sportax Path,Online,Female,733,Tablet,Bing,Forum,Shipping Details,445,168,Internet Explorer,Positive,1,South America,Gen Y (80 – 2000s),274,10,168,1340,28,RubberToTheRoad,Racer Club
USA,Spoiler,GTC Carbon Fiber Spoiler,Online,Other,866,Desktop,Google,Facebook,HomePage,583,172,Internet Explorer,Neutral,3,North & Central America,Gen Z (2000s - now),307,24,172,791,42,EmeraldBeauty,Hit the Track
USA,Alloy Wheel,WHEEL SUPERCHROME12.15 X 23.02. 285 PCD 26 BOLT,Online,Female,579,Mobile,Google,Facebook,Shipping Details,507,144,Firefox,Positive,3,South America,Boomer; GenX; GenY; GenZ,375,45,180,1472,38,BinoTheDino,Racer Club
USA,Sunglasses,PlayMax Field,Online,Male,1285,Tablet,Yahoo,Facebook,Shipping Details,444,125,Firefox,Positive,2,North & Central America,Baby Boomers (45 – 60s),246,46,125,651,30,BurnRubber,Racer Club
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 X 335 PCD 32 BOLT 10 STUD,Online,Fem; Male,1255,Tablet,Yahoo,Twitter,Contact Us,431,158,Internet Explorer,Positive,3,Asia Pacific,Gen X (60 – 80s),234,25,158,616,94,RaceCar,Racer Club
USA,Sunglasses,Shark Track,Online,Male,517,Desktop,Yahoo,Forum,Contact Us,596,136,Internet Explorer,Positive,3,South America,Baby Boomers (45 – 60s),407,43,136,1949,24,RubberToTheRoad,Hit the Track
USA,Spoiler,GTS Style Carbon Fiber Rear Trunk Spoiler,Online,Male,855,Mobile,Google,Twitter,Contact Us,435,163,Internet Explorer,Negative,3,South America,Gen Y (80 – 2000s),400,50,163,1193,35,SportsConvertible,Wheels of Steel
USA,Helmet,Racetrack CXTR 300,Online,Male,792,Desktop,Facebook,Facebook,HomePage,574,127,Internet Explorer,Neutral,2,North & Central America,Gen Z (2000s - now),369,40,127,1817,42,RedHotRuby,Hit the Track
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 12.25 X 23.02.335 PCD 32 BOLT 10 STUD,Online,Fem; Male,1248,Mobile,Others,Blogs,Shipping Details,585,151,Internet Explorer,Negative,8,South America,Boomer; GenX; GenY; GenZ,458,10,182,969,41,Funky,Fun with Colors
USA,Sunglasses,Shark NXT Field Track,Online,Male,938,Tablet,Google,Blogs,Shipping Details,522,138,Internet Explorer,Positive,2,North & Central America,Gen Y (80 – 2000s),223,25,138,1083,47,Racing,Hit the Track
USA,Spoiler,Lighted?Spoiler,Online,Fem; Male,1283,Desktop,Google,Twitter,Shipping Details,538,69,Firefox,Positive,5,Asia Pacific,Gen Z (2000s - now),481,48,69,1078,26,NeedForSpeed,Wheels of Steel
USA,Sunglasses,NovaVision Track,Online,Female,836,Tablet,Direct,Forum,Shipping Details,519,132,Internet Explorer,Neutral,3,South America,Boomer; GenX; GenY; GenZ,283,44,82,1975,23,SportsCar,Hit the Track
USA,Alloy Wheel,WHEEL SUPERCHROME 12.25 X 23.02 335 PCD 26 BOLT10 STUD,Online,Female,787,Mobile,Others,Twitter,Shipping Details,475,98,Internet Explorer,Positive,4,South America,Gen X (60 – 80s),461,19,98,1159,32,GorgeousMatte,Wheels That Matter
USA,Alloy Wheel,WHEEL SUPERCHROME 12.15 X 23.02.335 PCD 26 BOLT,Online,Male,748,Desktop,Others,Twitter,Contact Us,515,158,Firefox,Negative,3,North & Central America,Gen Y (80 – 2000s),215,45,158,841,40,EmergencyBraking,Hit the Track
USA,Spoiler,GTC Carbon Fiber Spoiler,Online,Fem; Male,1308,Mobile,Others,Blogs,Contact Us,567,193,Firefox,Positive,4,South America,Gen Y (80 – 2000s),282,38,193,1839,67,Rims,Hit the Track
USA,Spoiler,GTS Style Carbon Fiber Rear Trunk Spoiler,Online,Female,851,Mobile,Google,Blogs,Contact Us,504,181,Internet Explorer,Positive,4,Asia Pacific,Gen X (60 – 80s),200,19,181,761,40,SportsConvertible,Beyond Wheels
USA,Spoiler,GTC Carbon Fiber Spoiler,Online,Fem; Male,1275,Mobile,Direct,Twitter,Contact Us,515,124,Internet Explorer,Negative,1,Asia Pacific,Baby Boomers (45 – 60s),361,25,124,1845,90,Extravagant,Wheels of Steel
USA,Sunglasses,Sportax Path,Online,Male,767,Mobile,Bing,Forum,Shipping Details,543,112,Firefox,Positive,8,South America,Boomer; GenX; GenY; GenZ,445,10,79,1990,39,OffRoad,Hit the Track
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 285 PCD 26 10 STUD,Online,Fem; Male,637,Mobile,Facebook,Twitter,Contact Us,596,136,Internet Explorer,Positive,3,South America,Baby Boomers (45 – 60s),407,43,136,1692,23,GettingTraction,Wheels That Matter
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 335 PCD 26 BOLT 10 STUD,Online,Female,670,Tablet,Direct,Facebook,HomePage,449,131,Internet Explorer,Positive,3,North & Central America,Gen Z (2000s - now),372,33,131,1157,39,RaceTrack,Wheels of Steel
USA,Helmet,Racetrack CXTR 300,Online,Male,1284,Mobile,Others,Blogs,HomePage,579,154,Internet Explorer,Positive,2,South America,Gen Y (80 – 2000s),269,15,154,1856,39,GettingTraction,Racer Club
USA,Spoiler,GTC Carbon Fiber Spoiler,Online,Fem; Male,669,Mobile,Bing,Twitter,HomePage,599,196,Internet Explorer,Positive,2,Asia Pacific,Gen X (60 – 80s),404,34,196,1572,81,Extravagant,Wheels That Matter
USA,Brake Pad,XTR Semi Metallic 33NRT,Online,Female,563,Desktop,Direct,Blogs,Shipping Details,459,127,Internet Explorer,Neutral,8,South America,Boomer; GenX; GenY; GenZ,221,45,76,1591,39,Premium,Hit the Track
USA,Hat,Top Hat,Online,Male,526,Mobile,Bing,Facebook,Products,408,141,Firefox,Negative,6,North & Central America,Boomer; GenX; GenY; GenZ,330,14,77,1378,32,Extravagant,Racer Club
USA,Brake Pad,Semi Metallic 33LR,Online,Fem; Male,1267,Tablet,Yahoo,Twitter,Shipping Details,519,132,Internet Explorer,Neutral,3,South America,Boomer; GenX; GenY; GenZ,283,44,82,630,60,Funky,Racer Club
USA,Hat,Snapback,Online,Female,650,Mobile,Facebook,Forum,Shipping Details,494,124,Internet Explorer,Positive,4,North & Central America,Gen Z (2000s - now),493,14,124,675,32,RaceTrack,Beyond Wheels
USA,Brake Pad,XTR Ceramic STM,Online,Male,571,Desktop,Yahoo,Twitter,Contact Us,462,140,Firefox,Negative,2,South America,Gen Y (80 – 2000s),414,41,140,926,35,OffRoadTires,Hit the Track
USA,Brake Pad,Low Metallic NAO 33XST,Online,Fem; Male,1277,Desktop,Google,Facebook,HomePage,595,77,Internet Explorer,Positive,1,Asia Pacific,Gen Y (80 – 2000s),437,42,77,963,22,EmergencyBraking,Racer Club
USA,Helmet,Cruiser WRX,Online,Female,885,Tablet,Facebook,Twitter,Shipping Details,400,183,Firefox,Positive,6,South America,Boomer; GenX; GenY; GenZ,271,34,105,1354,42,RaceEachother,Racer Club
USA,Sunglasses,Sportax Path,Online,Male,617,Mobile,Facebook,Forum,Products,425,158,Firefox,Negative,3,North & Central America,Baby Boomers (45 – 60s),329,11,158,838,22,Sunglasses,Racer Club
USA,Alloy Wheel,35MM LUG NUT COVERS,Online,Fem; Male,1271,Desktop,Google,Twitter,Shipping Details,543,112,Firefox,Positive,8,South America,Boomer; GenX; GenY; GenZ,445,10,79,1468,71,Formula1,Racer Club
USA,Alloy Wheel,WHEEL ADVANCED COMPOSITE 10.15 X 23.02. 335 PCD 26 BOLT 10 STUD,Online,Female,633,Mobile,Google,Twitter,Contact Us,409,153,Firefox,Positive,2,North & Central America,Gen Z (2000s - now),393,43,153,1803,44,RaceEachother,Wheels of Steel
USA,Alloy Wheel,WHEEL ALLOY STEEL SUPERCHROME 19.5 X 7.5 275 PCD 26 BOLT 8 STUD,Online,Male,818,Tablet,Google,Forum,Shipping Details,445,168,Internet Explorer,Positive,1,South America,Gen Y (80 – 2000s),274,10,168,566,31,FavoritePassTime,Racer Club
USA,Helmet,Racetrack CXTR 300,Online,Female,1305,Mobile,Direct,Facebook,Shipping Details,475,66,Internet Explorer,Positive,4,Asia Pacific,Gen X (60 – 80s),224,25,66,569,46,UltraLux,Beyond Wheels
USA,Sunglasses,Shark Track,Online,Female,762,Desktop,Google,Forum,Shipping Details,458,195,Internet Explorer,Positive,4,South America,Boomer; GenX; GenY; GenZ,214,26,109,949,42,SportsCar,Beyond Wheels
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 285 PCD 26 10 STUD,Online,Male,937,Mobile,Others,Forum,Contact Us,408,184,Firefox,Negative,3,North & Central America,Gen Z (2000s - now),473,18,184,1266,39,SportsCar,Wheels of Steel
USA,Alloy Wheel,WHEEL SUPERCHROME 12.15 X 23.02.335 PCD 26 BOLT,Online,Fem; Male,1266,Mobile,Others,Forum,Products,408,141,Firefox,Negative,6,North & Central America,Boomer; GenX; GenY; GenZ,330,14,77,803,90,GoCart,Racer Club
USA,Helmet,Air Flow Shark,Online,Male,617,Mobile,Facebook,Forum,Shipping Details,438,53,Internet Explorer,Positive,4,North & Central America,Gen Y (80 – 2000s),297,19,53,1422,30,Premium,Racer Club
USA,Alloy Wheel,WHEEL CARBON FIBER 10.15 X 23.02 285 PCD 26 BOLT 10 STUD,Online,Fem; Male,1256,Desktop,Bing,Blogs,Contact Us,435,163,Internet Explorer,Negative,3,South America,Gen Y (80 – 2000s),400,50,163,1574,53,GorgeousMatte,Fun with Colors
USA,Brake Pad,XTR Ceramic STM,Online,Female,772,Mobile,Google,Twitter,HomePage,505,195,Firefox,Neutral,6,Europe,Boomer; GenX; GenY; GenZ,390,12,161,883,43,Race,Wheels That Matter
USA,Sunglasses,PlayMax Field,Online,Male,541,Tablet,Direct,Blogs,HomePage,527,109,Internet Explorer,Neutral,1,South America,Gen Z (2000s - now),226,33,109,726,35,RedHotRuby,Racer Club
USA,Hat,Top Hat,Online,Female,564,Mobile,Direct,Twitter,Shipping Details,506,87,Internet Explorer,Positive,1,North & Central America,Baby Boomers (45 – 60s),203,18,87,507,58,RaceTrack,Racer Club
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 335 PCD 26 BOLT 10 STUD,Online,Female,563,Desktop,Direct,Blogs,Products,425,158,Firefox,Negative,3,North & Central America,Baby Boomers (45 – 60s),329,11,158,1914,43,Race,Racer Club
USA,Spoiler,Roof?Spoiler,Online,Female,923,Mobile,Bing,Twitter,Contact Us,574,146,Internet Explorer,Negative,1,North & Central America,Baby Boomers (45 – 60s),267,37,146,1461,39,RainbowRocks,Get Sporty
USA,Hat,Snapback,Online,Fem; Male,1270,Tablet,Facebook,Forum,Shipping Details,475,98,Internet Explorer,Positive,4,South America,Gen X (60 – 80s),461,19,98,1239,85,OffRoad,Get Sporty
USA,Spinner,SPINNER WHEEL ADVANCED COMPOSITE SPINNER 12.25 x 23.02 285 PCD 26 BOLT 10 STUD,Online,Female,854,Mobile,Google,Twitter,HomePage,480,165,Internet Explorer,Neutral,4,Europe,Boomer; GenX; GenY; GenZ,265,17,107,1947,38,HotRide,Wheels That Matter
USA,Binoculars,Sportax HD 20x50,Online,Male,658,Tablet,Others,Forum,Contact Us,491,119,Firefox,Positive,1,South America,Baby Boomers (45 – 60s),362,20,119,606,28,StoneAge,Beyond Wheels
USA,Sunglasses,PlayMax Field,Online,Fem; Male,630,Mobile,Google,Forum,Contact Us,445,200,Firefox,Negative,1,North & Central America,Gen Y (80 – 2000s),491,46,200,1699,39,Rims,Hit the Track
USA,Alloy Wheel,WHEEL ADVANCED COMPOSITE 10.15 X 23.02 X 335 PCD 32 BOLT 10 STUD,Online,Female,885,Tablet,Facebook,Twitter,Contact Us,408,184,Firefox,Negative,3,North & Central America,Gen Z (2000s - now),473,18,184,1677,22,RedHotRuby,Hit the Track
USA,Sunglasses,SportBand Flak RADR ,Online,Male,555,Mobile,Yahoo,Twitter,Contact Us,581,64,Firefox,Positive,2,North & Central America,Gen Z (2000s - now),301,33,64,1634,33,Formula1,Get Sporty
USA,Brake Pad,Ceramic NTC,Online,Fem; Male,1246,Tablet,Facebook,Forum,Contact Us,596,136,Internet Explorer,Positive,3,South America,Baby Boomers (45 – 60s),407,43,136,828,58,BurnRubber,Wheels That Matter
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 335 PCD 26 BOLT 10 STUD,Online,Other,971,Mobile,Facebook,Twitter,HomePage,538,157,Firefox,Neutral,5,Europe,Boomer; GenX; GenY; GenZ,345,13,181,938,49,RaceEachother,Racer Club
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 X 335 PCD 32 BOLT 10 STUD,Online,Female,747,Tablet,Facebook,Forum,Shipping Details,507,144,Firefox,Positive,3,South America,Boomer; GenX; GenY; GenZ,375,45,180,1637,20,TealNoFeel,Racer Club
