ID,TwitterData
204,"{""Time"":""2019-10-25T08:43:08.0840000Z"",""Hashtag"":""#fashion"",""Tweet"":""#deals #maternity #headphones #sale #fashion #ecommerce Today\""s Deal   https://t.co/oMjIug8WxZ"",""City"":""United States"",""UserName"":""DinfoMall.com™ Super Deals"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1464,"{""Time"":""2019-10-25T08:51:36.3600000Z"",""Hashtag"":""#fashion"",""Tweet"":""Skechers bags Best of Manhattan &amp; Pay it Forward award https://t.co/PPUPFfYNrX #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
984,"{""Time"":""2019-10-25T08:50:49.4780000Z"",""Hashtag"":""#shoes"",""Tweet"":""RT @Walkezwoman: #Seniors: With ezWalker Custom Orthotics in your #shoes, you’ll have the strength and support from your #feet up to mainta…"",""City"":null,""UserName"":""Julie"",""RetweetCount"":1,""FavouriteCount"":1,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
1044,"{""Time"":""2019-10-25T08:51:02.2210000Z"",""Hashtag"":""#fashion"",""Tweet"":""DIY Gift Ideas #beauty #fashion #music #lifestyle #styleastronaut - https://t.co/7IYaXrJnMw https://t.co/6tQqTnRaIG"",""City"":""Blackhole"",""UserName"":""StyleAstronaut"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
324,"{""Time"":""2019-10-25T08:49:21.3940000Z"",""Hashtag"":""#fashion"",""Tweet"":""If u want to buy this dress text me in inbox. #dresses #dressup #fashion #fashionista #fashionblogger #fashionweek… https://t.co/5wymddrXIt"",""City"":null,""UserName"":""Fashion world"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
744,"{""Time"":""2019-10-25T08:50:28.1320000Z"",""Hashtag"":""#style"",""Tweet"":""#bodypositive#style #curvygirl Sport Plus Size Stretchy Black Letter Tape Leggings https://t.co/j7STsuzcr6"",""City"":null,""UserName"":""Stylish Plus Size"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1584,"{""Time"":""2019-10-25T08:51:39.2740000Z"",""Hashtag"":""#fashion"",""Tweet"":""Conscious consumers to prefer natural knitwear: WoolOvers https://t.co/so5yO2bbFt #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1164,"{""Time"":""2019-10-25T08:51:28.0890000Z"",""Hashtag"":""#shopping"",""Tweet"":""RT @Passfeed: Check out @saranova1324 unbox some #Passfeed goodies ???? https://t.co/DZhVr9eljNnn#Unboxing #eCommerce #Shopping #App"",""City"":null,""UserName"":""2"",""RetweetCount"":49,""FavouriteCount"":3,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
804,"{""Time"":""2019-10-25T08:50:29.3510000Z"",""Hashtag"":""#style"",""Tweet"":""Jokes and Jazz tonight #jokes #comedy #jazz #music #lifestyle #style #rap #hiphop #naija #ccxlounge #musician… https://t.co/qDZrq5va7F"",""City"":""Lagos Nigeria"",""UserName"":""Emmortal Tha Truth"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1884,"{""Time"":""2019-10-25T01:29:21.5930000Z"",""Hashtag"":""#sunglasses"",""Tweet"":""Sale $88.35 https://t.co/ce3O3THc7m Oakley Chainlink Polarized Men Black #sunglasses S https://t.co/06ayDsNYoX"",""City"":""West Hartford, CT"",""UserName"":""brandbazzar"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""6"",""Language"":""English""}"
384,"{""Time"":""2019-10-25T08:49:45.1750000Z"",""Hashtag"":""#fashion"",""Tweet"":""RT @Glamaroni: So good I had to share! Check out all the items I\""m loving on @Poshmarkapp from @MsMandiLynn1 #poshmark #fashion #style #sho…"",""City"":""Castleford,Yorkshire, UK"",""UserName"":""HandKnittedYorkshire"",""RetweetCount"":10,""FavouriteCount"":5,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
1644,"{""Time"":""2019-10-25T08:51:40.7000000Z"",""Hashtag"":""#fashion"",""Tweet"":""Spitfire Petit expanding in NE, S Atlantic coast, Mid-West https://t.co/jqlaubjT4z #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
84,"{""Time"":""2019-10-25T08:38:32.5700000Z"",""Hashtag"":""#sunglasses"",""Tweet"":""RT @FFShades: #fridayfreebie we are giving away a pair of our #SnapSports #Sunglasses today! Simply #Retweet &amp; #Follow by 8pm to enter! #co…"",""City"":""Dorset. England"",""UserName"":""Matt Richards"",""RetweetCount"":30,""FavouriteCount"":9,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
924,"{""Time"":""2019-10-25T08:50:38.2450000Z"",""Hashtag"":""#clothing"",""Tweet"":""#lookbook #clothing IPEGA PG-9083 PG 9083 Bluetooth 3.0 Wireless Gamepad Telescopic Game Controller for Android/ iO… https://t.co/9hM6y58wDM"",""City"":""Lima, Peru"",""UserName"":""Connectingb store"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
504,"{""Time"":""2019-10-25T08:50:00.3830000Z"",""Hashtag"":""#fashion"",""Tweet"":""Magnetic Wristband Tool Belt Hold Screws Nails Drill Bits and Tools https://t.co/hDDxoFBcHen#fashion|#tech|#home|… https://t.co/CrHpaxvMwM"",""City"":""Worldwide!"",""UserName"":""Megmoon.com"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1764,"{""Time"":""2019-10-25T01:10:43.8180000Z"",""Hashtag"":""#sunglasses"",""Tweet"":""RT @soshadysunglass: ?? SHOP THE LOOK: https://t.co/EPKVwxO4sTnn#sunglasses #sunnies #soshady #steampunk #vintage  #migos #soshadysunglasses…"",""City"":""Wichita, KS"",""UserName"":""BUN B"",""RetweetCount"":1,""FavouriteCount"":3,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""6"",""Language"":""English""}"
1224,"{""Time"":""2019-10-25T08:51:29.6250000Z"",""Hashtag"":""#fashion"",""Tweet"":""Into her Eyes #flickr https://t.co/9ku8ZaKU6O Emma Louise a #Fashion #Model living in #Cannes #FrenchRiviera - This… https://t.co/Tau7XRuvQ1"",""City"":""Zürich"",""UserName"":""Claude Schildknecht"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1344,"{""Time"":""2019-10-25T08:51:32.4690000Z"",""Hashtag"":""#fashion"",""Tweet"":""Macy\""s commits to stop selling fur by 2020 https://t.co/OtkMN2iIiZ #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
864,"{""Time"":""2019-10-25T08:50:32.8360000Z"",""Hashtag"":""#clothing"",""Tweet"":""People turn to different sources for tips on #clothing -- be it #magazines to best friends to #Instagram -- now res… https://t.co/M0v7xEpGkw"",""City"":""New Delhi"",""UserName"":""IANS Tweets"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1284,"{""Time"":""2019-10-25T08:51:31.0590000Z"",""Hashtag"":""#fashion"",""Tweet"":""Goat to offer apparel &amp; accessories from luxury brands https://t.co/gaBB6aSKGm #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1704,"{""Time"":""2019-10-25T08:51:42.1490000Z"",""Hashtag"":""#fashion"",""Tweet"":""#fashion #beautiful #DMTBeautySpot #beautynnSince so much of our business is handled through our iPhones, Julia and… https://t.co/le5AIeqUA4"",""City"":""Springfield Gardens, Queens"",""UserName"":""DMTBarberShop"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
444,"{""Time"":""2019-10-25T08:49:51.9390000Z"",""Hashtag"":""#shopping"",""Tweet"":""RT @ViecBuonBan: Coffee Highlands Culi Blend $10.52 #Coffee #HighlandsCoffee #Culi #Vietnam #Shopping Please RT! https://t.co/xMApaclXZj ht…"",""City"":""London, England"",""UserName"":""Finley Harper"",""RetweetCount"":2,""FavouriteCount"":2,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
