Region,Country,Product_Category,Campaign_Name,Revenue,Revenue_Target,City,State
South East,US,Team Sports,Get Sporty,"$6,651.00","$19,835.00",Miami,Florida
South East,US,Team Sports,Fall into Winter,"$7,264.00","$9,868.00",Miami,Florida
South East,US,Team Sports,Fall into Winter,"$5,972.00","$10,692.00",Miami,Florida
South East,US,Team Sports,Spring into Summer,"$11,620.00","$17,230.00",Miami,Florida
South East,US,Team Sports,Get Sporty,"$5,496.00","$15,301.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,174.00","$6,996.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,103.00","$6,799.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$8,121.00","$10,451.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,207.00","$14,061.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,333.00","$7,346.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,296.00","$7,313.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,140.00","$19,323.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,620.00","$17,230.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,992.00","$15,699.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$8,465.00","$7,654.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,070.00","$16,389.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,735.00","$16,671.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,328.00","$15,577.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$8,264.00","$19,049.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,738.00","$11,176.00",San Diego,California
Europe,Italy,Apparel and Footwear,Tailored for You,"$7,131.00","$7,453.00",NULL,NULL
Asia Pacific,Indonesia,Electronics,Fun with Colors,"$12,711.00","$8,946.00",NULL,NULL
Europe,Germany,Apparel and Footwear,Fall into Winter,"$13,083.00","$11,336.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,739.00","$19,242.00",San Diego,California
North & Central America,USA,Pillows & Cushions,Enjoy the Moment,"$5,391.00","$14,679.00",NULL,NULL
Europe,Italy,Décor,Be Unique,"$5,867.00","$19,049.00",NULL,NULL
Europe,Germany,Apparel and Footwear,Fall into Winter,"$5,117.00","$8,713.00",NULL,NULL
Europe,Italy,Exercise,Enjoy the Moment,"$11,838.00","$13,538.00",NULL,NULL
Asia Pacific,India,Apparel and Footwear,Get Sporty,"$11,231.00","$18,669.00",NULL,NULL
North & Central America,Canada,Lighting,Fun with Colors,"$13,349.00","$16,936.00",NULL,NULL
South America,Mexico,Exercise,Spring into Summer,"$17,637.00","$6,876.00",NULL,NULL
Europe,France,Furniture,Get Sporty,"$13,124.00","$14,955.00",NULL,NULL
Asia Pacific,Australia,Exercise,Be Unique,"$6,580.00","$5,490.00",NULL,NULL
Asia Pacific,Korea,Electronics,Be Unique,"$6,691.00","$7,070.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,691.00","$14,601.00",San Diego,California
South East,US,Team Sports,Enjoy the Moment,"$9,348.00","$11,769.00",Miami,Florida
South East,US,Team Sports,Fun with Colors,"$5,712.00","$6,947.00",Miami,Florida
South America,Brazil,Pillows & Cushions,Spring into Summer,"$16,347.00","$6,942.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,712.00","$6,947.00",San Diego,California
South East,US,Team Sports,Enjoy the Moment,"$7,146.00","$17,780.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,480.00","$7,379.00",San Diego,California
South America,Mexico,Furniture,Tailored for You,"$12,882.00","$19,806.00",NULL,NULL
Europe,Spain,Furniture,Enjoy the Moment,"$12,488.00","$18,299.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,764.00","$5,876.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,285.00","$8,448.00",San Diego,California
Europe,Italy,Pillows & Cushions,Tailored for You,"$13,681.00","$13,003.00",NULL,NULL
South America,Mexico,Electronics,Be Unique,"$16,240.00","$16,038.00",NULL,NULL
Asia Pacific,India,Décor,Enjoy the Moment,"$14,300.00","$13,983.00",NULL,NULL
North & Central America,Canada,Electronics,Enjoy the Moment,"$10,296.00","$7,313.00",NULL,NULL
North & Central America,USA,Décor,Fun with Colors,"$5,197.00","$18,456.00",NULL,NULL
North & Central America,USA,Electronics,Fun with Colors,"$6,414.00","$12,619.00",NULL,NULL
North & Central America,Canada,Electronics,Get Sporty,"$17,291.00","$12,719.00",NULL,NULL
North & Central America,USA,Pillows & Cushions,Be Unique,"$17,859.00","$17,681.00",NULL,NULL
South America,Mexico,Apparel and Footwear,Enjoy the Moment,"$9,250.00","$15,790.00",NULL,NULL
North & Central America,USA,Electronics,Enjoy the Moment,"$11,441.00","$6,741.00",NULL,NULL
North & Central America,Canada,Apparel and Footwear,Spring into Summer,"$17,486.00","$11,990.00",NULL,NULL
Asia Pacific,Australia,Lighting,Enjoy the Moment,"$16,850.00","$15,753.00",NULL,NULL
South America,Brazil,Exercise,Get Sporty,"$16,611.00","$7,917.00",NULL,NULL
Europe,Germany,Exercise,Fall into Winter,"$14,764.00","$5,876.00",NULL,NULL
South America,Mexico,Décor,Enjoy the Moment,"$7,197.00","$5,731.00",NULL,NULL
Asia Pacific,Indonesia,Furniture,Enjoy the Moment,"$10,246.00","$18,683.00",NULL,NULL
Europe,UK,Furniture,Be Unique,"$5,120.00","$16,652.00",NULL,NULL
Europe,Turkey,Lighting,Enjoy the Moment,"$8,382.00","$19,209.00",NULL,NULL
North & Central America,USA,Pillows & Cushions,Enjoy the Moment,"$10,414.00","$9,245.00",NULL,NULL
South America,Mexico,Décor,Tailored for You,"$14,316.00","$19,274.00",NULL,NULL
Europe,Spain,Apparel and Footwear,Tailored for You,"$5,684.00","$5,400.00",NULL,NULL
South America,Mexico,Electronics,Fun with Colors,"$12,061.00","$19,769.00",NULL,NULL
Europe,Italy,Furniture,Spring into Summer,"$7,505.00","$19,524.00",NULL,NULL
Asia Pacific,China,Apparel and Footwear,Fall into Winter,"$11,145.00","$12,957.00",NULL,NULL
Asia Pacific,Korea,Décor,Be Unique,"$17,627.00","$11,422.00",NULL,NULL
Europe,Spain,Exercise,Be Unique,"$9,761.00","$13,831.00",NULL,NULL
Asia Pacific,Japan,Pillows & Cushions,Fun with Colors,"$9,952.00","$13,231.00",NULL,NULL
Europe,France,Electronics,Enjoy the Moment,"$9,764.00","$9,300.00",NULL,NULL
Europe,France,Lighting,Enjoy the Moment,"$15,119.00","$17,269.00",NULL,NULL
Europe,Spain,Exercise,Be Unique,"$5,022.00","$7,920.00",NULL,NULL
Asia Pacific,Australia,Pillows & Cushions,Be Unique,"$12,409.00","$10,914.00",NULL,NULL
South East,US,Team Sports,Be Unique,"$17,488.00","$9,941.00",Miami,Florida
South East,US,Team Sports,Spring into Summer,"$11,620.00","$17,230.00",Miami,Florida
North & Central America,Canada,Electronics,Fun with Colors,"$10,480.00","$7,379.00",NULL,NULL
Europe,Germany,Pillows & Cushions,Fun with Colors,"$14,290.00","$10,487.00",NULL,NULL
South East,US,Team Sports,Be Unique,"$8,628.00","$12,622.00",Miami,Florida
South East,US,Team Sports,Tailored for You,"$7,001.00","$10,528.00",Miami,Florida
South East,US,Team Sports,Get Sporty,"$11,983.00","$9,825.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,761.00","$13,831.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$7,264.00","$9,868.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,386.00","$9,989.00",San Diego,California
South East,US,Team Sports,Enjoy the Moment,"$7,842.00","$10,624.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$17,627.00","$11,422.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,711.00","$8,946.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,935.00","$15,232.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$7,273.00","$6,184.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,414.00","$12,619.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,934.00","$19,723.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,247.00","$10,339.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,846.00","$8,447.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$19,503.00","$14,609.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,740.00","$7,685.00",San Diego,California
South America,Brazil,Pillows & Cushions,Be Unique,"$14,691.00","$14,601.00",NULL,NULL
Europe,Italy,Electronics,Enjoy the Moment,"$6,815.00","$14,606.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,344.00","$15,220.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,418.00","$13,970.00",San Diego,California
South America,Brazil,Lighting,Get Sporty,"$16,207.00","$14,061.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,441.00","$6,741.00",San Diego,California
Europe,Turkey,Electronics,Enjoy the Moment,"$17,101.00","$13,212.00",NULL,NULL
Europe,Italy,Pillows & Cushions,Tailored for You,"$13,681.00","$13,003.00",NULL,NULL
South America,Mexico,Furniture,Tailored for You,"$12,882.00","$19,806.00",NULL,NULL
South America,Mexico,Electronics,Be Unique,"$16,240.00","$16,038.00",NULL,NULL
North & Central America,USA,Electronics,Be Unique,"$14,995.00","$19,129.00",NULL,NULL
Asia Pacific,India,Décor,Enjoy the Moment,"$14,300.00","$13,983.00",NULL,NULL
Europe,Spain,Furniture,Enjoy the Moment,"$12,488.00","$18,299.00",NULL,NULL
North & Central America,Canada,Electronics,Get Sporty,"$17,291.00","$12,719.00",NULL,NULL
South East,US,Team Sports,Get Sporty,"$8,710.00","$9,713.00",Miami,Florida
South East,US,Team Sports,Fun with Colors,"$12,929.00","$9,077.00",Miami,Florida
North & Central America,Canada,Furniture,Enjoy the Moment,"$10,113.00","$9,976.00",NULL,NULL
North & Central America,Canada,Pillows & Cushions,Enjoy the Moment,"$13,773.00","$11,719.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,174.00","$6,996.00",San Diego,California
Europe,Spain,Décor,Fall into Winter,"$12,907.00","$5,218.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,333.00","$7,346.00",San Diego,California
Europe,UK,Lighting,Fall into Winter,"$5,117.00","$9,305.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,083.00","$11,336.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,764.00","$5,876.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,207.00","$14,061.00",San Diego,California
South America,Mexico,Apparel and Footwear,Tailored for You,"$5,766.00","$17,620.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$21,637.00","$5,666.00",San Diego,California
Asia Pacific,Australia,Exercise,Be Unique,"$6,883.00","$10,341.00",NULL,NULL
Europe,Germany,Décor,Tailored for You,"$7,273.00","$6,184.00",NULL,NULL
South America,Mexico,Lighting,Fall into Winter,"$16,062.00","$7,721.00",NULL,NULL
Asia Pacific,Australia,Pillows & Cushions,Fall into Winter,"$8,221.00","$15,730.00",NULL,NULL
Europe,France,Décor,Fun with Colors,"$16,593.00","$10,533.00",NULL,NULL
Europe,Italy,Pillows & Cushions,Tailored for You,"$5,846.00","$8,447.00",NULL,NULL
Europe,UK,Furniture,Tailored for You,"$13,789.00","$13,596.00",NULL,NULL
Asia Pacific,Indonesia,Electronics,Be Unique,"$14,778.00","$13,122.00",NULL,NULL
Asia Pacific,Indonesia,Exercise,Get Sporty,"$12,974.00","$19,462.00",NULL,NULL
North & Central America,Canada,Pillows & Cushions,Be Unique,"$13,873.00","$10,617.00",NULL,NULL
Europe,Germany,Exercise,Enjoy the Moment,"$19,503.00","$14,609.00",NULL,NULL
North & Central America,USA,Pillows & Cushions,Enjoy the Moment,"$15,387.00","$6,961.00",NULL,NULL
South America,Brazil,Electronics,Fun with Colors,"$6,497.00","$6,147.00",NULL,NULL
Europe,UK,Pillows & Cushions,Be Unique,"$16,859.00","$13,324.00",NULL,NULL
North & Central America,Canada,Lighting,Tailored for You,"$14,804.00","$17,275.00",NULL,NULL
North & Central America,USA,Furniture,Spring into Summer,"$7,014.00","$16,466.00",NULL,NULL
South America,Mexico,Décor,Enjoy the Moment,"$9,831.00","$15,236.00",NULL,NULL
Europe,France,Apparel and Footwear,Spring into Summer,"$14,445.00","$12,231.00",NULL,NULL
North & Central America,USA,Apparel and Footwear,Enjoy the Moment,"$13,554.00","$19,215.00",NULL,NULL
South America,Brazil,Apparel and Footwear,Get Sporty,"$8,518.00","$19,121.00",NULL,NULL
North & Central America,Canada,Pillows & Cushions,Enjoy the Moment,"$11,404.00","$16,844.00",NULL,NULL
Asia Pacific,Indonesia,Electronics,Spring into Summer,"$17,810.00","$7,536.00",NULL,NULL
North & Central America,Canada,Apparel and Footwear,Be Unique,"$8,556.00","$18,352.00",NULL,NULL
Europe,Turkey,Lighting,Tailored for You,"$12,965.00","$12,220.00",NULL,NULL
South America,Mexico,Exercise,Spring into Summer,"$7,133.00","$7,388.00",NULL,NULL
Europe,Spain,Electronics,Be Unique,"$10,260.00","$14,654.00",NULL,NULL
Europe,UK,Pillows & Cushions,Be Unique,"$8,264.00","$19,049.00",NULL,NULL
North & Central America,USA,Exercise,Tailored for You,"$5,515.00","$18,229.00",NULL,NULL
North & Central America,Canada,Exercise,Be Unique,"$8,465.00","$7,654.00",NULL,NULL
South East,US,Team Sports,Tailored for You,"$10,225.00","$12,472.00",Miami,Florida
South America,Brazil,Décor,Be Unique,"$21,637.00","$5,666.00",NULL,NULL
Europe,Italy,Electronics,Tailored for You,"$11,247.00","$10,339.00",NULL,NULL
Europe,Italy,Lighting,Tailored for You,"$14,992.00","$15,699.00",NULL,NULL
South East,US,Team Sports,Tailored for You,"$9,935.00","$15,232.00",Miami,Florida
North & Central America,Canada,Exercise,Fun with Colors,"$13,735.00","$16,671.00",NULL,NULL
South East,US,Team Sports,Spring into Summer,"$5,333.00","$7,346.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$17,488.00","$9,941.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,112.00","$11,930.00",San Diego,California
South East,US,Team Sports,Be Unique,"$8,628.00","$12,622.00",Miami,Florida
South East,US,Team Sports,Enjoy the Moment,"$14,651.00","$8,429.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,850.00","$15,753.00",San Diego,California
South East,US,Team Sports,Be Unique,"$9,963.00","$18,377.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$8,264.00","$19,049.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,739.00","$19,242.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,738.00","$11,176.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,992.00","$15,699.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$8,465.00","$7,654.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,062.00","$7,721.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,328.00","$15,577.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,719.00","$8,723.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,496.00","$15,301.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,963.00","$18,377.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,119.00","$17,269.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$15,148.00","$19,098.00",San Diego,California
North & Central America,USA,Lighting,Tailored for You,"$15,670.00","$5,412.00",NULL,NULL
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$12,409.00","$10,914.00",San Diego,California
North & Central America,Canada,Exercise,Fall into Winter,"$16,386.00","$9,989.00",NULL,NULL
South America,Mexico,Apparel and Footwear,Tailored for You,"$5,766.00","$17,620.00",NULL,NULL
Europe,UK,Lighting,Fall into Winter,"$5,117.00","$9,305.00",NULL,NULL
Europe,UK,Pillows & Cushions,Enjoy the Moment,"$12,642.00","$11,692.00",NULL,NULL
Europe,France,Exercise,Be Unique,"$11,703.00","$9,822.00",NULL,NULL
Asia Pacific,Australia,Exercise,Be Unique,"$6,883.00","$10,341.00",NULL,NULL
South America,Brazil,Décor,Tailored for You,"$9,229.00","$16,528.00",NULL,NULL
Europe,France,Décor,Fun with Colors,"$16,593.00","$10,533.00",NULL,NULL
Asia Pacific,China,Décor,Be Unique,"$13,516.00","$8,891.00",NULL,NULL
Europe,Spain,Décor,Fall into Winter,"$12,907.00","$5,218.00",NULL,NULL
Europe,UK,Furniture,Tailored for You,"$13,789.00","$13,596.00",NULL,NULL
Asia Pacific,Australia,Pillows & Cushions,Fall into Winter,"$8,221.00","$15,730.00",NULL,NULL
South East,US,Team Sports,Fall into Winter,"$5,972.00","$10,692.00",Miami,Florida
North & Central America,Canada,Furniture,Enjoy the Moment,"$10,113.00","$9,976.00",NULL,NULL
South East,US,Team Sports,Spring into Summer,"$10,182.00","$13,630.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,815.00","$14,606.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,859.00","$13,324.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$10,246.00","$18,683.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$16,611.00","$7,917.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$13,945.00","$13,624.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,703.00","$9,822.00",San Diego,California
Europe,France,Apparel and Footwear,Enjoy the Moment,"$13,221.00","$8,584.00",NULL,NULL
Asia Pacific,Indonesia,Electronics,Enjoy the Moment,"$11,290.00","$12,495.00",NULL,NULL
South America,Brazil,Electronics,Fun with Colors,"$9,864.00","$5,802.00",NULL,NULL
Europe,Turkey,Pillows & Cushions,Tailored for You,"$10,269.00","$11,191.00",NULL,NULL
South America,Mexico,Décor,Be Unique,"$8,284.00","$9,840.00",NULL,NULL
Europe,Turkey,Lighting,Be Unique,"$14,726.00","$5,249.00",NULL,NULL
Asia Pacific,Korea,Pillows & Cushions,Enjoy the Moment,"$5,889.00","$9,819.00",NULL,NULL
South America,Brazil,Décor,Enjoy the Moment,"$15,719.00","$8,723.00",NULL,NULL
Asia Pacific,Japan,Electronics,Spring into Summer,"$9,781.00","$19,592.00",NULL,NULL
Europe,Spain,Electronics,Fall into Winter,"$12,739.00","$19,242.00",NULL,NULL
Europe,Italy,Apparel and Footwear,Enjoy the Moment,"$15,740.00","$7,685.00",NULL,NULL
North & Central America,USA,Electronics,Enjoy the Moment,"$15,148.00","$19,098.00",NULL,NULL
Europe,Italy,Electronics,Enjoy the Moment,"$6,815.00","$14,606.00",NULL,NULL
South America,Brazil,Pillows & Cushions,Get Sporty,"$5,418.00","$13,970.00",NULL,NULL
South America,Brazil,Pillows & Cushions,Be Unique,"$14,691.00","$14,601.00",NULL,NULL
Europe,Germany,Electronics,Enjoy the Moment,"$5,466.00","$9,140.00",NULL,NULL
Asia Pacific,India,Lighting,Get Sporty,"$9,020.00","$13,475.00",NULL,NULL
Europe,Turkey,Electronics,Enjoy the Moment,"$17,101.00","$13,212.00",NULL,NULL
South America,Brazil,Lighting,Get Sporty,"$16,207.00","$14,061.00",NULL,NULL
Asia Pacific,Australia,Apparel and Footwear,Be Unique,"$7,365.00","$13,123.00",NULL,NULL
North & Central America,USA,Electronics,Be Unique,"$14,995.00","$19,129.00",NULL,NULL
South America,Brazil,Apparel and Footwear,Tailored for You,"$5,233.00","$12,227.00",NULL,NULL
Europe,UK,Décor,Enjoy the Moment,"$13,732.00","$5,799.00",NULL,NULL
North & Central America,USA,Apparel and Footwear,Enjoy the Moment,"$19,142.00","$19,858.00",NULL,NULL
Asia Pacific,Australia,Apparel and Footwear,Get Sporty,"$17,384.00","$8,018.00",NULL,NULL
Asia Pacific,Indonesia,Pillows & Cushions,Be Unique,"$16,835.00","$12,382.00",NULL,NULL
Europe,Spain,Apparel and Footwear,Be Unique,"$8,871.00","$13,868.00",NULL,NULL
South America,Mexico,Electronics,Fall into Winter,"$12,503.00","$9,977.00",NULL,NULL
South America,Brazil,Electronics,Spring into Summer,"$5,663.00","$16,837.00",NULL,NULL
North & Central America,USA,Décor,Enjoy the Moment,"$10,344.00","$15,220.00",NULL,NULL
Europe,Spain,Pillows & Cushions,Tailored for You,"$14,328.00","$15,577.00",NULL,NULL
North & Central America,Canada,Décor,Be Unique,"$9,192.00","$6,179.00",NULL,NULL
North & Central America,Canada,Lighting,Enjoy the Moment,"$9,668.00","$14,658.00",NULL,NULL
South America,Mexico,Décor,Fall into Winter,"$13,070.00","$16,389.00",NULL,NULL
Asia Pacific,Australia,Apparel and Footwear,Be Unique,"$11,988.00","$19,348.00",NULL,NULL
South East,US,Team Sports,Fun with Colors,"$12,929.00","$9,077.00",Miami,Florida
South East,US,Team Sports,Fun with Colors,"$6,738.00","$11,176.00",Miami,Florida
South East,US,Team Sports,Enjoy the Moment,"$14,651.00","$8,429.00",Miami,Florida
South East,US,Team Sports,Enjoy the Moment,"$16,523.00","$17,741.00",Miami,Florida
South East,US,Team Sports,Tailored for You,"$9,140.00","$19,323.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$5,867.00","$19,049.00",San Diego,California
South East,US,Team Sports,Spring into Summer,"$14,114.00","$15,482.00",Miami,Florida
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,059.00","$19,059.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,605.00","$18,971.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,988.00","$19,348.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,668.00","$14,658.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$6,497.00","$6,147.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$17,859.00","$17,681.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$9,192.00","$6,179.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$14,290.00","$10,487.00",San Diego,California
Far West,US,Books,EnjoyTheMoment; BeUnique; TailoredForYou,"$11,247.00","$10,339.00",San Diego,California
