accountid,accountcategorycode,accountclassificationcode,accountratingcode,address1_addressid,address1_addresstypecode,address1_city,address1_country,address1_composite,address1_fax,address1_line1,address1_primarycontactname,address1_shippingmethodcode,address1_utcoffset,address2_line1,adx_modifiedbyipaddress,adx_modifiedbyusername
"","France\"",France,"","","39, quai du Roosevelt","","","",92130,"",07048af3-7e50-4765-bfda-2565cf878ba9,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
b4a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,ed3f553a-71ab-458d-9109-df034f4fd7d9,"",Redmond,"",3397 Rancho View Drive,"","","","","","","",""
"",Redmond,WA 72052,"","","","","","","","","","","","","",""
"","US\"",US,"","",3397 Rancho View Drive,"","","",72052,"",c73a2b40-a48d-4892-8038-466a50653f45,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
b6a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,7f1a2e7a-40d0-4bae-9b23-77c860ae2710,"",Bogota,"",Carrera 1b No 10-01,"","","","","","","",""
"",Bogota,"","","","","","","","","","","","","","",""
"","Columbia\"",Columbia,"","",Carrera 1b No 10-01,"","","","","",8a3173e0-6afa-4a10-be4f-0eef4ddc6ee3,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
b8a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,82dde867-238d-47c6-be27-d6d98a31abc4,"",Redmond,"",2137 Birchwood Dr,"","","","","","","",""
"",Redmond,WA 72052,"","","","","","","","","","","","","",""
"","US\"",US,"","",2137 Birchwood Dr,"","","",72052,"",d0dfb674-87a3-4795-8ce5-dfff79d7b108,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
baa19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,38e94159-6033-426a-8b5b-31e3d66d651b,"",Madison,"",13 E. Johnson,"","","","","","","",""
"",Madison,IL 74285,"","","","","","","","","","","","","",""
"","USA\"",USA,"","",13 E. Johnson,"","","",74285,"",a3628237-8d68-45d5-8d54-53809ac9fe58,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
bca19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,a9b88317-5331-4b0c-9723-1dfd0c126797,"",Dallas,"",100 Red Oak Lane,"","","","","","","",""
"",Dallas,TX,"","","","","","","","","","","","","",""
"","USA\"",USA,"","",100 Red Oak Lane,"","","","","",ff9d39d9-cf41-44a3-ba3e-5916d788f541,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
bea19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,79437499-1084-4096-a3d5-5d6df1c74314,"",Chistchurch,"",10001 High Street,"","","","","","","",""
"",Chistchurch,"","","","","","","","","","","","","","",""
"","New Zealand\"",New Zealand,"","",10001 High Street,"","","","","",cbdb90dd-65c6-40b9-b2c4-1ae5ff5ead20,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
c0a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,02eca0b1-5ff9-479d-ad56-cd13c876fb6f,"",Newport Beach,"",4915 Pear Dr.,"","","","","","","",""
"",Newport Beach,CA,"","","","","","","","","","","","","",""
"","US\"",US,"","",4915 Pear Dr.,"","","","","",b25944d4-c54f-491c-b3a5-288c6b2a6063,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
c2a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,779d8c58-e869-4f2b-92ea-c55d66470835,"",Columbus,"",1 Northwind Trader Way,"","","","","","","",""
"",Columbus,OH 47736,"","","","","","","","","","","","","",""
"","US\"",US,"","",1 Northwind Trader Way,"","","",47736,"",92bb1f7b-ac94-4bf5-acf6-113446a1ccf5,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
000 unique gifts,Northwind Traders prides itself on offering a wide range of products from vendors around the world,carrying more than 40,electronics and home appliances. Whether you are a business,individual,school or church,"they have items for you.\"",False,False,False,False,1.0000000000,+1-614-333-4444,"","","",""
c4a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,9f0c85eb-762e-4142-a0cb-22603730188b,"",Port Orchard,"",2265 Park Glen Court,"","","","","","","",""
"",Port Orchard,NC,"","","","","","","","","","","","","",""
"","US\"",US,"","",2265 Park Glen Court,"","","","","",45e22e49-0754-4355-9745-481f1e405f98,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
c6a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,a7986346-5fca-436e-a96b-e84174923d6a,"",Mississaugua,"",654 Main St,"","","","","","","",""
"",Mississaugua Ontario L5V 8M4,"","","","","","","","","","","","","","",""
"","Canada\"",Canada,"","",654 Main St,"","","",L5V 8M4,"",56b3ce0b-7fa1-4897-aeb3-190583578b1d,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
c8a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,51df5c10-9341-4b69-a6ca-c33d3cd93b25,"",Clinton,"",654 Main,"","","","","","","",""
"",Clinton,CO 74285,"","","","","","","","","","","","","",""
"","USA\"",USA,"","",654 Main,"","","",74285,"",1a630ff2-afb6-455b-b298-7fa3a85fc18e,1,1,1,1,05408340-3616-eb11-a813-000d3a569529
False,"We feature over 700 movies and up to 120 titles in our video rental stores so you are sure to find what you need. We pride ourselves on being the convenient and affordable way to watch movies.\"",False,False,False,False,False,"",info@southridgevideo.com,"",1.0000000000,"","","","","",""
caa19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,d0eca116-de26-4f9d-a535-ccc966589802,"",Tokyo,"",145-0075,"","","","","","","",""
"",Tokyo,"","","","","","","","","","","","","","",""
"",Tailspin Grand Central Tower,"","","","","","","","","","","","","","",""
"","Japan\"",Japan,"","",Tailspin Grand Central Tower,"","","",145-0075,"",1ee56224-0485-42ba-ba9b-9f4e2e1832c2,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
cca19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,2ecce888-2809-463c-a1f5-3fdb4411a881,"",Clinton,"",15289 West Jackson,"","","","","","","",""
"",Clinton,CO 74285,"","","","","","","","","","","","","",""
"","USA\"",USA,"","",15289 West Jackson,"","","",74285,"",33c0d197-6da5-4635-a6e3-f725b29056e1,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
False,The Phone Company offers a variety of business and residential plans with popular features such as call waiting,"call forwarding and voicemail. Our service is sold nationwide - see your local retailer for details.\"",False,False,False,False,info@thephone-company.com,False,"","","","","","","",""
cea19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,51be0d6b-27c2-4d91-9686-4c2dcb565e67,"",San Augustine,"",123 Maple Street,"","","","","","","",""
"",San Augustine,TX 77654,"","","","","","","","","","","","","",""
"","US\"",US,"","",123 Maple Street,"","","",77654,"",a2a37b11-38f3-4a38-b201-543d5feebbb4,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
False,"Trey is the fourth-largest nonprofit medical research organization in the Colorado area and ranks in the top ten percent of all institutions that receive research funding.\"",False,False,False,False,False,"",info@treyresearch.net,"",1.0000000000,"","","","","",""
d0a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,5da8a6d4-6628-467a-9fee-d7315081de4d,"",Istanbul,"",Aydin Sokak No:1101,"","","","","","","",""
"",Levent 12345,"","","","","","","","","","","","","","",""
"",Istanbul,"","","","","","","","","","","","","","",""
"","Turkey\"",Turkey,"","",Aydin Sokak No:1101,Levent 12345,"","","","",1ed69f9b-3d7a-4567-a2f8-2b7cde621bce,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
and an array of international foods,We strive every day to keep our prices low,quality high and deliver you original items that will be valued for years to come. Choose from trend-setting home accents,and much more.,"","","","","","","","","","","","",""
from children to grand-parents and when you need party essentials,We ensure our selection is always changing,and that every item we carry has a story worth sharing. You'll find something for everyone,False,False,False,False,False,False,info@wideworldimporters.com,"",105,33,False,"","",False
d2a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,eb9d35df-24e0-4e95-8fa0-5c9df692695f,"",Zaventem,"",Da Vincilaan 1001,"","","","","","","",""
"",B-0001 Zaventem,"","","","","","","","","","","","","","",""
"","Belgium\"",Belgium,"","",Da Vincilaan 1001,"","","",B-0001,"",e2b73102-f7dd-4297-8e96-c9101459a2cf,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
d4a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,321e3fff-5084-4280-a903-5ec9aa14f968,"",Kansas City,"",2300 Main Street,"","","","","","","",""
"",Kansas City,Missouri 04983,"","","","","","","","","","","","","",""
"","United States\"",United States,"","",2300 Main Street,"","","",04983,"",5003c8a8-f08c-4a6a-9325-bce401856325,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
trust,Woodgrove Bank provides a wide range of financial products that cater to both consumer and commercial customers including: lending,payment processing,False,False,False,False,False,False,darren.parker@woodgrovebank.com,"",105,16,False,"","",False
2123455d-be62-e411-80d6-b4b52f567ec8,"",1,1,14e67197-6669-42a2-ab14-2e08a12f0b06,"",Barcelona,"",45 Placa d'Europa,"","","","","","","",""
"",08907 Barcelona,"","","","","","","","","","","","","","",""
"","Spain\"",Spain,"","",45 Placa d'Europa,"","","",08907,"",60545c1e-0170-46fc-aafe-1f306accb369,1,1,1,1,05408340-3616-eb11-a813-000d3a569529
d3ae1b3a-8bd2-e411-80ef-c4346bac7be8,"",1,1,0117d65c-5745-42d0-a26b-0fa6b5267578,"",1 Microsoft Way,"",1 Microsoft Way,"","","","","","","",""
"","1 Microsoft Way WA\"","","","",1 Microsoft Way,"","","",WA,"",b0ac1033-a559-4995-9ee9-24155c08547d,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
a16b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,f2d9fb7a-670a-4254-a5c2-4f0b3c26c8dd,"",Redmond,"",3575 157th Ave NE,"","","","","","","",""
"",Redmond,WA 98052,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.63952,3575 157th Ave NE,"",-122.1284,"",98052,"",7e6c2a6b-7e87-42fb-8560-8d111441ba5b,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
a56b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,a08677c1-f8d7-469c-bb7a-d3e8c3ba6320,"",Denver,"",3000 East 1st Avenue,"","","","","","","",""
"",Denver,CO 80206,"","","","","","","","","","","","","",""
"","USA\"",USA,"",39.71794,3000 East 1st Avenue,"",-104.95213,"",80206,"",444549d6-33f0-488c-a7f4-f8e5301b21c6,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
ad6b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,92e6b042-3250-4f55-b205-b64370007056,"",Austin,"","3309 Esperanza Crossing, Suite 104","","","","","","","",""
"",Austin,TX 78758,"","","","","","","","","","","","","",""
"","USA\"",USA,"",30.40018,"3309 Esperanza Crossing, Suite 104","",-97.72644,"",78758,"",f3933711-b4d4-41c5-b2e8-e04abad2b77b,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
af6b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,f938ba0b-665d-43df-a5a5-4fb17f111f67,"",Bloomington,"",162 S Avenue,"","","","","","","",""
"",Bloomington,MN 55425,"","","","","","","","","","","","","",""
"","USA\"",USA,"",44.86466,162 S Avenue,"",-93.32501,"",55425,"",bbaac196-c947-42bc-8939-cffc41ca8d68,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
b16b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,bcc9e5e1-5a7d-4b79-8105-4ad0273709f5,"",New York,"",677 5th Ave,"","","","","","","",""
"",New York,NY 10022,"","","","","","","","","","","","","",""
"","USA\"",USA,"",40.76054,677 5th Ave,"",-73.97534,"",10022,"",33d4db58-9b65-4e4d-8ad1-cb03949f4a3b,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
b56b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,ea6cc7b5-94af-4af1-b12d-19e80cf20788,"",Tampa,"",3000 Bayport Dr,"","","","","","","",""
"",Tampa,FL 33607,"","","","","","","","","","","","","",""
"","United States\"",United States,"",27.96629,3000 Bayport Dr,"",-82.55052,"",33607,"",88cff2f8-85b8-4a5e-b142-d8c0f28a540b,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
b76b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,b74026b1-b46b-4a5c-a732-330b4b9fcfaa,"",Tampa,"","5426 Bay Center Dr., Suite 700","","","","","","","",""
"",Tampa,FL 33609,"","","","","","","","","","","","","",""
"","USA\"",USA,"",27.9437,"5426 Bay Center Dr., Suite 700","",-82.53774,"",33609,"",254669a3-b828-47f7-92f8-b136efaae9ee,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
bb6b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,8f4f3889-dfca-467c-a946-537edfa5160c,"",Pittsburgh,"",1000 Ross Park Mall Dr,"","","","","","","",""
"",Pittsburgh,PA 15237,"","","","","","","","","","","","","",""
"","USA\"",USA,"",40.54464,1000 Ross Park Mall Dr,"",-80.00884,"",15237,"",e80f6f84-608e-49bf-9b25-584d73e6af54,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
bd6b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,aaebd575-b647-42cc-93aa-97a17d99e7b6,"",Paris,"",39 Quai du Président Roosevelt,"","","","","","","",""
"",92130 Paris,"","","","","","","","","","","","","","",""
"","France\"",France,"",48.83401,39 Quai du Président Roosevelt,"",2.26491,"",92130,"",34f29a99-3ba8-45dd-b678-e0965b06bc61,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
cb6b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,3173cde5-c96f-48f0-96d1-b51782a2cd7c,"",London,"",16 Dufours St,"","","","","","","",""
"",London,"","","","","","","","","","","","","","",""
"",W1F 7,"","","","","","","","","","","","","","",""
"","UK\"",UK,"",51.51355,16 Dufours St,"",-0.13733,"",W1F 7,"",9916841a-03de-4517-aab9-8fb93d892b01,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
cd6b3f4b-1be7-e611-8101-e0071b6af231,2,1,1,1c6c4ec6-2296-4fdf-8320-defbeadb2889,"",London,"",2 Great Titchfield Street,"","","","","","","",""
"",London,"","","","","","","","","","","","","","",""
"",W1W 8,"","","","","","","","","","","","","","",""
"","UK\"",UK,"",51.51559,2 Great Titchfield Street,"",-0.13937,"",W1W 8,"",845423a8-a4b3-4879-91c9-239090589401,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
d16b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,5614a307-6d62-41a4-95df-079982dec20a,"",Seattle,"",11100 Roosevelt Way NE,"","","","","","","",""
"",Seattle,WA 98125,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.70939,11100 Roosevelt Way NE,"",-122.31784,"",98125,"",f603c05e-c6e7-4807-86f5-3ed228d73dcd,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
d36b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,831cea37-4648-414d-b63b-b621c84c4168,"",Seattle,"",1401 Broadway,"","","","","","","",""
"",Seattle,WA 98122,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61289,1401 Broadway,"",-122.32072,"",98122,"",eadcc9af-1716-4328-b5dd-b0cc06783fab,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
d56b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,d0e95e3e-58d3-4871-b771-a18dea665fe6,"",Seattle,"",1410 E John St,"","","","","","","",""
"",Seattle,WA 98112,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61994,1410 E John St,"",-122.31374,"",98112,"",d39e087c-f09a-4c3f-aa7d-bb5a491c8805,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
d76b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,723b189c-60b2-4db3-8372-d27b3fbfbe91,"",Bothell,"",14130 Juanita Dr NE,"","","","","","","",""
"",Bothell,WA 98011,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.72868,14130 Juanita Dr NE,"",-122.24427,"",98011,"",842ab86e-5d8c-42d8-a32f-9a035f199893,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
d96b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,77ac9c6c-eb5d-4bda-890e-d7fd65f0ef81,"",Renton,"",14215 SE Petrovitsky Road,"","","","","","","",""
"",Renton,WA 98058,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.44493,14215 SE Petrovitsky Road,"",-122.15128,"",98058,"",69f21274-7728-452f-bd3c-c84978c370ab,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
db6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,d693b5b9-d3bf-4ac1-8677-527f19b9f69a,"",Seattle,"",1423 NW Market St,"","","","","","","",""
"",Seattle,WA 98107,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61057,1423 NW Market St,"",-122.20157,"",98107,"",1a548a5a-21e7-4ef6-9394-f5e8fbb31fc9,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
dd6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,ea3569d5-d5eb-46d1-abf0-d949838b601d,"",Redmond,"",15000 NE 24th Street,"","","","","","","",""
"",Redmond,WA 98052,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.63155,15000 NE 24th Street,"",-122.1401,"",98052,"",eb5dea44-780f-4954-87cc-f5d0a61442c8,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
df6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,3ee28800-644a-4683-941e-3cadf97a91eb,"",Seattle,"",15332 Aurora Ave N,"","","","","","","",""
"",Seattle,WA 98133,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.74066,15332 Aurora Ave N,"",-122.34527,"",98133,"",381fbcc8-60eb-48d5-8b4c-b8a2364f5851,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
e16b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,1cc07c4c-f334-4dc9-86b5-32336a83f716,"",Bellevue,"",15600 NE 8th,"","","","","","","",""
"",Bellevue,WA 98008,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61714,15600 NE 8th,"",-122.1322,"",98008,"",e6f14868-f618-415d-a91e-5481187b82d8,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
e36b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,f2c74b93-5cb5-4ddd-9763-e6f9f5655902,"",Redmond,"",15738 Redmond Way,"","","","","","","",""
"",Redmond,WA 98052,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.67429,15738 Redmond Way,"",-122.12964,"",98052,"",8036fe1a-df18-4c50-ae6e-dbd11aa6ff58,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
e56b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,a78f1a98-825b-42ee-a6ee-e128bfa5653a,"",Seattle,"",1617 Sixth Ave.,"","","","","","","",""
"",Seattle,WA 98101,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61264,1617 Sixth Ave.,"",-122.33602,"",98101,"",95844423-7aca-45ca-8a45-25025f9b1271,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
e96b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,d2892257-df15-47d8-a8bf-e854108f7c77,"",Redmond,"",16500 N.E. 74th,"","","","","","","",""
"",Redmond,WA 98052,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.6706,16500 N.E. 74th,"",-122.12156,"",98052,"",9a6651c3-e613-4a68-9d9b-55600b799328,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
eb6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,3e492584-bfaa-4ba7-adbb-3beb03872829,"",Bothell,"",18404 120th Avenue NE,"","","","","","","",""
"",Bothell,WA 98011,"","","","","","","","","","","","","",""
