_rid,_etag,_ts,EstimatedArrivalTime,Destination,ID,Occupancy,RouteVia,DepartureTime,BusNo,Capacity,WithHTAP
nIMOANsrEUGPAAAAAAAAAA==,"""9b07f146-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:55,Downtown,148,12,Courthouse,06/30/2020 3:55,45,60,0
nIMOANsrEUGQAAAAAAAAAA==,"""9b07f246-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:00,Downtown,149,6,Courthouse,06/30/2020 4:00,45,60,0
nIMOANsrEUGRAAAAAAAAAA==,"""9b07f346-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:05,Downtown,150,11,Courthouse,06/30/2020 4:05,45,60,0
nIMOANsrEUGSAAAAAAAAAA==,"""9b07f446-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:10,Downtown,151,6,Courthouse,06/30/2020 4:10,45,60,0
nIMOANsrEUGTAAAAAAAAAA==,"""9b07f546-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:15,Downtown,152,4,Courthouse,06/30/2020 4:15,45,60,0
nIMOANsrEUGUAAAAAAAAAA==,"""9b07f646-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:20,Downtown,153,5,Courthouse,06/30/2020 4:20,45,60,0
nIMOANsrEUGVAAAAAAAAAA==,"""9b07f746-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:25,Downtown,154,6,Courthouse,06/30/2020 4:25,45,60,0
nIMOANsrEUGWAAAAAAAAAA==,"""9b07f846-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:30,Downtown,155,9,Courthouse,06/30/2020 4:30,45,60,0
nIMOANsrEUGXAAAAAAAAAA==,"""9b07f946-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:35,Downtown,156,8,Courthouse,06/30/2020 4:35,45,60,0
nIMOANsrEUGYAAAAAAAAAA==,"""9b07fa46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:40,Downtown,157,12,Courthouse,06/30/2020 4:40,45,60,0
nIMOANsrEUGZAAAAAAAAAA==,"""9b07fb46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:45,Downtown,158,11,Courthouse,06/30/2020 4:45,45,60,0
nIMOANsrEUGaAAAAAAAAAA==,"""9b07fc46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:50,Downtown,159,14,Courthouse,06/30/2020 4:50,45,60,0
nIMOANsrEUGbAAAAAAAAAA==,"""9b07fd46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 5:55,Downtown,160,13,Courthouse,06/30/2020 4:55,45,60,0
nIMOANsrEUGcAAAAAAAAAA==,"""9b07fe46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:00,Downtown,161,10,Courthouse,06/30/2020 5:00,45,60,0
nIMOANsrEUGdAAAAAAAAAA==,"""9b07ff46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:05,Downtown,162,7,Courthouse,06/30/2020 5:05,45,60,0
nIMOANsrEUGeAAAAAAAAAA==,"""9b070047-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:10,Downtown,163,4,Courthouse,06/30/2020 5:10,45,60,0
nIMOANsrEUGfAAAAAAAAAA==,"""9b070147-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:15,Downtown,164,9,Courthouse,06/30/2020 5:15,45,60,0
nIMOANsrEUGgAAAAAAAAAA==,"""9b070247-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:20,Downtown,165,11,Courthouse,06/30/2020 5:20,45,60,0
nIMOANsrEUGhAAAAAAAAAA==,"""9b070347-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:25,Downtown,166,5,Courthouse,06/30/2020 5:25,45,60,0
nIMOANsrEUGiAAAAAAAAAA==,"""9b070447-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:30,Downtown,167,13,Courthouse,06/30/2020 5:30,45,60,0
nIMOANsrEUGjAAAAAAAAAA==,"""9b070547-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:35,Downtown,168,12,Courthouse,06/30/2020 5:35,45,60,0
nIMOANsrEUGkAAAAAAAAAA==,"""9b070647-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:40,Downtown,169,5,Courthouse,06/30/2020 5:40,45,60,0
nIMOANsrEUGlAAAAAAAAAA==,"""9b070747-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:45,Downtown,170,6,Courthouse,06/30/2020 5:45,45,60,0
nIMOANsrEUGmAAAAAAAAAA==,"""9b070847-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:50,Downtown,171,8,Courthouse,06/30/2020 5:50,45,60,0
nIMOANsrEUGnAAAAAAAAAA==,"""9b070947-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:55,Downtown,172,7,Courthouse,06/30/2020 5:55,45,60,0
nIMOANsrEUGoAAAAAAAAAA==,"""9b070a47-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 7:00,Downtown,173,8,Courthouse,06/30/2020 6:00,45,60,0
nIMOANsrEUGpAAAAAAAAAA==,"""9b070b47-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 7:05,Downtown,174,8,Courthouse,06/30/2020 6:05,45,60,0
nIMOANsrEUGqAAAAAAAAAA==,"""9b070c47-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:30,Downtown,175,4,Courthouse,06/30/2020 6:10,45,60,0
nIMOANsrEUGrAAAAAAAAAA==,"""9b070d47-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:35,Downtown,176,4,Courthouse,06/30/2020 6:15,45,60,0
nIMOANsrEUGsAAAAAAAAAA==,"""9b070e47-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:40,Downtown,177,13,Courthouse,06/30/2020 6:20,45,60,0
nIMOANsrEUGtAAAAAAAAAA==,"""9b070f47-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 6:45,Downtown,178,11,Courthouse,06/30/2020 6:25,45,60,0
nIMOANsrEUGuAAAAAAAAAA==,"""9b071047-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 7:30,Downtown,179,20,Courthouse,06/30/2020 6:30,21,60,0
nIMOANsrEUGwAAAAAAAAAA==,"""9b071247-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 7:40,Downtown,181,40,Courthouse,06/30/2020 6:40,21,60,0
nIMOANsrEUGyAAAAAAAAAA==,"""9b071447-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 7:50,Downtown,183,30,Courthouse,06/30/2020 6:50,21,60,0
nIMOANsrEUG0AAAAAAAAAA==,"""9b071647-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 8:05,Downtown,185,30,Courthouse,06/30/2020 7:00,21,60,0
nIMOANsrEUG2AAAAAAAAAA==,"""9b071847-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 7:30,Downtown,187,55,Courthouse,06/30/2020 6:30,21,60,1
nIMOANsrEUG+AAAAAAAAAA==,"""9b072047-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 8:05,Downtown,195,,Courthouse,06/30/2020 7:05,21,60,1
nIMOANsrEUG3AAAAAAAAAA==,"""3a08d719-0000-0700-0000-62d039c30000""",1657813443,06/30/2020 7:40,Downtown,188,60,Courthouse,06/30/2020 6:40,21,60,1
nIMOANsrEUG4AAAAAAAAAA==,"""3a08ff4a-0000-0700-0000-62d039f50000""",1657813493,06/30/2020 7:50,Downtown,189,60,Courthouse,06/30/2020 6:50,21,60,1
nIMOANsrEUG5AAAAAAAAAA==,"""3a08486b-0000-0700-0000-62d03a700000""",1657813616,06/30/2020 8:00,Downtown,190,55,Courthouse,06/30/2020 7:00,21,60,1
nIMOANsrEUGvAAAAAAAAAA==,"""100bc56e-0000-0700-0000-62d7136f0000""",1658262383,06/30/2020 7:45,Sandonillo,180,20,Central Station,06/30/2020 6:35,31,60,0
nIMOANsrEUGxAAAAAAAAAA==,"""100bd36e-0000-0700-0000-62d713760000""",1658262390,06/30/2020 7:55,Sandonillo ,182,40,Central Station,06/30/2020 6:45,31,60,0
nIMOANsrEUGzAAAAAAAAAA==,"""100be96e-0000-0700-0000-62d713800000""",1658262400,06/30/2020 8:05,Sandonillo,184,30,Central Station,06/30/2020 6:55,31,60,0
nIMOANsrEUG1AAAAAAAAAA==,"""100b016f-0000-0700-0000-62d713890000""",1658262409,06/30/2020 8:15,Sandonillo,186,40,Central Station,06/30/2020 7:05,31,60,0
nIMOANsrEUG6AAAAAAAAAA==,"""100b096f-0000-0700-0000-62d713910000""",1658262417,06/30/2020 7:45,Sandonillo,191,10,Central Station,06/30/2020 6:35,31,60,1
nIMOANsrEUG7AAAAAAAAAA==,"""100b186f-0000-0700-0000-62d713970000""",1658262423,06/30/2020 7:45,Sandonillo,192,0,Central Station,06/30/2020 6:45,31,60,1
nIMOANsrEUG9AAAAAAAAAA==,"""100b206f-0000-0700-0000-62d7139e0000""",1658262430,06/30/2020 8:15,Sandonillo,194,10,Central Station,06/30/2020 7:05,31,60,1
nIMOANsrEUG8AAAAAAAAAA==,"""100b256f-0000-0700-0000-62d713a30000""",1658262435,06/30/2020 8:05,Sandonillo,193,10,Central Station,06/30/2020 6:55,31,60,1
