"machineID","model","age"
132,"model2",7
133,"model3",18
134,"model3",12
135,"model4",1
136,"model3",11
137,"model1",1
138,"model3",8
139,"model3",7
140,"model1",2
141,"model4",10
142,"model4",0
143,"model3",14
144,"model2",10
145,"model4",13
146,"model4",7
147,"model3",5
148,"model3",9
149,"model3",0
150,"model4",8
151,"model3",11
152,"model3",16
153,"model4",19
154,"model3",3
155,"model3",16
156,"model3",0
157,"model3",8
158,"model3",0
159,"model3",13
160,"model3",9
161,"model3",11
162,"model1",8
163,"model4",11
164,"model3",16
165,"model4",19
166,"model2",7
167,"model4",11
168,"model4",19
169,"model2",4
170,"model4",14
171,"model3",5
172,"model3",8
173,"model3",6
174,"model3",12
175,"model2",13
176,"model1",5
177,"model4",12
178,"model3",9
179,"model3",18
180,"model3",14
181,"model4",10
182,"model3",13
183,"model2",8
184,"model1",19
185,"model4",0
186,"model3",20
187,"model2",3
188,"model4",7
189,"model4",14
190,"model4",5
191,"model3",7
192,"model4",0
193,"model3",18
194,"model4",2
195,"model2",3
196,"model3",3
197,"model3",3
198,"model4",5
199,"model3",0
200,"model3",7
201,"model4",7
202,"model3",9
203,"model2",14
204,"model3",4
205,"model3",9
206,"model1",5
207,"model2",14
208,"model2",12
209,"model4",16
210,"model2",0
211,"model4",9
212,"model3",15
213,"model2",17
214,"model3",5
215,"model1",9
216,"model2",1
217,"model3",7
218,"model2",6
219,"model2",10
220,"model3",3
221,"model3",12
222,"model1",20
223,"model4",15
224,"model4",13
225,"model4",18
226,"model4",10
227,"model4",4
228,"model3",13
229,"model3",10
230,"model1",10
231,"model3",4
232,"model3",9
233,"model1",18
234,"model2",4
235,"model4",9
236,"model2",16
237,"model3",5
238,"model4",14
239,"model3",10
240,"model3",0
241,"model2",12
242,"model3",15
243,"model4",16
244,"model4",6
245,"model3",0
246,"model3",10
247,"model4",4
248,"model3",8
249,"model2",0
250,"model2",4
251,"model1",9
252,"model3",8
253,"model3",15
254,"model2",15
255,"model3",19
256,"model4",9
257,"model2",15
258,"model4",20
259,"model3",8
260,"model1",10
261,"model1",3
262,"model4",20
263,"model2",8
264,"model2",15
265,"model3",18
266,"model4",18
267,"model4",5
268,"model4",20
269,"model3",19
270,"model4",5
271,"model3",13
272,"model4",5
273,"model4",13
274,"model4",4
275,"model4",20
276,"model4",10
277,"model4",3
278,"model2",9
279,"model2",15
280,"model2",13
281,"model4",13
282,"model3",11
283,"model3",1
284,"model3",4
285,"model4",5
286,"model3",15
287,"model3",11
288,"model3",14
289,"model4",6
290,"model3",3
291,"model3",7
292,"model3",12
293,"model4",1
294,"model2",15
295,"model4",8
296,"model1",5
297,"model3",6
298,"model4",18
299,"model4",7
300,"model4",14
301,"model3",13
302,"model2",0
303,"model3",9
304,"model3",11
305,"model4",1
306,"model1",11
307,"model4",16
308,"model3",0
309,"model4",9
310,"model4",4
311,"model4",1
312,"model4",6
313,"model2",12
314,"model3",12
315,"model3",17
316,"model4",16
317,"model4",16
318,"model2",12
319,"model4",13
320,"model3",3
321,"model3",16
322,"model2",2
323,"model2",12
324,"model2",17
325,"model3",13
326,"model4",13
327,"model3",12
328,"model3",17
329,"model3",7
330,"model3",1
331,"model3",5
332,"model4",2
333,"model3",0
334,"model3",16
335,"model3",11
336,"model3",12
337,"model1",13
338,"model4",20
339,"model3",1
340,"model3",12
341,"model2",0
342,"model2",15
343,"model2",10
344,"model2",0
345,"model3",13
346,"model2",14
347,"model3",20
348,"model3",6
349,"model3",1
350,"model3",20
351,"model4",16
352,"model2",5
353,"model3",18
354,"model4",6
355,"model2",0
356,"model4",1
357,"model3",8
358,"model4",5
359,"model3",10
360,"model4",4
361,"model4",20
362,"model4",9
363,"model3",11
364,"model3",14
365,"model2",3
366,"model3",0
367,"model3",7
368,"model3",16
369,"model3",3
370,"model4",5
371,"model3",0
372,"model1",15
373,"model2",2
374,"model2",10
375,"model3",14
376,"model1",12
377,"model4",5
378,"model4",18
379,"model3",12
380,"model4",7
381,"model4",14
382,"model2",16
383,"model2",20
384,"model1",18
385,"model2",16
386,"model3",18
387,"model1",6
388,"model3",16
389,"model4",0
390,"model4",1
391,"model3",6
392,"model4",5
393,"model1",5
394,"model3",7
395,"model3",17
396,"model3",1
397,"model2",9
398,"model3",9
399,"model2",20
400,"model2",13
401,"model4",6
402,"model4",12
403,"model1",5
404,"model2",4
405,"model4",8
406,"model2",17
407,"model3",5
408,"model3",19
409,"model3",7
410,"model3",12
411,"model3",4
412,"model3",4
413,"model4",0
414,"model4",16
415,"model3",2
416,"model1",12
417,"model2",10
418,"model3",4
419,"model3",18
420,"model3",12
421,"model1",7
422,"model2",1
423,"model1",13
424,"model4",18
425,"model3",1
426,"model2",16
427,"model4",19
428,"model4",12
429,"model3",13
430,"model4",15
431,"model3",7
432,"model2",4
433,"model3",11
434,"model3",1
435,"model4",15
436,"model3",7
437,"model4",13
438,"model1",1
439,"model1",5
440,"model3",8
441,"model3",3
442,"model3",2
443,"model3",5
444,"model1",10
445,"model2",0
446,"model3",9
447,"model4",2
448,"model3",7
449,"model4",8
450,"model3",20
451,"model3",15
452,"model4",4
453,"model4",0
454,"model4",0
455,"model4",5
456,"model4",6
457,"model4",15
458,"model3",8
459,"model3",8
460,"model3",19
461,"model2",13
462,"model2",2
463,"model2",12
464,"model2",10
465,"model1",17
466,"model3",16
467,"model3",9
468,"model4",12
469,"model3",7
470,"model3",8
471,"model3",18
472,"model4",14
473,"model1",20
474,"model2",0
475,"model3",12
476,"model3",0
477,"model4",10
478,"model3",11
479,"model4",5
480,"model4",18
481,"model2",10
482,"model2",9
483,"model3",7
484,"model4",13
485,"model1",18
486,"model4",19
487,"model3",5
488,"model3",6
489,"model3",4
490,"model2",17
491,"model4",8
492,"model3",4
493,"model1",1
494,"model4",14
495,"model4",7
496,"model4",13
497,"model4",8
498,"model3",19
499,"model2",8
500,"model2",8
501,"model4",6
502,"model4",4
503,"model4",3
504,"model2",19
505,"model2",6
506,"model2",3
507,"model4",5
508,"model2",3
509,"model3",18
510,"model4",4
511,"model4",13
512,"model4",1
513,"model3",1
514,"model2",8
515,"model3",18
516,"model3",4
517,"model4",8
518,"model4",19
519,"model3",7
520,"model3",14
521,"model2",3
522,"model3",15
523,"model4",13
524,"model3",1
525,"model3",9
526,"model1",4
527,"model1",20
528,"model4",20
529,"model4",7
530,"model3",15
531,"model1",15
532,"model3",7
533,"model4",12
534,"model4",4
535,"model3",18
536,"model3",0
537,"model4",7
538,"model3",7
539,"model2",5
540,"model3",10
541,"model1",13
542,"model3",8
543,"model3",0
544,"model4",16
545,"model4",5
546,"model3",11
547,"model2",3
548,"model3",2
549,"model4",0
550,"model3",1
551,"model4",15
552,"model4",16
553,"model3",4
554,"model2",17
555,"model3",3
556,"model4",0
557,"model4",10
558,"model3",20
559,"model4",7
560,"model3",3
561,"model1",17
562,"model3",0
563,"model3",6
564,"model3",2
565,"model3",15
566,"model3",2
567,"model4",4
568,"model3",8
569,"model4",16
570,"model3",19
571,"model4",7
572,"model4",4
573,"model2",16
574,"model3",7
575,"model3",12
576,"model4",12
577,"model3",19
578,"model3",12
579,"model4",9
580,"model4",3
581,"model2",3
582,"model2",20
583,"model3",8
584,"model2",14
585,"model3",20
586,"model2",13
587,"model4",15
588,"model4",0
589,"model4",1
590,"model3",8
591,"model4",0
592,"model3",2
593,"model2",18
594,"model3",8
595,"model3",13
596,"model2",6
597,"model3",7
598,"model4",6
599,"model3",7
600,"model1",18
601,"model3",15
602,"model4",17
603,"model3",17
604,"model4",9
605,"model4",11
606,"model3",12
607,"model1",3
608,"model3",16
609,"model4",10
610,"model4",12
611,"model2",15
612,"model3",4
613,"model3",14
614,"model3",19
615,"model4",1
616,"model3",13
617,"model2",14
618,"model4",7
619,"model3",4
620,"model4",10
621,"model2",1
622,"model2",19
623,"model2",6
624,"model2",3
625,"model3",13
626,"model4",1
627,"model3",10
628,"model3",1
629,"model1",14
630,"model4",8
631,"model4",2
632,"model2",8
633,"model4",11
634,"model4",9
635,"model4",1
636,"model2",3
637,"model3",14
638,"model4",3
639,"model3",15
640,"model2",13
641,"model3",9
642,"model3",17
643,"model2",10
644,"model3",1
645,"model3",14
646,"model2",13
647,"model2",19
648,"model1",2
649,"model1",10
650,"model3",4
651,"model2",16
652,"model2",6
653,"model4",2
654,"model3",11
655,"model3",17
656,"model4",10
657,"model3",2
658,"model1",20
659,"model4",15
660,"model1",1
661,"model4",8
662,"model3",1
663,"model4",3
664,"model4",19
665,"model3",14
666,"model4",10
667,"model2",6
668,"model3",15
669,"model2",11
670,"model3",5
671,"model2",18
672,"model4",1
673,"model1",12
674,"model3",15
675,"model4",1
676,"model3",3
677,"model3",12
678,"model3",2
679,"model4",16
680,"model3",1
681,"model3",10
682,"model4",18
683,"model4",7
684,"model4",14
685,"model3",3
686,"model3",14
687,"model4",2
688,"model3",20
689,"model3",9
690,"model4",10
691,"model3",2
692,"model3",10
693,"model4",16
694,"model2",10
695,"model3",20
696,"model4",19
697,"model2",14
698,"model3",9
699,"model3",14
700,"model3",5
701,"model4",20
702,"model4",8
703,"model4",6
704,"model3",11
705,"model3",16
706,"model4",18
707,"model1",12
708,"model4",7
709,"model3",19
710,"model3",9
711,"model3",6
712,"model4",0
713,"model4",0
714,"model3",18
715,"model3",17
716,"model4",17
717,"model3",11
718,"model3",16
719,"model4",0
720,"model3",18
721,"model3",3
722,"model3",18
723,"model4",0
724,"model4",20
725,"model3",10
726,"model3",0
727,"model3",11
728,"model4",13
729,"model4",14
730,"model4",0
731,"model2",1
732,"model4",20
733,"model4",18
734,"model1",9
735,"model4",7
736,"model4",4
737,"model3",10
738,"model4",4
739,"model1",0
740,"model2",1
741,"model4",15
742,"model3",18
743,"model3",19
744,"model3",17
745,"model4",8
746,"model1",20
747,"model4",10
748,"model3",7
749,"model3",16
750,"model2",7
751,"model2",9
752,"model4",5
753,"model4",12
754,"model2",3
755,"model2",15
756,"model2",2
757,"model2",6
758,"model3",1
759,"model3",13
760,"model1",8
761,"model3",20
762,"model3",7
763,"model3",20
764,"model3",8
765,"model3",15
766,"model4",8
767,"model2",1
768,"model2",8
769,"model1",4
770,"model4",14
771,"model2",2
772,"model3",3
773,"model3",3
774,"model4",19
775,"model2",7
776,"model4",10
777,"model2",19
778,"model4",16
779,"model2",8
780,"model2",13
781,"model3",1
782,"model2",19
783,"model2",20
784,"model4",14
785,"model2",16
786,"model4",6
787,"model2",2
788,"model3",20
789,"model3",6
790,"model4",17
791,"model2",4
792,"model3",17
793,"model4",6
794,"model4",10
795,"model4",6
796,"model4",15
797,"model1",10
798,"model3",3
799,"model2",17
800,"model3",2
801,"model3",18
802,"model4",2
803,"model3",10
804,"model3",15
805,"model3",13
806,"model3",9
807,"model2",17
808,"model3",11
809,"model3",7
810,"model1",12
811,"model2",9
812,"model4",16
813,"model4",1
814,"model4",6
815,"model4",18
816,"model3",13
817,"model4",14
818,"model2",4
819,"model3",11
820,"model1",11
821,"model4",19
822,"model4",13
823,"model3",12
824,"model3",12
825,"model2",15
826,"model2",4
827,"model3",20
828,"model4",12
829,"model3",12
830,"model3",11
831,"model3",14
832,"model3",4
833,"model1",2
834,"model1",1
835,"model3",15
836,"model4",6
837,"model3",6
838,"model3",16
839,"model4",9
840,"model3",7
841,"model3",18
842,"model3",8
843,"model3",7
844,"model3",17
845,"model4",11
846,"model3",1
847,"model4",9
848,"model3",1
849,"model3",5
850,"model2",5
851,"model2",9
852,"model4",0
853,"model4",1
854,"model3",17
855,"model2",9
856,"model4",7
857,"model3",18
858,"model3",20
859,"model3",4
860,"model1",0
861,"model4",18
862,"model1",12
863,"model2",20
864,"model1",12
865,"model3",16
866,"model2",1
867,"model3",16
868,"model3",0
869,"model2",15
870,"model2",9
871,"model4",1
872,"model3",1
873,"model3",1
874,"model4",14
875,"model1",4
876,"model2",17
877,"model1",18
878,"model4",19
879,"model3",10
880,"model4",8
881,"model1",6
882,"model2",15
883,"model3",11
884,"model3",9
885,"model4",9
886,"model3",1
887,"model3",17
888,"model3",20
889,"model3",18
890,"model3",20
891,"model3",1
892,"model3",5
893,"model4",8
894,"model2",13
895,"model3",13
896,"model2",14
897,"model3",7
898,"model4",7
899,"model4",0
900,"model2",2
901,"model3",7
902,"model4",12
903,"model4",1
904,"model2",11
905,"model3",1
906,"model4",20
907,"model2",13
908,"model2",15
909,"model4",4
910,"model2",14
911,"model2",15
912,"model3",11
913,"model3",19
914,"model4",16
915,"model4",18
916,"model4",19
917,"model4",11
918,"model3",0
919,"model4",0
920,"model4",4
921,"model1",9
922,"model1",11
923,"model3",16
924,"model3",16
925,"model2",8
926,"model3",15
927,"model4",5
928,"model3",9
929,"model2",18
930,"model2",17
931,"model4",17
932,"model3",0
933,"model3",20
934,"model2",8
935,"model4",18
936,"model4",10
937,"model4",17
938,"model2",10
939,"model3",12
940,"model3",8
941,"model3",1
942,"model3",8
943,"model4",3
944,"model3",4
945,"model1",8
946,"model3",9
947,"model4",15
948,"model4",18
949,"model3",10
950,"model4",13
951,"model1",6
952,"model3",1
953,"model3",14
954,"model2",3
955,"model3",3
956,"model2",20
957,"model3",2
958,"model4",11
959,"model3",18
960,"model4",7
961,"model1",16
962,"model4",11
963,"model2",2
964,"model2",4
965,"model2",20
966,"model2",19
967,"model4",7
968,"model3",16
969,"model4",8
970,"model4",14
971,"model2",0
972,"model2",6
973,"model4",20
974,"model1",4
975,"model4",16
976,"model2",6
977,"model2",5
978,"model4",15
979,"model4",0
980,"model1",8
981,"model4",4
982,"model3",1
983,"model3",19
984,"model3",7
985,"model1",0
986,"model4",15
987,"model1",20
988,"model4",0
989,"model3",18
990,"model3",17
991,"model4",10
992,"model3",7
993,"model2",0
994,"model4",18
995,"model4",6
996,"model2",20
997,"model2",4
998,"model2",14
999,"model3",0
1000,"model4",16
