sku,group,attribute_set_code,product_type,categories,name,description,short_description,price,size,color,ProductId
new-Default-simple-Proseware x pink-XL-WhiteSmoke,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x pink,Proseware x pink Description,Proseware x pink Short Description,12,XL,WhiteSmoke,13
new-Default-simple-Proseware m gray-X-Gray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m gray,Proseware m gray Description,Proseware m gray Short Description,12,X,Gray,14
new-Default-simple-Proseware xl green-XXL-Navy,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl green,Proseware xl green Description,Proseware xl green Short Description,18,XXL,Navy,15
new-Default-configurable-Proseware m gray-XS-Grey,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m gray,Proseware m gray Description,Proseware m gray Short Description,5,XS,Grey,16
new-Default-simple-Fabrikam m pink-X-Green,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m pink,Fabrikam m pink Description,Fabrikam m pink Short Description,13,X,Green,17
new-Default-simple-Fabrikam xl white-X-ForestGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl white,Fabrikam xl white Description,Fabrikam xl white Short Description,12,X,ForestGreen,18
new-Default-simple-Cronus International x green-XXL-LightPink,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x green,Cronus International x green Description,Cronus International x green Short Description,12,XXL,LightPink,19
new-Default-simple-Proseware m gray-XS-Chocolate,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m gray,Proseware m gray Description,Proseware m gray Short Description,9,XS,Chocolate,20
new-Default-simple-Reskit xl pink-XS-Fuchsia,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl pink,Reskit xl pink Description,Reskit xl pink Short Description,13,XS,Fuchsia,21
new-Default-simple-Proseware m blue-XS-DarkSalmon,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m blue,Proseware m blue Description,Proseware m blue Short Description,12,XS,DarkSalmon,22
new-Default-simple-Fabrikam x white-XL-LightCoral,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x white,Fabrikam x white Description,Fabrikam x white Short Description,4,XL,LightCoral,23
new-Default-simple-Fabrikam xl green-L-LightSalmon,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl green,Fabrikam xl green Description,Fabrikam xl green Short Description,13,L,LightSalmon,24
new-Default-simple-Fabrikam xl blue-L-White,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl blue,Fabrikam xl blue Description,Fabrikam xl blue Short Description,17,L,White,25
new-Default-simple-Fabrikam x green-XS-DarkRed,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x green,Fabrikam x green Description,Fabrikam x green Short Description,4,XS,DarkRed,26
new-Default-simple-Reskit m blue-XXL-LightSlateGray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit m blue,Reskit m blue Description,Reskit m blue Short Description,13,XXL,LightSlateGray,27
new-Default-simple-Proseware xl gray-X-LightSkyBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl gray,Proseware xl gray Description,Proseware xl gray Short Description,9,X,LightSkyBlue,28
new-Default-simple-Cronus International x white-X-BlaCronus International,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x white,Cronus International x white Description,Cronus International x white Short Description,18,X,BlaCronus International,29
new-Default-simple-Cronus International xl white-S-GhostWhite,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl white,Cronus International xl white Description,Cronus International xl white Short Description,17,S,GhostWhite,30
new-Default-simple-Fabrikam x gray-L-DarkBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x gray,Fabrikam x gray Description,Fabrikam x gray Short Description,13,L,DarkBlue,31
new-Default-simple-Reskit xl blue-XXL-Thistle,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl blue,Reskit xl blue Description,Reskit xl blue Short Description,8,XXL,Thistle,32
new-Default-simple-Reskit x pink-XL-Brown,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x pink,Reskit x pink Description,Reskit x pink Short Description,17,XL,Brown,33
new-Default-simple-Cronus International x blue-XL-LawnGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x blue,Cronus International x blue Description,Cronus International x blue Short Description,7,XL,LawnGreen,34
new-Default-simple-Fabrikam m pink-XXL-LightGrey,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m pink,Fabrikam m pink Description,Fabrikam m pink Short Description,5,XXL,LightGrey,35
new-Default-simple-Reskit x gray-S-DarkKhaki,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x gray,Reskit x gray Description,Reskit x gray Short Description,14,S,DarkKhaki,36
new-Default-simple-Proseware xl white-XL-Bisque,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl white,Proseware xl white Description,Proseware xl white Short Description,10,XL,Bisque,37
new-Default-simple-Fabrikam xl white-XS-Moccasin,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl white,Fabrikam xl white Description,Fabrikam xl white Short Description,4,XS,Moccasin,38
new-Default-simple-Cronus International xl white-XL-SpringGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl white,Cronus International xl white Description,Cronus International xl white Short Description,4,XL,SpringGreen,39
new-Default-simple-Proseware m pink-XL-SlateGrey,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m pink,Proseware m pink Description,Proseware m pink Short Description,14,XL,SlateGrey,40
new-Default-simple-Proseware xl blaCronus International-L-DarkViolet,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl blaCronus International,Proseware xl blaCronus International Description,Proseware xl blaCronus International Short Description,4,L,DarkViolet,41
new-Default-simple-Proseware m green-X-DarkSlateBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m green,Proseware m green Description,Proseware m green Short Description,18,X,DarkSlateBlue,42
new-Default-simple-Fabrikam m white-XS-Orange,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m white,Fabrikam m white Description,Fabrikam m white Short Description,7,XS,Orange,43
new-Default-simple-Proseware m green-XS-DarkGray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m green,Proseware m green Description,Proseware m green Short Description,16,XS,DarkGray,44
new-Default-simple-Cronus International xl pink-M-DarkSeaGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl pink,Cronus International xl pink Description,Cronus International xl pink Short Description,17,M,DarkSeaGreen,45
new-Default-simple-Fabrikam m pink-X-Tomato,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m pink,Fabrikam m pink Description,Fabrikam m pink Short Description,5,X,Tomato,46
new-Default-simple-Reskit xl green-X-Silver,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl green,Reskit xl green Description,Reskit xl green Short Description,15,X,Silver,47
new-Default-configurable-Cronus International x gray-X-DarkGoldenRod,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x gray,Cronus International x gray Description,Cronus International x gray Short Description,4,X,DarkGoldenRod,48
new-Default-simple-Fabrikam x blue-XXL-Olive,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x blue,Fabrikam x blue Description,Fabrikam x blue Short Description,9,XXL,Olive,49
new-Default-simple-Fabrikam m green-XXL-YellowGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m green,Fabrikam m green Description,Fabrikam m green Short Description,9,XXL,YellowGreen,50
new-Default-simple-Proseware m blue-X-PaleTurquoise,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m blue,Proseware m blue Description,Proseware m blue Short Description,20,X,PaleTurquoise,51
new-Default-simple-Fabrikam x white-L-Chartreuse,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x white,Fabrikam x white Description,Fabrikam x white Short Description,12,L,Chartreuse,52
new-Default-simple-Cronus International x white-XXL-DimGray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x white,Cronus International x white Description,Cronus International x white Short Description,17,XXL,DimGray,53
new-Default-simple-Reskit x blue-XS-DarkMagenta,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x blue,Reskit x blue Description,Reskit x blue Short Description,12,XS,DarkMagenta,54
new-Default-simple-Fabrikam xl pink-M-Red,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl pink,Fabrikam xl pink Description,Fabrikam xl pink Short Description,6,M,Red,55
new-Default-simple-Cronus International xl gray-XL-Gainsboro,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl gray,Cronus International xl gray Description,Cronus International xl gray Short Description,20,XL,Gainsboro,56
new-Default-simple-Fabrikam xl pink-XS-GoldenRod,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl pink,Fabrikam xl pink Description,Fabrikam xl pink Short Description,14,XS,GoldenRod,57
new-Default-simple-Reskit x green-XL-Lime,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x green,Reskit x green Description,Reskit x green Short Description,19,XL,Lime,58
new-Default-simple-Reskit m green-M-LavenderBlush,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit m green,Reskit m green Description,Reskit m green Short Description,7,M,LavenderBlush,59
new-Default-simple-Cronus International m blaCronus International-M-RosyBrown,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m blaCronus International,Cronus International m blaCronus International Description,Cronus International m blaCronus International Short Description,13,M,RosyBrown,60
new-Default-simple-Cronus International m white-M-LightGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m white,Cronus International m white Description,Cronus International m white Short Description,10,M,LightGreen,61
new-Default-simple-Cronus International xl white-S-Purple,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl white,Cronus International xl white Description,Cronus International xl white Short Description,17,S,Purple,62
new-Default-simple-Cronus International xl green-XXL-Aqua,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl green,Cronus International xl green Description,Cronus International xl green Short Description,8,XXL,Aqua,63
new-Default-simple-Cronus International xl pink-XS-DimGrey,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl pink,Cronus International xl pink Description,Cronus International xl pink Short Description,10,XS,DimGrey,64
new-Default-simple-Cronus International x green-XS-AliceBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x green,Cronus International x green Description,Cronus International x green Short Description,18,XS,AliceBlue,65
new-Default-simple-Proseware xl blaCronus International-M-Blue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl blaCronus International,Proseware xl blaCronus International Description,Proseware xl blaCronus International Short Description,17,M,Blue,66
new-Default-simple-Proseware xl blaCronus International-S-PapayaWhip,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl blaCronus International,Proseware xl blaCronus International Description,Proseware xl blaCronus International Short Description,8,S,PapayaWhip,67
new-Default-simple-Reskit m green-L-PaleGoldenRod,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit m green,Reskit m green Description,Reskit m green Short Description,7,L,PaleGoldenRod,68
new-Default-simple-Cronus International x blaCronus International-XXL-SlateGray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x blaCronus International,Cronus International x blaCronus International Description,Cronus International x blaCronus International Short Description,9,XXL,SlateGray,69
new-Default-simple-Fabrikam m blue-XS-DarkSlateGrey,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m blue,Fabrikam m blue Description,Fabrikam m blue Short Description,6,XS,DarkSlateGrey,70
new-Default-simple-Cronus International x blue-XXL-PaleVioletRed,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x blue,Cronus International x blue Description,Cronus International x blue Short Description,16,XXL,PaleVioletRed,71
new-Default-simple-Fabrikam xl gray-XL-DarkTurquoise,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl gray,Fabrikam xl gray Description,Fabrikam xl gray Short Description,12,XL,DarkTurquoise,72
new-Default-simple-Reskit xl gray-L-FireBriCronus International,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl gray,Reskit xl gray Description,Reskit xl gray Short Description,11,L,FireBriCronus International,73
new-Default-simple-Cronus International m white-M-Linen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m white,Cronus International m white Description,Cronus International m white Short Description,18,M,Linen,74
new-Default-simple-Cronus International xl gray-L-MediumOrchid,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl gray,Cronus International xl gray Description,Cronus International xl gray Short Description,8,L,MediumOrchid,75
new-Default-simple-Proseware m gray-S-Aquamarine,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m gray,Proseware m gray Description,Proseware m gray Short Description,16,S,Aquamarine,76
new-Default-simple-Proseware xl blue-L-Lavender,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl blue,Proseware xl blue Description,Proseware xl blue Short Description,7,L,Lavender,77
new-Default-simple-Proseware x blue-M-Plum,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x blue,Proseware x blue Description,Proseware x blue Short Description,9,M,Plum,78
new-Default-simple-Proseware xl gray-S-CornflowerBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl gray,Proseware xl gray Description,Proseware xl gray Short Description,17,S,CornflowerBlue,79
new-Default-simple-Cronus International m green-XS-MediumSeaGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m green,Cronus International m green Description,Cronus International m green Short Description,14,XS,MediumSeaGreen,80
new-Default-simple-Reskit m white-S-SeaGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit m white,Reskit m white Description,Reskit m white Short Description,10,S,SeaGreen,81
new-Default-simple-Cronus International x blue-M-Teal,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x blue,Cronus International x blue Description,Cronus International x blue Short Description,12,M,Teal,82
new-Default-simple-Fabrikam xl pink-XXL-MistyRose,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl pink,Fabrikam xl pink Description,Fabrikam xl pink Short Description,20,XXL,MistyRose,83
new-Default-simple-Fabrikam xl white-S-GreenYellow,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl white,Fabrikam xl white Description,Fabrikam xl white Short Description,11,S,GreenYellow,84
new-Default-simple-Cronus International m pink-XXL-LemonChiffon,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m pink,Cronus International m pink Description,Cronus International m pink Short Description,17,XXL,LemonChiffon,85
new-Default-simple-Proseware xl blue-L-MediumBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl blue,Proseware xl blue Description,Proseware xl blue Short Description,4,L,MediumBlue,86
new-Default-simple-Fabrikam m blue-X-LightBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m blue,Fabrikam m blue Description,Fabrikam m blue Short Description,11,X,LightBlue,87
new-Default-simple-Cronus International x green-XXL-LightGray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x green,Cronus International x green Description,Cronus International x green Short Description,8,XXL,LightGray,88
new-Default-simple-Fabrikam x gray-L-DeepSkyBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x gray,Fabrikam x gray Description,Fabrikam x gray Short Description,3,L,DeepSkyBlue,89
new-Default-simple-Fabrikam x gray-XL-Beige,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x gray,Fabrikam x gray Description,Fabrikam x gray Short Description,6,XL,Beige,90
new-Default-simple-Fabrikam xl pink-L-OliveDrab,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl pink,Fabrikam xl pink Description,Fabrikam xl pink Short Description,3,L,OliveDrab,91
new-Default-simple-Cronus International xl gray-L-MidnightBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl gray,Cronus International xl gray Description,Cronus International xl gray Short Description,11,L,MidnightBlue,92
new-Default-simple-Proseware m green-M-LimeGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m green,Proseware m green Description,Proseware m green Short Description,17,M,LimeGreen,93
new-Default-simple-Cronus International m green-XS-MediumTurquoise,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m green,Cronus International m green Description,Cronus International m green Short Description,11,XS,MediumTurquoise,94
new-Default-simple-Proseware m white-XS-Pink,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m white,Proseware m white Description,Proseware m white Short Description,7,XS,Pink,95
new-Default-simple-Proseware m green-XL-CadetBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m green,Proseware m green Description,Proseware m green Short Description,7,XL,CadetBlue,96
new-Default-simple-Cronus International x blaCronus International-S-MintCream,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x blaCronus International,Cronus International x blaCronus International Description,Cronus International x blaCronus International Short Description,12,S,MintCream,97
new-Default-simple-Cronus International xl green-X-Magenta,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl green,Cronus International xl green Description,Cronus International xl green Short Description,17,X,Magenta,98
new-Default-simple-Cronus International m pink-X-Peru,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m pink,Cronus International m pink Description,Cronus International m pink Short Description,19,X,Peru,99
new-Default-simple-Proseware m gray-X-LightSlateGrey,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m gray,Proseware m gray Description,Proseware m gray Short Description,20,X,LightSlateGrey,100
new-Default-simple-Reskit x green-M-BlanchedAlmond,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x green,Reskit x green Description,Reskit x green Short Description,17,M,BlanchedAlmond,101
new-Default-configurable-Reskit x blaCronus International-X-DarkOrchid,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x blaCronus International,Reskit x blaCronus International Description,Reskit x blaCronus International Short Description,10,X,DarkOrchid,102
new-Default-simple-Fabrikam m blue-XXL-Cyan,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m blue,Fabrikam m blue Description,Fabrikam m blue Short Description,15,XXL,Cyan,103
new-Default-simple-Proseware m pink-S-Darkorange,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m pink,Proseware m pink Description,Proseware m pink Short Description,6,S,Darkorange,104
new-Default-simple-Fabrikam xl blaCronus International-L-PowderBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl blaCronus International,Fabrikam xl blaCronus International Description,Fabrikam xl blaCronus International Short Description,14,L,PowderBlue,105
new-Default-simple-Fabrikam x blue-XS-IndianRed,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x blue,Fabrikam x blue Description,Fabrikam x blue Short Description,11,XS,IndianRed,106
new-Default-simple-Reskit xl green-X-Indigo,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl green,Reskit xl green Description,Reskit xl green Short Description,4,X,Indigo,107
new-Default-simple-Cronus International x gray-XL-DeepPink,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x gray,Cronus International x gray Description,Cronus International x gray Short Description,20,XL,DeepPink,108
new-Default-simple-Reskit xl gray-XS-Salmon,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl gray,Reskit xl gray Description,Reskit xl gray Short Description,7,XS,Salmon,109
new-Default-simple-Reskit x pink-XS-MediumSlateBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x pink,Reskit x pink Description,Reskit x pink Short Description,11,XS,MediumSlateBlue,110
new-Default-simple-Cronus International xl green-M-FloralWhite,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl green,Cronus International xl green Description,Cronus International xl green Short Description,15,M,FloralWhite,111
new-Default-simple-Fabrikam xl blaCronus International-M-DodgerBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl blaCronus International,Fabrikam xl blaCronus International Description,Fabrikam xl blaCronus International Short Description,7,M,DodgerBlue,112
new-Default-simple-Fabrikam x pink-S-HoneyDew,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x pink,Fabrikam x pink Description,Fabrikam x pink Short Description,5,S,HoneyDew,113
new-Default-simple-Fabrikam x white-XXL-PaleGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x white,Fabrikam x white Description,Fabrikam x white Short Description,14,XXL,PaleGreen,114
new-Default-simple-Cronus International xl green-S-LightSeaGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl green,Cronus International xl green Description,Cronus International xl green Short Description,5,S,LightSeaGreen,115
new-Default-configurable-Fabrikam xl green-X-Orchid,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl green,Fabrikam xl green Description,Fabrikam xl green Short Description,18,X,Orchid,116
new-Default-simple-Proseware xl pink-X-Crimson,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl pink,Proseware xl pink Description,Proseware xl pink Short Description,17,X,Crimson,117
new-Default-simple-Fabrikam x green-L-SandyBrown,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x green,Fabrikam x green Description,Fabrikam x green Short Description,17,L,SandyBrown,118
new-Default-simple-Cronus International xl white-XL-MediumPurple,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl white,Cronus International xl white Description,Cronus International xl white Short Description,13,XL,MediumPurple,119
new-Default-simple-Fabrikam x blaCronus International-XS-Ivory,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x blaCronus International,Fabrikam x blaCronus International Description,Fabrikam x blaCronus International Short Description,16,XS,Ivory,120
new-Default-simple-Cronus International m blaCronus International-M-SeaShell,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m blaCronus International,Cronus International m blaCronus International Description,Cronus International m blaCronus International Short Description,9,M,SeaShell,121
new-Default-simple-Cronus International m blue-XL-Khaki,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m blue,Cronus International m blue Description,Cronus International m blue Short Description,3,XL,Khaki,122
new-Default-configurable-Reskit x white-X-SlateBlue,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x white,Reskit x white Description,Reskit x white Short Description,7,X,SlateBlue,123
new-Default-simple-Proseware x white-M-DarkSlateGray,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x white,Proseware x white Description,Proseware x white Short Description,6,M,DarkSlateGray,124
new-Default-simple-Cronus International x gray-L-PeachPuff,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x gray,Cronus International x gray Description,Cronus International x gray Short Description,5,L,PeachPuff,125
new-Default-simple-Reskit x blaCronus International-XXL-Wheat,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x blaCronus International,Reskit x blaCronus International Description,Reskit x blaCronus International Short Description,7,XXL,Wheat,126
new-Default-simple-Proseware x white-L-Violet,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x white,Proseware x white Description,Proseware x white Short Description,15,L,Violet,127
new-Default-simple-Cronus International m blue-X-Snow,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m blue,Cronus International m blue Description,Cronus International m blue Short Description,20,X,Snow,128
new-Default-simple-Proseware xl green-XXL-LightYellow,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl green,Proseware xl green Description,Proseware xl green Short Description,13,XXL,LightYellow,129
new-Default-simple-Proseware x blaCronus International-S-NavajoWhite,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x blaCronus International,Proseware x blaCronus International Description,Proseware x blaCronus International Short Description,3,S,NavajoWhite,130
new-Default-simple-Proseware m gray-X-BlueViolet,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m gray,Proseware m gray Description,Proseware m gray Short Description,6,X,BlueViolet,131
